Rank,University,Score
1,HARVARD UNIVERSITY,708
2,"UNIVERSITY OF CALIFORNIA, BERKELEY",480
3,UNIVERSITY OF CHICAGO,456
4,NEW YORK UNIVERSITY,440
5,STANFORD UNIVERSITY,424
6,UNIVERSITY OF PENNSYLVANIA,407
7,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,382
8,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,360
9,COLUMBIA UNIVERSITY,353
10,NORTHWESTERN UNIVERSITY,348
11,YALE UNIVERSITY,318
12,CORNELL UNIVERSITY,293
13,UNIVERSITY OF MICHIGAN,292
14,PRINCETON UNIVERSITY,291
15,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",275
16,DUKE UNIVERSITY,267
17,UNIVERSITY OF MARYLAND,244
18,"UNIVERSITY OF MINNESOTA, TWIN CITIES",240
19,UNIVERSITY OF OXFORD,237
20,UNIVERSITY OF TORONTO,201
21,UNIVERSITY OF BRITISH COLUMBIA,194
22,TILBURG UNIVERSITY,192
23,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,191
24,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",183
25,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",182
26,TEXAS A&M UNIVERSITY,180
26,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",180
28,UNIVERSITY OF NOTTINGHAM,177
28,UNIVERSITY OF SOUTHERN CALIFORNIA,177
30,"UNIVERSITY OF WISCONSIN, MADISON",176
31,UNIVERSITE CATHOLIQUE DE LOUVAIN,173
32,MICHIGAN STATE UNIVERSITY,168
33,UNIVERSITY OF WARWICK,164
34,OHIO STATE UNIVERSITY,163
34,"UNIVERSITY OF CALIFORNIA, DAVIS",163
36,UNIVERSITY OF AMSTERDAM,160
37,UNIVERSITY COLLEGE LONDON,158
38,BOSTON UNIVERSITY,156
39,AUSTRALIAN NATIONAL UNIVERSITY,153
40,POMPEU FABRA UNIVERSITY,151
41,UNIVERSITY OF WASHINGTON,140
42,CARNEGIE MELLON UNIVERSITY,139
42,NATIONAL UNIVERSITY OF SINGAPORE,139
44,ERASMUS UNIVERSITY ROTTERDAM,137
44,PURDUE UNIVERSITY,137
46,PENNSYLVANIA STATE UNIVERSITY,136
47,TEL AVIV UNIVERSITY,135
48,UNIVERSITY OF CAMBRIDGE,133
49,UNIVERSITY OF ROCHESTER,129
50,BROWN UNIVERSITY,128
51,UNIVERSITY OF BONN,126
52,INDIANA UNIVERSITY,123
52,UNIVERSITY OF COPENHAGEN,123
54,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,122
54,RUTGERS STATE UNIVERSITY,122
54,UNIVERSITY OF PARIS I,122
57,UNIVERSITY OF CARLOS III MADRID,119
58,HEBREW UNIVERSITY OF JERUSALEM,118
59,UNIVERSITY OF COLORADO,113
60,UNIVERSITY OF ESSEX,111
60,VU UNIVERSITY AMSTERDAM,111
60,WASHINGTON UNIVERSITY,111
63,UNIVERSITY OF MELBOURNE,110
