Rank,University,Score
1,HARVARD UNIVERSITY,3103
2,STANFORD UNIVERSITY,1655
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",1540
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1444
5,YALE UNIVERSITY,1195
6,COLUMBIA UNIVERSITY,1134
7,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1116
8,UNIVERSITY OF OXFORD,1089
9,UNIVERSITY OF CHICAGO,1048
10,UNIVERSITY OF PENNSYLVANIA,1006
11,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",930
12,UNIVERSITY OF MICHIGAN,905
13,NEW YORK UNIVERSITY,881
14,DUKE UNIVERSITY,848
15,UNIVERSITY OF CAMBRIDGE,844
16,CORNELL UNIVERSITY,838
17,UNIVERSITY OF WASHINGTON,831
18,PRINCETON UNIVERSITY,805
19,NORTHWESTERN UNIVERSITY,772
20,UNIVERSITY OF TORONTO,738
21,CALIFORNIA INSTITUTE OF TECHNOLOGY,716
22,JOHNS HOPKINS UNIVERSITY,673
23,UNIVERSITY COLLEGE LONDON,662
24,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",657
25,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",650
26,UNIVERSITY OF MARYLAND,638
27,"UNIVERSITY OF CALIFORNIA, DAVIS",622
28,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",613
29,WASHINGTON UNIVERSITY,610
30,CHINESE ACADEMY OF SCIENCES,608
31,UNIVERSITY OF TOKYO,601
32,"UNIVERSITY OF MINNESOTA, TWIN CITIES",582
33,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,542
34,UNIVERSITY OF WISCONSIN,541
35,ETH ZURICH,537
36,UNIVERSITY OF BRITISH COLUMBIA,522
37,OHIO STATE UNIVERSITY,498
37,UNIVERSITY OF COLORADO,498
39,UNIVERSITY OF COPENHAGEN,487
40,"UNIVERSITY OF TEXAS, AUSTIN",485
41,PENNSYLVANIA STATE UNIVERSITY,458
42,IMPERIAL COLLEGE LONDON,449
42,UNIVERSITY OF ZURICH,449
44,"UNIVERSITY OF CALIFORNIA, IRVINE",445
44,UNIVERSITY OF SOUTHERN CALIFORNIA,445
46,BOSTON UNIVERSITY,438
47,TEXAS A&M UNIVERSITY,429
48,UNIVERSITY OF MELBOURNE,409
49,UNIVERSITY OF MUNICH,406
50,INDIANA UNIVERSITY,387
51,KYOTO UNIVERSITY,371
52,NATIONAL UNIVERSITY OF SINGAPORE,369
53,UNIVERSITY OF AMSTERDAM,360
54,UNIVERSITY OF PARIS VI,349
54,VANDERBILT UNIVERSITY,349
56,PURDUE UNIVERSITY,339
57,UNIVERSITY OF BONN,335
58,MCGILL UNIVERSITY,333
59,UNIVERSITY OF ARIZONA,332
60,MICHIGAN STATE UNIVERSITY,331
60,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",331
62,UNIVERSITY OF WARWICK,326
63,TILBURG UNIVERSITY,324
64,EMORY UNIVERSITY,316
65,RUTGERS STATE UNIVERSITY,315
65,UNIVERSITY OF PITTSBURGH,315
67,UNIVERSITY OF MASSACHUSETTS,313
68,ARIZONA STATE UNIVERSITY,312
68,UNIVERSITY OF VIRGINIA,312
70,PEKING UNIVERSITY,311
71,AARHUS UNIVERSITY,310
72,UNIVERSITY OF EDINBURGH,308
73,OSAKA UNIVERSITY,307
74,BROWN UNIVERSITY,303
75,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",296
76,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,295
77,UNIVERSITY OF QUEENSLAND,292
78,UNIVERSITY OF BRISTOL,291
78,UNIVERSITY OF NOTTINGHAM,291
80,UNIVERSITY OF MANCHESTER,290
81,CARNEGIE MELLON UNIVERSITY,289
82,UNIVERSITY OF ROCHESTER,288
83,UNIVERSITY OF FLORIDA,287
84,VRIJE UNIVERSITEIT AMSTERDAM,285
85,HEBREW UNIVERSITY OF JERUSALEM,284
86,POMPEU FABRA UNIVERSITY,279
87,STOCKHOLM UNIVERSITY,278
88,MONASH UNIVERSITY,276
89,TSINGHUA UNIVERSITY,268
90,AUSTRALIAN NATIONAL UNIVERSITY,267
91,TEL AVIV UNIVERSITY,264
92,HEIDELBERG UNIVERSITY,260
92,UNIVERSITY OF PARIS VII,260
92,UNIVERSITY OF UTAH,260
95,UNIVERSITY OF NEW SOUTH WALES,259
96,KATHOLIEKE UNIVERSITEIT LEUVEN,257
97,ERASMUS UNIVERSITY ROTTERDAM,254
98,GEORGIA INSTITUTE OF TECHNOLOGY,251
99,UNIVERSITY OF IOWA,250
100,GOETHE UNIVERSITY FRANKFURT,245
101,UPPSALA UNIVERSITY,241
102,SEOUL NATIONAL UNIVERSITY,238
102,UNIVERSITY OF VIENNA,238
104,UNIVERSITY OF COLOGNE,237
