Rank,University,Score
1,HARVARD UNIVERSITY,2352
2,"UNIVERSITY OF CALIFORNIA, BERKELEY",1244
3,STANFORD UNIVERSITY,1238
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1047
5,YALE UNIVERSITY,891
6,UNIVERSITY OF PENNSYLVANIA,882
7,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",817
8,UNIVERSITY OF TEXAS,808
9,UNIVERSITY OF CHICAGO,792
10,CORNELL UNIVERSITY,785
11,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",748
12,COLUMBIA UNIVERSITY,724
13,NEW YORK UNIVERSITY,692
14,CALIFORNIA INSTITUTE OF TECHNOLOGY,644
15,UNIVERSITY OF MICHIGAN,631
16,UNIVERSITY OF WASHINGTON,625
17,DUKE UNIVERSITY,600
18,UNIVERSITY OF OXFORD,585
19,JOHNS HOPKINS UNIVERSITY,578
20,PRINCETON UNIVERSITY,563
21,NORTHWESTERN UNIVERSITY,554
22,WASHINGTON UNIVERSITY,523
23,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",521
24,UNIVERSITY OF MARYLAND,514
25,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",491
25,UNIVERSITY OF CAMBRIDGE,491
27,"UNIVERSITY OF MINNESOTA, TWIN CITIES",487
28,UNIVERSITY OF TOKYO,482
29,UNIVERSITY OF WISCONSIN,457
30,UNIVERSITY OF TORONTO,449
31,"UNIVERSITY OF CALIFORNIA, DAVIS",416
32,UNIVERSITY OF COLORADO,391
33,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",390
34,UNIVERSITY COLLEGE LONDON,380
35,PENNSYLVANIA STATE UNIVERSITY,374
36,BOSTON UNIVERSITY,363
37,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,362
38,UNIVERSITY OF BRITISH COLUMBIA,344
39,UNIVERSITY OF ARIZONA,339
40,UNIVERSITY OF SOUTHERN CALIFORNIA,326
41,"UNIVERSITY OF CALIFORNIA, IRVINE",320
42,OHIO STATE UNIVERSITY,318
43,RUTGERS STATE UNIVERSITY,306
44,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",305
45,TEXAS A&M UNIVERSITY,304
46,VANDERBILT UNIVERSITY,295
47,IMPERIAL COLLEGE LONDON,279
48,KYOTO UNIVERSITY,270
49,UNIVERSITY OF PITTSBURGH,264
50,AUSTRALIAN NATIONAL UNIVERSITY,262
51,MICHIGAN STATE UNIVERSITY,259
52,HEBREW UNIVERSITY OF JERUSALEM,252
52,UNIVERSITY OF AMSTERDAM,252
54,UNIVERSITY OF VIRGINIA,251
55,BROWN UNIVERSITY,249
56,INDIANA UNIVERSITY,246
56,UNIVERSITY OF MASSACHUSETTS,246
58,UNIVERSITY OF ROCHESTER,245
59,TEL AVIV UNIVERSITY,241
60,PURDUE UNIVERSITY,240
61,UNIVERSITY OF PARIS VI,238
62,UNIVERSITY OF FLORIDA,237
63,UNIVERSITY OF IOWA,229
64,EMORY UNIVERSITY,224
65,UNIVERSITY OF COPENHAGEN,223
66,CARNEGIE MELLON UNIVERSITY,220
67,UNIVERSITY OF UTAH,214
68,UNIVERSITY OF NOTTINGHAM,213
69,OSAKA UNIVERSITY,207
70,UNIVERSITY OF GEORGIA,205
71,ARIZONA STATE UNIVERSITY,201
71,MCGILL UNIVERSITY,201
73,UNIVERSITY OF ZURICH,200
74,"SUNY, STONY BROOK",199
75,UNIVERSITE CATHOLIQUE DE LOUVAIN,198
76,TILBURG UNIVERSITY,193
77,UNIVERSITY OF EDINBURGH,190
78,UNIVERSITY OF MANCHESTER,188
79,UNIVERSITY OF WARWICK,187
80,UNIVERSITY OF MUNICH,186
81,UNIVERSITY OF MELBOURNE,184
82,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,176
83,CHINESE ACADEMY OF SCIENCES,174
84,VRIJE UNIVERSITEIT AMSTERDAM,173
