Rank,University,Score
1,HARVARD UNIVERSITY,2038
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,977
3,STANFORD UNIVERSITY,950
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",932
5,YALE UNIVERSITY,806
6,UNIVERSITY OF TEXAS,799
7,UNIVERSITY OF CHICAGO,723
8,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",682
8,UNIVERSITY OF PENNSYLVANIA,682
10,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",678
11,UNIVERSITY OF WASHINGTON,593
12,CORNELL UNIVERSITY,592
13,UNIVERSITY OF WISCONSIN,566
14,JOHNS HOPKINS UNIVERSITY,559
15,COLUMBIA UNIVERSITY,545
16,UNIVERSITY OF MICHIGAN,543
17,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",518
18,DUKE UNIVERSITY,498
19,WASHINGTON UNIVERSITY,490
20,NORTHWESTERN UNIVERSITY,484
21,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",448
22,NEW YORK UNIVERSITY,433
23,CALIFORNIA INSTITUTE OF TECHNOLOGY,432
24,"UNIVERSITY OF MINNESOTA, TWIN CITIES",429
25,PRINCETON UNIVERSITY,404
26,UNIVERSITY OF COLORADO,389
27,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",386
28,UNIVERSITY OF MARYLAND,370
29,UNIVERSITY OF OXFORD,355
30,UNIVERSITY OF TORONTO,348
31,UNIVERSITY OF CAMBRIDGE,337
32,UNIVERSITY OF BRITISH COLUMBIA,322
33,PENNSYLVANIA STATE UNIVERSITY,305
34,INDIANA UNIVERSITY,299
35,BOSTON UNIVERSITY,298
36,UNIVERSITY OF ROCHESTER,279
37,"UNIVERSITY OF CALIFORNIA, DAVIS",278
38,UNIVERSITY OF SOUTHERN CALIFORNIA,274
39,RUTGERS STATE UNIVERSITY,271
39,UNIVERSITY OF ARIZONA,271
41,OHIO STATE UNIVERSITY,268
42,UNIVERSITY OF TOKYO,252
43,"UNIVERSITY OF CALIFORNIA, IRVINE",250
44,HEBREW UNIVERSITY OF JERUSALEM,244
45,TEXAS A&M UNIVERSITY,240
46,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,226
47,PURDUE UNIVERSITY,224
48,TEL AVIV UNIVERSITY,223
49,AUSTRALIAN NATIONAL UNIVERSITY,213
49,MICHIGAN STATE UNIVERSITY,213
51,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",211
51,UNIVERSITY OF VIRGINIA,211
53,UNIVERSITY OF FLORIDA,207
54,UNIVERSITY OF MASSACHUSETTS,206
55,UNIVERSITY OF IOWA,203
56,"SUNY, STONY BROOK",190
57,UNIVERSITY OF PITTSBURGH,186
57,VANDERBILT UNIVERSITY,186
59,CARNEGIE MELLON UNIVERSITY,185
60,MCGILL UNIVERSITY,182
61,UNIVERSITY OF UTAH,176
62,UNIVERSITY COLLEGE LONDON,175
63,BROWN UNIVERSITY,172
64,ARIZONA STATE UNIVERSITY,162
65,UNIVERSITY OF MONTREAL,160
66,OSAKA UNIVERSITY,157
67,NORTH CAROLINA STATE UNIVERSITY,147
68,KYOTO UNIVERSITY,144
69,UNIVERSITY OF ALABAMA,143
69,UNIVERSITY OF GEORGIA,143
71,UNIVERSITY OF AMSTERDAM,142
72,UNIVERSITY OF MUNICH,138
72,UNIVERSITY OF ZURICH,138
74,TUFTS UNIVERSITY,133
74,UNIVERSITY OF CONNECTICUT,133
76,CASE WESTERN RESERVE UNIVERSITY,131
77,TILBURG UNIVERSITY,130
78,"UNIVERSITY OF TENNESSEE, KNOXVILLE",125
79,UNIVERSITY OF HAWAII,120
80,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",118
81,QUEENS UNIVERSITY,117
82,UNIVERSITY OF PARIS VI,114
83,IOWA STATE UNIVERSITY,113
83,UNIVERSITY OF WESTERN ONTARIO,113
85,BRANDEIS UNIVERSITY,112
86,ERASMUS UNIVERSITY ROTTERDAM,111
86,UNIVERSITY OF BASEL,111
88,UNIVERSITY OF EDINBURGH,110
89,EMORY UNIVERSITY,109
89,UNIVERSITY OF WARWICK,109
91,GEORGETOWN UNIVERSITY,108
92,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,107
93,FLORIDA STATE UNIVERSITY,106
94,STOCKHOLM UNIVERSITY,105
94,UNIVERSITY OF ALBERTA,105
96,HEIDELBERG UNIVERSITY,101
97,OREGON STATE UNIVERSITY,99
