Rank,University,Score
1,HARVARD UNIVERSITY,2096
2,STANFORD UNIVERSITY,1133
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",1064
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,995
5,UNIVERSITY OF TEXAS,794
6,UNIVERSITY OF PENNSYLVANIA,782
7,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",757
8,YALE UNIVERSITY,756
9,UNIVERSITY OF CHICAGO,702
10,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",660
11,CORNELL UNIVERSITY,656
12,UNIVERSITY OF WASHINGTON,597
13,UNIVERSITY OF MICHIGAN,590
14,UNIVERSITY OF WISCONSIN,574
15,NEW YORK UNIVERSITY,565
16,DUKE UNIVERSITY,556
17,COLUMBIA UNIVERSITY,548
18,JOHNS HOPKINS UNIVERSITY,522
19,PRINCETON UNIVERSITY,520
20,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",511
21,UNIVERSITY OF OXFORD,507
21,WASHINGTON UNIVERSITY,507
23,NORTHWESTERN UNIVERSITY,500
24,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",491
25,CALIFORNIA INSTITUTE OF TECHNOLOGY,475
26,UNIVERSITY OF CAMBRIDGE,456
27,UNIVERSITY OF MARYLAND,430
28,"UNIVERSITY OF MINNESOTA, TWIN CITIES",420
29,UNIVERSITY OF TOKYO,398
30,UNIVERSITY OF TORONTO,390
31,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",372
32,UNIVERSITY OF COLORADO,361
33,UNIVERSITY COLLEGE LONDON,353
34,PENNSYLVANIA STATE UNIVERSITY,352
35,"UNIVERSITY OF CALIFORNIA, DAVIS",351
36,UNIVERSITY OF ARIZONA,309
37,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,299
38,BOSTON UNIVERSITY,297
39,RUTGERS STATE UNIVERSITY,295
40,UNIVERSITY OF BRITISH COLUMBIA,278
41,OHIO STATE UNIVERSITY,266
42,UNIVERSITY OF ROCHESTER,265
43,"UNIVERSITY OF CALIFORNIA, IRVINE",263
43,UNIVERSITY OF SOUTHERN CALIFORNIA,263
45,HEBREW UNIVERSITY OF JERUSALEM,252
46,TEXAS A&M UNIVERSITY,246
47,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",243
48,VANDERBILT UNIVERSITY,242
49,UNIVERSITY OF VIRGINIA,241
50,MICHIGAN STATE UNIVERSITY,239
51,AUSTRALIAN NATIONAL UNIVERSITY,231
51,KYOTO UNIVERSITY,231
53,CARNEGIE MELLON UNIVERSITY,223
54,INDIANA UNIVERSITY,221
55,BROWN UNIVERSITY,215
55,TEL AVIV UNIVERSITY,215
57,UNIVERSITY OF FLORIDA,209
58,IMPERIAL COLLEGE LONDON,208
59,UNIVERSITY OF PITTSBURGH,205
60,PURDUE UNIVERSITY,201
60,UNIVERSITY OF EDINBURGH,201
60,UNIVERSITY OF IOWA,201
63,UNIVERSITY OF AMSTERDAM,200
63,UNIVERSITY OF MASSACHUSETTS,200
65,TILBURG UNIVERSITY,196
66,OSAKA UNIVERSITY,190
67,UNIVERSITY OF COPENHAGEN,188
68,UNIVERSITY OF WARWICK,182
69,MCGILL UNIVERSITY,180
70,UNIVERSITE CATHOLIQUE DE LOUVAIN,178
71,"SUNY, STONY BROOK",176
71,UNIVERSITY OF UTAH,176
73,UNIVERSITY OF MUNICH,174
74,UNIVERSITY OF ZURICH,173
75,UNIVERSITY OF PARIS VI,170
76,UNIVERSITY OF BRISTOL,166
77,ARIZONA STATE UNIVERSITY,162
77,EMORY UNIVERSITY,162
77,UNIVERSITY OF GEORGIA,162
80,UNIVERSITY OF NOTTINGHAM,155
81,TUFTS UNIVERSITY,152
82,CASE WESTERN RESERVE UNIVERSITY,150
82,VRIJE UNIVERSITEIT AMSTERDAM,150
84,IOWA STATE UNIVERSITY,149
85,HUMBOLDT UNIVERSITY OF BERLIN,147
86,GEORGETOWN UNIVERSITY,142
87,UNIVERSITY OF MELBOURNE,140
87,UPPSALA UNIVERSITY,140
89,ERASMUS UNIVERSITY ROTTERDAM,139
89,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,139
91,UNIVERSITY OF YORK,135
92,POMPEU FABRA UNIVERSITY,133
92,STOCKHOLM UNIVERSITY,133
92,UNIVERSITY OF BONN,133
95,DARTMOUTH COLLEGE,131
96,UNIVERSITY OF ALABAMA,130
97,WASHINGTON STATE UNIVERSITY,126
98,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",125
98,"UNIVERSITY OF ROME, LA SAPIENZA",125
100,FREE UNIVERSITY BRUSSELS,123
101,UNIVERSITY OF HELSINKI,122
102,ETH ZURICH,121
102,UNIVERSITY OF CONNECTICUT,121
102,UNIVERSITY OF MONTREAL,121
105,AARHUS UNIVERSITY,119
105,UNIVERSITY OF GRONINGEN,119
105,UNIVERSITY OF OREGON,119
105,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,119
109,LUND UNIVERSITY,118
109,NATIONAL UNIVERSITY OF SINGAPORE,118
109,UNIVERSITY OF MANCHESTER,118
109,UNIVERSITY OF OSLO,118
113,OREGON STATE UNIVERSITY,117
114,UNIVERSITY OF ALBERTA,116
114,UNIVERSITY OF CARLOS III MADRID,116
114,"UNIVERSITY OF MISSOURI, COLUMBIA",116
117,UNIVERSITY OF BASEL,115
117,UNIVERSITY OF WESTERN ONTARIO,115
119,HEIDELBERG UNIVERSITY,113
120,NORTH CAROLINA STATE UNIVERSITY,111
120,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",111
122,UNIVERSITY OF SOUTHAMPTON,110
123,QUEENS UNIVERSITY,109
124,UNIVERSITY OF ESSEX,108
124,UNIVERSITY OF HAWAII,108
126,CHINESE UNIVERSITY OF HONG KONG,106
127,CHINESE ACADEMY OF SCIENCES,105
127,UNIVERSITY OF VIENNA,105
129,STOCKHOLM SCHOOL OF ECONOMICS,104
129,UNIVERSITY OF NOTRE DAME,104
131,RICE UNIVERSITY,103
131,UNIVERSITY OF SHEFFIELD,103
133,BOSTON COLLEGE,101
133,LOUISIANA STATE UNIVERSITY,101
133,SYRACUSE UNIVERSITY,101
133,TULANE UNIVERSITY,101
133,"UNIVERSITY OF TENNESSEE, KNOXVILLE",101
133,UNIVERSITY OF UTRECHT,101
139,TECHNICAL UNIVERSITY OF MUNICH,100
140,GEORGIA INSTITUTE OF TECHNOLOGY,96
140,UNIVERSITY OF NEW SOUTH WALES,96
142,UNIVERSITY OF STRASBOURG,95
143,KATHOLIEKE UNIVERSITEIT LEUVEN,94
143,TECHNION ISRAEL,94
143,TOHOKU UNIVERSITY,94
146,UNIVERSITY OF LEICESTER,92
146,UNIVERSITY OF NEW MEXICO,92
148,UNIVERSITY OF GENEVA,89
148,UNIVERSITY OF KENTUCKY,89
148,"UNIVERSITY OF NEBRASKA, LINCOLN",89
151,BRANDEIS UNIVERSITY,88
151,FREE UNIVERSITY BERLIN,88
151,NAGOYA UNIVERSITY,88
151,UNIVERSITY OF HOUSTON,88
155,UNIVERSITY OF FREIBURG,87
156,FLORIDA STATE UNIVERSITY,86
156,UNIVERSITY OF GLASGOW,86
158,GEORGE WASHINGTON UNIVERSITY,85
158,LEIDEN UNIVERSITY,85
158,UNIVERSITY OF BOLOGNA,85
158,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,85
162,SOUTHERN METHODIST UNIVERSITY,84
163,MCMASTER UNIVERSITY,83
164,UNIVERSITY OF PARIS XI,82
164,UNIVERSITY OF QUEENSLAND,82
166,UNIVERSITY OF BARCELONA,81
166,UNIVERSITY OF CALGARY,81
166,UNIVERSITY OF HONG KONG,81
166,UNIVERSITY OF MIAMI,81
170,UNIVERSITY OF DELAWARE,80
170,UNIVERSITY OF PARIS I,80
172,LONDON BUSINESS SCHOOL,79
173,COLORADO STATE UNIVERSITY,78
173,UNIVERSITY OF BERN,78
175,UNIVERSITY OF CINCINNATI,77
175,UNIVERSITY OF OKLAHOMA,77
177,KYUSHU UNIVERSITY,76
177,UNIVERSITY OF LONDON,76
179,UNIVERSITY OF COLOGNE,75
179,UNIVERSITY OF TSUKUBA,75
181,BEN GURION UNIVERSITY OF THE NEGEV,74
181,UNIVERSITY OF BIRMINGHAM,74
181,UNIVERSITY OF WURZBURG,74
184,GEORGIA STATE UNIVERSITY,73
184,UNIVERSITY OF SUSSEX,73
186,UNIVERSITY OF GOTHENBURG,72
186,UNIVERSITY OF KANSAS,72
186,UNIVERSITY OF LAUSANNE,72
189,INSEAD,71
189,UMEA UNIVERSITY,71
191,UNIVERSITY OF AUCKLAND,70
191,UNIVERSITY OF PADUA,70
191,UNIVERSITY OF TUBINGEN,70
194,"QUEEN MARY, UNIVERSITY OF LONDON",68
194,UNIVERSITY OF DURHAM,68
194,UNIVERSITY OF EAST ANGLIA,68
194,UNIVERSITY OF SYDNEY,68
198,UNIVERSITY AUTONOMA BARCELONA,67
198,UNIVERSITY OF WESTERN AUSTRALIA,67
198,YORK UNIVERSITY,67
201,MAASTRICHT UNIVERSITY,66
201,UNIVERSITY OF KONSTANZ,66
201,UNIVERSITY OF MEDICINE DENTISTRY NEW JERSEY,66
204,SIMON FRASER UNIVERSITY,65
204,UNIVERSITY OF LEEDS,65
204,UNIVERSITY OF LYON,65
204,WAYNE STATE UNIVERSITY,65
208,MONASH UNIVERSITY,63
208,SEOUL NATIONAL UNIVERSITY,63
208,UNIVERSITY OF KIEL,63
211,BAR ILAN UNIVERSITY,62
211,BIELEFELD UNIVERSITY,62
211,UNIVERSITY OF MANNHEIM,62
211,UNIVERSITY OF ST ANDREWS,62
215,GEORGE MASON UNIVERSITY,61
215,TOKYO INSTITUTE OF TECHNOLOGY,61
215,UNIVERSITY OF HAIFA,61
215,UNIVERSITY OF HAMBURG,61
215,UNIVERSITY OF LIVERPOOL,61
220,BOCCONI UNIVERSITY,60
220,HOKKAIDO UNIVERSITY,60
220,NEWCASTLE UNIVERSITY,60
220,UNIVERSITY OF SOUTH CAROLINA,60
220,UNIVERSITY OF WYOMING,60
225,UNIVERSITY OF FLORENCE,59
226,GOETHE UNIVERSITY FRANKFURT,58
226,"SUNY, ALBANY",58
226,UNIVERSITY OF SOUTHERN DENMARK,58
229,KANSAS STATE UNIVERSITY,57
230,UNIVERSITY OF EXETER,56
230,UNIVERSITY OF PARIS VII,56
232,UNIVERSITY OF READING,55
233,UNIVERSITY LAVAL,54
233,"UNIVERSITY OF NEVADA, RENO",54
233,UNIVERSITY OF ULM,54
236,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",53
236,EUROPEAN UNIVERSITY INSTITUTE,53
236,LANCASTER UNIVERSITY,53
236,UNIVERSITY OF MAINE,53
240,COLLEGE OF WILLIAM AND MARY,52
240,UNIVERSITY OF GOTTINGEN,52
240,UNIVERSITY OF MILAN,52
243,KOBE UNIVERSITY,51
243,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,51
243,UNIVERSITY OF BERGEN,51
243,UNIVERSITY OF MAINZ,51
247,KEIO UNIVERSITY,50
247,MONTANA STATE UNIVERSITY,50
247,NEW UNIVERSITY OF LISBON (NOVA),50
247,RUHR UNIVERSITY BOCHUM,50
247,UNIVERSITY OF WALES,50
247,UNIVERSITY OF GUELPH,50
253,FLORIDA INTERNATIONAL UNIVERSITY,49
254,UNIVERSITY OF DUNDEE,48
254,UNIVERSITY OF NAPLES FEDERICO 2,48
254,UNIVERSITY OF TURIN,48
257,CHALMERS UNIVERSITY OF TECHNOLOGY,47
257,"CHARLES UNIVERSITY, PRAGUE",47
257,RADBOUD UNIVERSITY NIJMEGEN,47
257,"SUNY, BUFFALO",47
257,UNIVERSITY OF SAO PAULO,47
257,UNIVERSITY OF SOUTH FLORIDA,47
263,NATIONAL TAIWAN UNIVERSITY,46
263,UNIVERSITY OF REGENSBURG,46
263,UNIVERSITY OF WATERLOO,46
266,BRIGHAM YOUNG UNIVERSITY,45
266,UNIVERSITY OF ABERDEEN,45
266,UNIVERSITY OF OTTAWA,45
266,UNIVERSITY OF TOULOUSE 3,45
266,UTAH STATE UNIVERSITY,45
271,CHIBA UNIVERSITY,44
271,UNIVERSITY OF CHILE,44
271,UNIVERSITY OF MONTPELLIER 2,44
271,UNIVERSITY OF QUEBEC,44
271,WAKE FOREST UNIVERSITY,44
276,CARLETON UNIVERSITY,43
276,UNIVERSITY AUTONOMA MADRID,43
276,UNIVERSITY COMPLUTENSE MADRID,43
276,UNIVERSITY NACIONAL AUTONOMA MEXICO,43
276,UNIVERSITY OF BATH,43
276,UNIVERSITY OF CERGY PONTOISE,43
282,DELFT UNIVERSITY OF TECHNOLOGY,42
282,"KINGS COLLEGE, LONDON",42
282,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",42
282,UNIVERSITY OF ADELAIDE,42
282,UNIVERSITY OF CENTRAL FLORIDA,42
282,UNIVERSITY OF DUSSELDORF,42
282,UNIVERSITY OF INNSBRUCK,42
282,UNIVERSITY OF VALENCIA,42
290,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,41
290,TEXAS TECHNICAL UNIVERSITY,41
290,UNIVERSITY OF MARBURG,41
293,AUBURN UNIVERSITY,40
293,DALHOUSIE UNIVERSITY,40
293,SOUTHERN ILLINOIS UNIVERSITY,40
293,"SUNY, BINGHAMTON",40
293,UNIVERSITY OF ALICANTE,40
293,UNIVERSITY OF CYPRUS,40
299,QUEENS UNIVERSITY BELFAST,39
299,UNIVERSITY COLLEGE DUBLIN,39
299,UNIVERSITY OF GRENOBLE 1,39
299,UNIVERSITY OF KARLSRUHE,39
299,UNIVERSITY OF KENT,39
299,"UNIVERSITY OF ROME, TOR VERGATA",39
299,WAGENINGEN UNIVERSITY,39
306,BILKENT UNIVERSITY,38
306,CLEMSON UNIVERSITY,38
306,MUNSTER UNIVERSITY,38
306,SAINT LOUIS UNIVERSITY,38
310,CITY UNIVERSITY HONG KONG,37
310,TEMPLE UNIVERSITY,37
310,UNIVERSITY OF STRATHCLYDE,37
313,UNIVERSITY OF PAVIA,36
313,UNIVERSITY OF VICTORIA,36
315,UNIVERSITY OF MAGDEBURG,35
315,UNIVERSITY OF NAMUR,35
315,WEST VIRGINIA UNIVERSITY,35
318,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,34
318,PARIS DAUPHINE UNIVERSITY,34
318,UNIVERSITY OF LIEGE,34
321,EINDHOVEN UNIVERSITY OF TECHNOLOGY,33
321,TOKYO METROPOLITAN UNIVERSITY,33
321,UNIVERSITY OF ARKANSAS,33
321,UNIVERSITY OF PARIS V,33
321,VIRGINIA COMMONWEALTH UNIVERSITY,33
326,AMERICAN UNIVERSITY WASHINGTON,32
326,CARDIFF UNIVERSITY,32
326,HITOTSUBASHI UNIVERSITY,32
326,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,32
326,UNIVERSITY OF BUENOS AIRES,32
326,UNIVERSITY OF VERMONT,32
332,PEKING UNIVERSITY,31
332,THE OPEN UNIVERSITY,31
332,TRINITY COLLEGE DUBLIN,31
332,UNIVERSITY OF PARIS X,31
336,TSINGHUA UNIVERSITY,30
336,UNIVERSITY OF ERLANGEN-NURNBERG,30
336,VICTORIA UNIVERSITY OF WELLINGTON,30
336,VIENNA UNIVERSITY OF TECHNOLOGY,30
340,KUMAMOTO UNIVERSITY,29
