Rank,University,Score
1,HARVARD UNIVERSITY,640
2,"UNIVERSITY OF CALIFORNIA, BERKELEY",425
3,UNIVERSITY OF CHICAGO,421
4,UNIVERSITY OF PENNSYLVANIA,412
5,STANFORD UNIVERSITY,397
6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,386
7,NEW YORK UNIVERSITY,371
8,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,338
9,NORTHWESTERN UNIVERSITY,320
10,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",311
11,YALE UNIVERSITY,287
12,CORNELL UNIVERSITY,282
13,UNIVERSITY OF MICHIGAN,280
14,PRINCETON UNIVERSITY,278
15,COLUMBIA UNIVERSITY,275
16,"UNIVERSITY OF MINNESOTA, TWIN CITIES",259
17,DUKE UNIVERSITY,228
18,UNIVERSITY OF OXFORD,221
19,UNIVERSITY OF MARYLAND,212
20,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",193
21,TILBURG UNIVERSITY,185
22,OHIO STATE UNIVERSITY,174
23,UNIVERSITY COLLEGE LONDON,166
24,UNIVERSITY OF SOUTHERN CALIFORNIA,165
25,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",163
26,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,162
27,UNIVERSITY OF TORONTO,161
28,AUSTRALIAN NATIONAL UNIVERSITY,156
28,UNIVERSITY OF BRITISH COLUMBIA,156
28,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",156
28,UNIVERSITY OF WARWICK,156
32,UNIVERSITE CATHOLIQUE DE LOUVAIN,155
33,PENNSYLVANIA STATE UNIVERSITY,152
34,MICHIGAN STATE UNIVERSITY,151
34,"UNIVERSITY OF CALIFORNIA, DAVIS",151
36,TEXAS A&M UNIVERSITY,150
36,UNIVERSITY OF WISCONSIN,150
38,UNIVERSITY OF AMSTERDAM,147
39,BOSTON UNIVERSITY,141
40,CARNEGIE MELLON UNIVERSITY,140
40,TEL AVIV UNIVERSITY,140
40,UNIVERSITY OF NOTTINGHAM,140
43,UNIVERSITY OF ROCHESTER,139
44,UNIVERSITY OF TEXAS,136
