Rank,University,Score
1,HARVARD UNIVERSITY,810
2,UNIVERSITY OF CHICAGO,609
3,STANFORD UNIVERSITY,562
4,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,547
5,"UNIVERSITY OF CALIFORNIA, BERKELEY",536
6,COLUMBIA UNIVERSITY,497
7,UNIVERSITY OF OXFORD,493
8,UNIVERSITY OF PENNSYLVANIA,485
9,NEW YORK UNIVERSITY,448
10,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,439
11,PRINCETON UNIVERSITY,400
11,YALE UNIVERSITY,400
13,UNIVERSITY OF MICHIGAN,388
14,NORTHWESTERN UNIVERSITY,387
15,DUKE UNIVERSITY,361
16,CORNELL UNIVERSITY,319
16,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",319
18,UNIVERSITY OF TORONTO,298
19,UNIVERSITY COLLEGE LONDON,282
20,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",279
21,TILBURG UNIVERSITY,274
22,TEXAS A&M UNIVERSITY,270
23,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",269
24,UNIVERSITY OF WARWICK,268
25,NATIONAL UNIVERSITY OF SINGAPORE,266
26,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,261
27,"UNIVERSITY OF MINNESOTA, TWIN CITIES",255
28,UNIVERSITY OF MARYLAND,237
29,UNIVERSITY OF CAMBRIDGE,235
30,BOCCONI UNIVERSITY,230
31,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",229
32,"UNIVERSITY OF CALIFORNIA, DAVIS",225
33,UNIVERSITY OF ZURICH,224
34,UNIVERSITY OF BONN,217
35,UNIVERSITY OF WASHINGTON,216
36,INDIANA UNIVERSITY,214
37,UNIVERSITY OF MELBOURNE,213
38,ERASMUS UNIVERSITY ROTTERDAM,212
38,UNIVERSITY OF MUNICH,212
40,BOSTON UNIVERSITY,206
40,MONASH UNIVERSITY,206
42,OHIO STATE UNIVERSITY,205
42,UNIVERSITY OF NOTTINGHAM,205
42,UNIVERSITY OF SOUTHERN CALIFORNIA,205
45,ETH ZURICH,202
46,UNIVERSITY OF COPENHAGEN,199
47,CARNEGIE MELLON UNIVERSITY,194
48,UNIVERSITY OF MANNHEIM,192
49,UNIVERSITY OF BRITISH COLUMBIA,191
49,VU UNIVERSITY AMSTERDAM,191
51,MAASTRICHT UNIVERSITY,190
52,"UNIVERSITY OF TEXAS, AUSTIN",187
53,AARHUS UNIVERSITY,183
53,UNIVERSITY OF ESSEX,183
55,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,180
56,UNIVERSITY OF AMSTERDAM,178
56,UNIVERSITY OF WISCONSIN,178
58,PEKING UNIVERSITY,172
58,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,172
60,AUSTRALIAN NATIONAL UNIVERSITY,171
60,PENNSYLVANIA STATE UNIVERSITY,171
62,KATHOLIEKE UNIVERSITEIT LEUVEN,170
62,UNIVERSITY OF NEW SOUTH WALES,170
64,MICHIGAN STATE UNIVERSITY,169
65,PURDUE UNIVERSITY,168
65,UNIVERSITY OF COLOGNE,168
65,UNIVERSITY OF VIRGINIA,168
68,POMPEU FABRA UNIVERSITY,167
69,UNIVERSITE CATHOLIQUE DE LOUVAIN,163
70,BARCELONA GRADUATE SCHOOL OF ECONOMICS,162
71,BOSTON COLLEGE,158
71,UNIVERSITY OF CARLOS III MADRID,158
73,ARIZONA STATE UNIVERSITY,155
74,JOHNS HOPKINS UNIVERSITY,149
75,UNIVERSITY OF MANCHESTER,147
76,GEORGETOWN UNIVERSITY,143
77,UNIVERSITE LIBRE DE BRUXELLES,142
78,SINGAPORE MANAGEMENT UNIVERSITY,141
78,UNIVERSITY OF PARIS I,141
80,"UNIVERSITY OF WISCONSIN, MADISON",139
81,UNIVERSITY OF BOLOGNA,137
82,BROWN UNIVERSITY,136
83,STOCKHOLM UNIVERSITY,135
84,UNIVERSITY OF ROCHESTER,134
84,UNIVERSITY OF VIENNA,134
86,GOETHE UNIVERSITY FRANKFURT,133
87,HEBREW UNIVERSITY OF JERUSALEM,132
88,"UNIVERSITY OF CALIFORNIA, IRVINE",131
89,UNIVERSITY OF YORK,130
90,FLORIDA STATE UNIVERSITY,129
90,IMPERIAL COLLEGE LONDON,129
90,TSINGHUA UNIVERSITY,129
93,TEL AVIV UNIVERSITY,128
94,WASHINGTON UNIVERSITY,127
95,UNIVERSITY OF NOTRE DAME,125
96,CHINESE UNIVERSITY OF HONG KONG,124
97,LONDON BUSINESS SCHOOL,121
98,HUMBOLDT UNIVERSITY OF BERLIN,119
99,PARIS DAUPHINE UNIVERSITY,118
99,UNIVERSITY OF BRISTOL,118
101,CALIFORNIA INSTITUTE OF TECHNOLOGY,117
101,VANDERBILT UNIVERSITY,117
103,GEORGIA STATE UNIVERSITY,115
103,UNIVERSITY OF SYDNEY,115
105,UNIVERSITY OF HONG KONG,114
105,UNIVERSITY OF SOUTHAMPTON,114
107,DARTMOUTH COLLEGE,113
108,UNIVERSITY OF COLORADO,112
109,UNIVERSITY OF GOTHENBURG,111
110,CITY UNIVERSITY LONDON,110
110,UNIVERSITY OF QUEENSLAND,110
112,UNIVERSITY OF GRONINGEN,109
113,STOCKHOLM SCHOOL OF ECONOMICS,107
114,UNIVERSITY OF EAST ANGLIA,105
115,UNIVERSITY OF LAUSANNE,104
115,UNIVERSITY OF TOKYO,104
117,SIMON FRASER UNIVERSITY,103
117,UNIVERSITY OF OSLO,103
119,NANYANG TECHNOLOGICAL UNIVERSITY,102
119,NORTH CAROLINA STATE UNIVERSITY,102
119,RUTGERS STATE UNIVERSITY,102
119,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",102
123,AIX MARSEILLE UNIVERSITY,100
124,UNIVERSITY OF IOWA,98
124,UNIVERSITY OF LONDON,98
124,UNIVERSITY OF ST GALLEN,98
127,LANCASTER UNIVERSITY,97
127,SEOUL NATIONAL UNIVERSITY,97
129,UNIVERSITY AUTONOMA BARCELONA,96
130,GEORGE MASON UNIVERSITY,94
130,UNIVERSITY OF HOUSTON,94
130,UNIVERSITY OF OREGON,94
130,UNIVERSITY OF PITTSBURGH,94
134,CHAPMAN UNIVERSITY,91
134,SOUTHERN METHODIST UNIVERSITY,91
136,UNIVERSITY OF TECHNOLOGY SYDNEY,90
137,EMORY UNIVERSITY,89
138,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",87
