Rank,University,Score
1,HARVARD UNIVERSITY,2102
2,STANFORD UNIVERSITY,1095
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",1051
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,967
5,UNIVERSITY OF TEXAS,801
6,UNIVERSITY OF PENNSYLVANIA,776
7,YALE UNIVERSITY,753
8,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",744
9,UNIVERSITY OF CHICAGO,716
10,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",685
11,CORNELL UNIVERSITY,647
12,UNIVERSITY OF WASHINGTON,586
13,UNIVERSITY OF MICHIGAN,573
14,UNIVERSITY OF WISCONSIN,568
15,COLUMBIA UNIVERSITY,548
16,NEW YORK UNIVERSITY,544
17,DUKE UNIVERSITY,538
18,CALIFORNIA INSTITUTE OF TECHNOLOGY,518
18,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",518
20,JOHNS HOPKINS UNIVERSITY,517
21,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",513
22,NORTHWESTERN UNIVERSITY,511
23,WASHINGTON UNIVERSITY,502
24,PRINCETON UNIVERSITY,501
25,UNIVERSITY OF OXFORD,500
26,UNIVERSITY OF CAMBRIDGE,455
27,UNIVERSITY OF MARYLAND,443
28,"UNIVERSITY OF MINNESOTA, TWIN CITIES",400
29,UNIVERSITY OF TOKYO,380
30,UNIVERSITY OF COLORADO,362
31,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",361
32,"UNIVERSITY OF CALIFORNIA, DAVIS",359
33,PENNSYLVANIA STATE UNIVERSITY,358
33,UNIVERSITY OF TORONTO,358
35,UNIVERSITY COLLEGE LONDON,347
36,UNIVERSITY OF ARIZONA,304
37,RUTGERS STATE UNIVERSITY,293
38,UNIVERSITY OF BRITISH COLUMBIA,285
39,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,278
40,BOSTON UNIVERSITY,277
41,"UNIVERSITY OF CALIFORNIA, IRVINE",271
42,OHIO STATE UNIVERSITY,267
43,HEBREW UNIVERSITY OF JERUSALEM,259
44,UNIVERSITY OF SOUTHERN CALIFORNIA,258
45,UNIVERSITY OF ROCHESTER,257
46,VANDERBILT UNIVERSITY,237
47,TEXAS A&M UNIVERSITY,236
47,UNIVERSITY OF VIRGINIA,236
49,MICHIGAN STATE UNIVERSITY,234
50,TEL AVIV UNIVERSITY,233
51,BROWN UNIVERSITY,229
52,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",227
53,INDIANA UNIVERSITY,225
54,AUSTRALIAN NATIONAL UNIVERSITY,219
55,KYOTO UNIVERSITY,218
56,UNIVERSITY OF FLORIDA,215
57,CARNEGIE MELLON UNIVERSITY,209
58,TILBURG UNIVERSITY,207
59,UNIVERSITY OF IOWA,205
59,UNIVERSITY OF PITTSBURGH,205
61,MCGILL UNIVERSITY,203
61,PURDUE UNIVERSITY,203
63,UNIVERSITY OF MASSACHUSETTS,194
64,OSAKA UNIVERSITY,193
64,UNIVERSITY OF AMSTERDAM,193
66,IMPERIAL COLLEGE LONDON,190
67,UNIVERSITY OF COPENHAGEN,187
68,"SUNY, STONY BROOK",182
69,UNIVERSITY OF EDINBURGH,181
70,UNIVERSITY OF WARWICK,176
71,UNIVERSITE CATHOLIQUE DE LOUVAIN,175
72,UNIVERSITY OF BRISTOL,174
73,UNIVERSITY OF UTAH,173
74,CASE WESTERN RESERVE UNIVERSITY,168
75,UNIVERSITY OF ZURICH,167
76,UNIVERSITY OF MUNICH,162
77,ARIZONA STATE UNIVERSITY,159
77,UNIVERSITY OF PARIS VI,159
79,HUMBOLDT UNIVERSITY OF BERLIN,154
80,EMORY UNIVERSITY,150
81,UNIVERSITY OF GEORGIA,149
82,ERASMUS UNIVERSITY ROTTERDAM,146
82,VRIJE UNIVERSITEIT AMSTERDAM,146
84,IOWA STATE UNIVERSITY,145
85,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,144
86,UNIVERSITY OF NOTTINGHAM,143
87,UPPSALA UNIVERSITY,142
88,GEORGETOWN UNIVERSITY,137
88,UNIVERSITY OF ALABAMA,137
90,TUFTS UNIVERSITY,135
90,UNIVERSITY OF YORK,135
92,DARTMOUTH COLLEGE,128
92,UNIVERSITY OF OREGON,128
94,UNIVERSITY OF MELBOURNE,127
95,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",123
95,UNIVERSITY OF HELSINKI,123
95,"UNIVERSITY OF MISSOURI, COLUMBIA",123
98,HEIDELBERG UNIVERSITY,122
99,UNIVERSITY OF BONN,121
100,UNIVERSITY OF GRONINGEN,120
100,WASHINGTON STATE UNIVERSITY,120
102,UNIVERSITY OF CARLOS III MADRID,118
102,UNIVERSITY OF SOUTHAMPTON,118
104,FREE UNIVERSITY BRUSSELS,117
104,UNIVERSITY OF CONNECTICUT,117
104,"UNIVERSITY OF ROME, LA SAPIENZA",117
107,ETH ZURICH,116
108,UNIVERSITY OF BASEL,114
108,UNIVERSITY OF MONTREAL,114
108,UNIVERSITY OF OSLO,114
108,UNIVERSITY OF VIENNA,114
112,AARHUS UNIVERSITY,113
112,UNIVERSITY OF ESSEX,113
114,POMPEU FABRA UNIVERSITY,111
114,STOCKHOLM UNIVERSITY,111
114,UNIVERSITY OF MANCHESTER,111
117,QUEENS UNIVERSITY,110
118,LUND UNIVERSITY,109
118,UNIVERSITY OF ALBERTA,109
118,UNIVERSITY OF WESTERN ONTARIO,109
121,STOCKHOLM SCHOOL OF ECONOMICS,108
122,CHINESE UNIVERSITY OF HONG KONG,107
122,NORTH CAROLINA STATE UNIVERSITY,107
122,OREGON STATE UNIVERSITY,107
125,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,104
126,NATIONAL UNIVERSITY OF SINGAPORE,103
127,LOUISIANA STATE UNIVERSITY,102
128,BOSTON COLLEGE,100
128,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",100
128,UNIVERSITY OF HAWAII,100
131,"UNIVERSITY OF TENNESSEE, KNOXVILLE",98
132,UNIVERSITY OF NOTRE DAME,97
132,UNIVERSITY OF SHEFFIELD,97
134,RICE UNIVERSITY,96
134,TULANE UNIVERSITY,96
136,NAGOYA UNIVERSITY,95
137,UNIVERSITY OF NEW SOUTH WALES,94
138,UNIVERSITY OF NEW MEXICO,93
139,UNIVERSITY OF GLASGOW,92
139,UNIVERSITY OF UTRECHT,92
141,CHINESE ACADEMY OF SCIENCES,91
141,FREE UNIVERSITY BERLIN,91
141,GEORGIA INSTITUTE OF TECHNOLOGY,91
144,BRANDEIS UNIVERSITY,90
144,TECHNION ISRAEL,90
146,KATHOLIEKE UNIVERSITEIT LEUVEN,89
146,UNIVERSITY OF GENEVA,89
148,TOHOKU UNIVERSITY,88
148,UNIVERSITY OF STRASBOURG,88
150,"UNIVERSITY OF NEBRASKA, LINCOLN",87
151,SYRACUSE UNIVERSITY,86
151,UNIVERSITY OF HOUSTON,86
153,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,85
154,FLORIDA STATE UNIVERSITY,84
154,GEORGE WASHINGTON UNIVERSITY,84
154,UNIVERSITY OF BERN,84
157,LEIDEN UNIVERSITY,83
157,UNIVERSITY OF MIAMI,83
159,MCMASTER UNIVERSITY,82
159,UNIVERSITY OF HONG KONG,82
161,UNIVERSITY OF BOLOGNA,81
161,UNIVERSITY OF OKLAHOMA,81
161,UNIVERSITY OF PARIS XI,81
164,TECHNICAL UNIVERSITY OF MUNICH,80
164,UNIVERSITY OF CALGARY,80
164,UNIVERSITY OF CINCINNATI,80
167,SOUTHERN METHODIST UNIVERSITY,79
167,UNIVERSITY OF FREIBURG,79
167,UNIVERSITY OF SUSSEX,79
170,COLORADO STATE UNIVERSITY,77
170,UNIVERSITY OF LEICESTER,77
170,UNIVERSITY OF TSUKUBA,77
173,LONDON BUSINESS SCHOOL,76
174,UNIVERSITY OF KENTUCKY,75
174,UNIVERSITY OF LAUSANNE,75
174,UNIVERSITY OF QUEENSLAND,75
177,UNIVERSITY OF COLOGNE,74
177,UNIVERSITY OF DELAWARE,74
177,UNIVERSITY OF PARIS I,74
180,INSEAD,73
181,UNIVERSITY OF SYDNEY,71
182,BEN GURION UNIVERSITY OF THE NEGEV,70
182,UNIVERSITY OF BIRMINGHAM,70
184,KYUSHU UNIVERSITY,69
184,UNIVERSITY OF BARCELONA,69
184,UNIVERSITY OF KONSTANZ,69
184,UNIVERSITY OF TUBINGEN,69
188,MAASTRICHT UNIVERSITY,68
188,UNIVERSITY AUTONOMA BARCELONA,68
188,UNIVERSITY OF KANSAS,68
188,UNIVERSITY OF LONDON,68
188,UNIVERSITY OF WESTERN AUSTRALIA,68
193,UMEA UNIVERSITY,67
193,UNIVERSITY OF MANNHEIM,67
195,UNIVERSITY OF DURHAM,66
195,UNIVERSITY OF MEDICINE DENTISTRY NEW JERSEY,66
195,YORK UNIVERSITY,66
198,"SUNY, BUFFALO",65
198,UNIVERSITY OF WURZBURG,65
200,UNIVERSITY OF LYON,64
200,WAYNE STATE UNIVERSITY,64
202,GEORGIA STATE UNIVERSITY,63
202,"QUEEN MARY, UNIVERSITY OF LONDON",63
202,UNIVERSITY OF WALES,63
205,UNIVERSITY OF EAST ANGLIA,62
205,UNIVERSITY OF GOTHENBURG,62
205,UNIVERSITY OF KIEL,62
205,UNIVERSITY OF WYOMING,62
209,BIELEFELD UNIVERSITY,61
209,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",61
209,LANCASTER UNIVERSITY,61
212,HOKKAIDO UNIVERSITY,60
212,SIMON FRASER UNIVERSITY,60
212,UNIVERSITY OF AUCKLAND,60
215,UNIVERSITY OF LEEDS,59
215,UNIVERSITY OF PADUA,59
217,SEOUL NATIONAL UNIVERSITY,58
217,UNIVERSITY OF EXETER,58
217,UNIVERSITY OF HAMBURG,58
220,UNIVERSITY OF GOTTINGEN,57
220,UNIVERSITY OF ST ANDREWS,57
222,KANSAS STATE UNIVERSITY,56
222,MONASH UNIVERSITY,56
222,UNIVERSITY LAVAL,56
222,UNIVERSITY OF FLORENCE,56
222,UNIVERSITY OF PARIS VII,56
227,NEWCASTLE UNIVERSITY,55
227,"SUNY, ALBANY",55
227,UNIVERSITY OF LIVERPOOL,55
227,UNIVERSITY OF SOUTH CAROLINA,55
231,GEORGE MASON UNIVERSITY,54
232,BAR ILAN UNIVERSITY,53
232,BOCCONI UNIVERSITY,53
232,MONTANA STATE UNIVERSITY,53
232,RADBOUD UNIVERSITY NIJMEGEN,53
232,TOKYO INSTITUTE OF TECHNOLOGY,53
232,UNIVERSITY OF READING,53
238,UNIVERSITY OF GUELPH,52
238,UNIVERSITY OF ULM,52
240,RUHR UNIVERSITY BOCHUM,51
240,UNIVERSITY OF DUNDEE,51
240,UNIVERSITY OF SOUTHERN DENMARK,51
243,EUROPEAN UNIVERSITY INSTITUTE,50
243,UNIVERSITY OF MILAN,50
245,UNIVERSITY OF BERGEN,49
245,UNIVERSITY OF HAIFA,49
245,UNIVERSITY OF TOULOUSE 3,49
248,KOBE UNIVERSITY,48
248,UNIVERSITY AUTONOMA MADRID,48
248,UNIVERSITY OF SOUTH FLORIDA,48
251,KEIO UNIVERSITY,47
251,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,47
251,UNIVERSITY OF MAINZ,47
254,COLLEGE OF WILLIAM AND MARY,46
254,UNIVERSITY OF MAINE,46
254,"UNIVERSITY OF NEVADA, RENO",46
254,UNIVERSITY OF REGENSBURG,46
258,CHALMERS UNIVERSITY OF TECHNOLOGY,45
258,UNIVERSITY NACIONAL AUTONOMA MEXICO,45
258,UNIVERSITY OF CHILE,45
258,UNIVERSITY OF NAPLES FEDERICO 2,45
258,UNIVERSITY OF TURIN,45
263,SOUTHERN ILLINOIS UNIVERSITY,44
264,CHIBA UNIVERSITY,43
264,DELFT UNIVERSITY OF TECHNOLOGY,43
264,NEW UNIVERSITY OF LISBON (NOVA),43
264,UNIVERSITY OF ALICANTE,43
264,UNIVERSITY OF KENT,43
264,UNIVERSITY OF OTTAWA,43
264,UNIVERSITY OF SAO PAULO,43
264,UNIVERSITY OF WATERLOO,43
272,CARLETON UNIVERSITY,42
272,FLORIDA INTERNATIONAL UNIVERSITY,42
272,GOETHE UNIVERSITY FRANKFURT,42
272,NATIONAL TAIWAN UNIVERSITY,42
276,BRIGHAM YOUNG UNIVERSITY,41
276,TEMPLE UNIVERSITY,41
276,UNIVERSITY OF QUEBEC,41
279,DALHOUSIE UNIVERSITY,40
279,UNIVERSITY OF ABERDEEN,40
279,UNIVERSITY OF MARBURG,40
279,UNIVERSITY OF MONTPELLIER 2,40
283,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",39
283,UNIVERSITY OF CERGY PONTOISE,39
283,UNIVERSITY OF KARLSRUHE,39
283,UTAH STATE UNIVERSITY,39
283,WEST VIRGINIA UNIVERSITY,39
288,AUBURN UNIVERSITY,38
288,MUNSTER UNIVERSITY,38
288,SAINT LOUIS UNIVERSITY,38
288,UNIVERSITY OF ADELAIDE,38
292,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,37
292,WAGENINGEN UNIVERSITY,37
294,BILKENT UNIVERSITY,36
294,"CHARLES UNIVERSITY, PRAGUE",36
294,QUEENS UNIVERSITY BELFAST,36
294,UNIVERSITY COMPLUTENSE MADRID,36
294,UNIVERSITY OF CENTRAL FLORIDA,36
294,UNIVERSITY OF NAMUR,36
300,AMERICAN UNIVERSITY WASHINGTON,35
300,LA TROBE UNIVERSITY,35
300,UNIVERSITY OF BATH,35
300,UNIVERSITY OF VALENCIA,35
300,UNIVERSITY OF VICTORIA,35
300,VIRGINIA COMMONWEALTH UNIVERSITY,35
306,CLEMSON UNIVERSITY,34
306,UNIVERSITY OF DUSSELDORF,34
306,UNIVERSITY OF GRENOBLE 1,34
306,UNIVERSITY OF INNSBRUCK,34
306,UNIVERSITY OF NEW HAMPSHIRE,34
306,UNIVERSITY OF STRATHCLYDE,34
306,UNIVERSITY OF VERMONT,34
313,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,33
313,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,33
313,"SUNY, BINGHAMTON",33
313,TEXAS TECHNICAL UNIVERSITY,33
313,TRINITY COLLEGE DUBLIN,33
313,UNIVERSITY OF PARIS V,33
313,WAKE FOREST UNIVERSITY,33
320,PEKING UNIVERSITY,32
320,THE OPEN UNIVERSITY,32
320,TOKYO METROPOLITAN UNIVERSITY,32
320,UNIVERSITY COLLEGE DUBLIN,32
320,UNIVERSITY OF ARKANSAS,32
320,UNIVERSITY OF CYPRUS,32
320,UNIVERSITY OF PAVIA,32
320,UNIVERSITY OF RHODE ISLAND,32
320,"UNIVERSITY OF ROME, TOR VERGATA",32
329,"KINGS COLLEGE, LONDON",31
329,LOYOLA UNIVERSITY CHICAGO,31
331,CITY UNIVERSITY HONG KONG,30
331,NORTHEASTERN UNIVERSITY,30
331,UNIVERSITY OF ERLANGEN-NURNBERG,30
331,UNIVERSITY OF MAGDEBURG,30
331,UNIVERSITY OF MISSISSIPPI,30
336,KUMAMOTO UNIVERSITY,29
336,VICTORIA UNIVERSITY OF WELLINGTON,29
338,CARDIFF UNIVERSITY,28
338,CITY UNIVERSITY LONDON,28
338,LOMONOSOV MOSCOW STATE UNIVERSITY,28
338,UNIVERSITY OF BRESCIA,28
338,UNIVERSITY OF BUENOS AIRES,28
338,UNIVERSITY OF LIEGE,28
338,UNIVERSITY OF PARIS X,28
345,KEELE UNIVERSITY,27
345,PARIS DAUPHINE UNIVERSITY,27
345,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON",27
345,SANTA CLARA UNIVERSITY,27
345,UNIVERSITY OF DORTMUND,27
345,UNIVERSITY OF OTAGO,27
351,CONCORDIA UNIVERSITY,26
351,EAST CAROLINA UNIVERSITY,26
351,EINDHOVEN UNIVERSITY OF TECHNOLOGY,26
351,GHENT UNIVERSITY,26
351,HITOTSUBASHI UNIVERSITY,26
351,TECHNICAL UNIVERSITY OF BERLIN,26
351,UNIVERSITY OF BAYREUTH,26
351,UNIVERSITY OF ICELAND,26
351,UNIVERSITY OF ROUEN,26
351,UNIVERSITY OF TURKU,26
351,VIENNA UNIVERSITY OF TECHNOLOGY,26
362,BRUNEL UNIVERSITY,25
362,INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS,25
362,JAMES COOK UNIVERSITY,25
362,TSINGHUA UNIVERSITY,25
362,UNIVERSITY BORDEAUX 1,25
362,UNIVERSITY OF OSNABRUCK,25
368,NORTHEASTERN ILLINOIS UNIVERSITY,24
368,PONTIFICIAL CATHOLIC UNIVERSITY OF CHILE,24
368,SWARTHMORE COLLEGE,24
368,UNIVERSITY OF SALERNO,24
368,UNIVERSITY OF TWENTE,24
373,FLORIDA ATLANTIC UNIVERSITY,23
373,KOREA UNIVERSITY,23
373,UNIVERSITY OF CAPE TOWN,23
373,UNIVERSITY OF GENOA,23
373,UNIVERSITY OF GIESSEN,23
373,UNIVERSITY OF SURREY,23
379,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,22
379,CA FOSCARI UNIVERSITY OF VENICE,22
379,OKLAHOMA STATE UNIVERSITY,22
379,UNIVERSITY OF FRIBOURG,22
379,UNIVERSITY OF JENA,22
379,UNIVERSITY OF LOUISVILLE,22
379,UNIVERSITY OF MANITOBA,22
379,UNIVERSITY OF MODENA,22
379,UNIVERSITY OF SIENA,22
379,UNIVERSITY OF STIRLING,22
389,DREXEL UNIVERSITY,21
389,KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOGY,21
389,NORTHERN ARIZONA UNIVERSITY,21
389,UNIVERSITY OF PISA,21
389,UNIVERSITY OF THE BASQUE COUNTRY/PAIS VASCO,21
394,KANAZAWA UNIVERSITY,20
394,TECHNICAL UNIVERSITY OF DRESDEN,20
394,UNIVERSITY OF ALABAMA BIRMINGHAM,20
394,UNIVERSITY OF PARMA,20
394,UNIVERSITY OF ST GALLEN,20
394,UNIVERSITY OF WINDSOR,20
394,WILFRID LAURIER UNIVERSITY,20
394,YONSEI UNIVERSITY,20
402,CITY UNIVERSITY OF NEW YORK,19
402,EWHA WOMANS UNIVERSITY,19
402,HIROSHIMA UNIVERSITY,19
402,UNIVERSITY OF ANTWERP,19
402,UNIVERSITY OF CRETE,19
402,"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",19
402,UNIVERSITY OF MONTANA,19
402,UNIVERSITY OF OULU,19
402,UNIVERSITY OF ZARAGOZA,19
411,AGRICULTURAL UNIVERSITY OF NORWAY,18
411,EOTVOS LORAND UNIVERSITY,18
411,FEDERAL UNIVERSITY OF RIO DE JANEIRO,18
411,"FGV EPGE, RIO DE JANEIRO",18
411,HONG KONG POLYTECH UNIVERSITY,18
411,MACQUARIE UNIVERSITY,18
411,MASSEY UNIVERSITY,18
411,SAN DIEGO STATE UNIVERSITY,18
411,UNIVERSITY OF ATHENS,18
411,UNIVERSITY OF BREMEN,18
411,UNIVERSITY OF CAGLIARI,18
411,UNIVERSITY OF CANTABRIA,18
411,UNIVERSITY OF EVRY,18
411,UNIVERSITY OF HALLE WITTENBERG,18
411,UNIVERSITY OF NORTH TEXAS,18
411,UNIVERSITY OF SAARLAND,18
411,UNIVERSITY OF SALAMANCA,18
411,UNIVERSITY OF SASSARI,18
411,WELLESLEY COLLEGE,18
430,FORDHAM UNIVERSITY,17
430,FUDAN UNIVERSITY,17
430,KOC UNIVERSITY,17
430,LEHIGH UNIVERSITY,17
430,NIIGATA UNIVERSITY,17
430,TECHNICAL UNIVERSITY OF DENMARK,17
430,UNIVERSIDADE ESTADUAL DE CAMPINAS,17
430,UNIVERSITY OF ALASKA,17
430,UNIVERSITY OF CAEN,17
430,UNIVERSITY OF MEMPHIS,17
430,UNIVERSITY OF RENNES 1,17
430,UNIVERSITY OF WROCLAW,17
442,AALBORG UNIVERSITY,16
442,SAN FRANCISCO STATE UNIVERSITY,16
442,UNIVERSITY OF CANTERBURY,16
442,UNIVERSITY OF NEWCASTLE,16
442,UNIVERSITY OF TASMANIA,16
442,UNIVERSITY OF TOLEDO,16
442,UNIVERSITY OF TRIESTE,16
442,YOKOHAMA NATIONAL UNIVERSITY,16
450,CLAREMONT GRADUATE UNIVERSITY,15
450,CLARK UNIVERSITY,15
450,"CUNY, HUNTER COLLEGE",15
450,KENT STATE UNIVERSITY,15
450,MIAMI UNIVERSITY,15
450,NANYANG TECHNOLOGICAL UNIVERSITY,15
450,"NORWEGIAN BUSINESS SCHOOL, BI",15
450,PUBLIC UNIVERSITY OF NAVARRA,15
450,RWTH AACHEN UNIVERSITY,15
450,UNIVERSITY DE PROVENCE AIX-MARSEILLE 1,15
450,UNIVERSITY OF BARI,15
450,UNIVERSITY OF LILLE 3,15
450,UNIVERSITY OF MALAGA,15
450,UNIVERSITY OF PRETORIA,15
450,UNIVERSITY OF SOUTHERN MISSISSIPPI,15
450,UNIVERSITY OF SWANSEA,15
450,UNIVERSITY OF VIGO,15
450,UNIVERSITY OF WARSAW,15
450,WUHAN UNIVERSITY,15
450,YOKOHAMA CITY UNIVERSITY,15
470,CATHOLIC UNIVERSITY OF THE SACRED HEART,14
470,COPENHAGEN BUSINESS SCHOOL,14
470,LINKOPING UNIVERSITY,14
470,OHIO UNIVERSITY,14
470,OKAYAMA UNIVERSITY,14
470,OLD DOMINION UNIVERSITY,14
470,POHANG UNIVERSITY SCIENCE AND TECHNOLOGY,14
470,SUNGKYUNKWAN UNIVERSITY,14
470,TORCUATO DI TELLA UNIVERSITY,14
470,UNIVERSITY OF BORDEAUX,14
470,UNIVERSITY OF HOHENHEIM,14
470,UNIVERSITY OF NEUCHATEL,14
470,UNIVERSITY OF PERUGIA,14
470,UNIVERSITY OF PORTSMOUTH,14
470,UNIVERSITY OF SASKATCHEWAN,14
470,UNIVERSITY OF TECHNOLOGY SYDNEY,14
470,VILNIUS UNIVERSITY,14
470,WASEDA UNIVERSITY,14
488,AMHERST COLLEGE,13
488,BOWLING GREEN STATE UNIVERSITY,13
488,"CALIFORNIA STATE UNIVERSITY, FULLERTON",13
488,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",13
488,"CUNY, BARUCH COLLEGE",13
488,"CUNY, CITY COLLEGE",13
488,HELSINKI UNIVERSITY OF TECHNOLOGY,13
488,HERIOT-WATT UNIVERSITY,13
488,OSAKA CITY UNIVERSITY,13
488,SEATTLE UNIVERSITY,13
488,TEIKYO UNIVERSITY,13
488,UNIVERSITY NANCY 1,13
488,UNIVERSITY OF JYVASKYLA,13
488,UNIVERSITY OF LILLE 1,13
488,UNIVERSITY OF PARIS XII,13
488,UNIVERSITY OF STUTTGART,13
488,UNIVERSITY OF UDINE,13
488,UNIVERSITY OF WAIKATO,13
488,UNIVERSITY OF WOLLONGONG,13
507,BALL STATE UNIVERSITY,12
507,BENTLEY UNIVERSITY,12
507,"CUNY, COLLEGE OF STATEN ISLAND",12
507,EUROPEAN UNIVERSITY VIADRINA,12
507,JOHANNES KEPLER UNIVERSITY,12
507,LOUGHBOROUGH UNIVERSITY,12
507,MANCHESTER METROPOLITAN UNIVERSITY,12
507,NATIONAL CHENGCHI UNIVERSITY,12
507,SOGANG UNIVERSITY,12
507,UNIVERSITY OF GRANADA,12
507,UNIVERSITY OF LEIPZIG,12
507,UNIVERSITY OF LILLE 2,12
507,UNIVERSITY OF MURCIA,12
507,UNIVERSITY OF PARIS II,12
507,WESLEYAN UNIVERSITY,12
522,CARL VON OSSIETZKY UNIVERSITY OLDENBURG,11
522,CATHOLIC UNIVERSITY OF PORTUGAL,11
522,COLGATE UNIVERSITY,11
522,G. DANNUNZIO UNIVERSITY,11
522,HAMILTON COLLEGE,11
522,NAGOYA CITY UNIVERSITY,11
522,NATIONAL CHUNG CHENG UNIVERSITY,11
522,OSAKA PREFECTURE UNIVERSITY,11
522,QUEENSLAND UNIVERSITY OF TECHNOLOGY,11
522,TOWSON UNIVERSITY,11
522,UNIVERSITY OF CALABRIA,11
522,UNIVERSITY OF ORLEANS,11
522,"UNIVERSITY OF ROME, TRE",11
522,UNIVERSITY OF TROMSO,11
522,"UNIVERSITY OF WALES, CARDIFF",11
522,WESTERN MICHIGAN UNIVERSITY,11
538,BEIJING UNIVERSITY,10
538,BLAISE PASCAL UNIVERSITY,10
538,CREIGHTON UNIVERSITY,10
538,DEPAUL UNIVERSITY,10
