Rank,University,Score
1,HARVARD UNIVERSITY,427
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,271
3,UNIVERSITY OF CHICAGO,251
3,UNIVERSITY OF PENNSYLVANIA,251
5,NORTHWESTERN UNIVERSITY,234
6,STANFORD UNIVERSITY,220
7,PRINCETON UNIVERSITY,204
8,"UNIVERSITY OF CALIFORNIA, BERKELEY",194
9,NEW YORK UNIVERSITY,186
10,COLUMBIA UNIVERSITY,171
11,TILBURG UNIVERSITY,148
12,UNIVERSITY OF MICHIGAN,147
13,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",143
14,YALE UNIVERSITY,139
15,TEL AVIV UNIVERSITY,123
16,UNIVERSITY OF TEXAS,121
16,UNIVERSITY OF WISCONSIN,121
18,UNIVERSITY OF MARYLAND,120
19,CORNELL UNIVERSITY,116
20,"UNIVERSITY OF MINNESOTA, TWIN CITIES",110
21,UNIVERSITY OF BRITISH COLUMBIA,106
22,UNIVERSITY OF ROCHESTER,103
23,OHIO STATE UNIVERSITY,101
24,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",99
25,BOSTON UNIVERSITY,93
25,UNIVERSITY COLLEGE LONDON,93
27,DUKE UNIVERSITY,92
28,UNIVERSITY OF OXFORD,90
29,BROWN UNIVERSITY,89
30,PENNSYLVANIA STATE UNIVERSITY,88
31,MICHIGAN STATE UNIVERSITY,84
32,CARNEGIE MELLON UNIVERSITY,83
33,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",82
34,UNIVERSITY OF TORONTO,81
35,UNIVERSITY OF WARWICK,80
36,STOCKHOLM SCHOOL OF ECONOMICS,79
37,UNIVERSITE CATHOLIQUE DE LOUVAIN,78
38,HEBREW UNIVERSITY OF JERUSALEM,76
39,UNIVERSITY OF SOUTHERN CALIFORNIA,75
39,UNIVERSITY OF VIRGINIA,75
41,POMPEU FABRA UNIVERSITY,74
42,UNIVERSITY OF WESTERN ONTARIO,72
43,INDIANA UNIVERSITY,70
43,"UNIVERSITY OF CALIFORNIA, DAVIS",70
45,UNIVERSITY OF WASHINGTON,68
46,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",67
46,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,67
48,UNIVERSITY OF MONTREAL,66
49,UNIVERSITY OF IOWA,65
50,DARTMOUTH COLLEGE,63
50,ERASMUS UNIVERSITY ROTTERDAM,63
50,UNIVERSITY OF ESSEX,63
53,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,62
54,UNIVERSITY OF AMSTERDAM,61
55,QUEENS UNIVERSITY,60
56,TEXAS A&M UNIVERSITY,59
57,UNIVERSITY OF YORK,58
58,JOHNS HOPKINS UNIVERSITY,57
58,UNIVERSITY OF PITTSBURGH,57
60,VANDERBILT UNIVERSITY,56
61,RUTGERS STATE UNIVERSITY,55
61,UNIVERSITY OF CAMBRIDGE,55
61,UNIVERSITY OF CARLOS III MADRID,55
61,UNIVERSITY OF FLORIDA,55
65,UNIVERSITY OF NOTTINGHAM,54
66,BOSTON COLLEGE,53
67,GEORGETOWN UNIVERSITY,51
67,WASHINGTON UNIVERSITY,51
69,UNIVERSITY OF COLORADO,50
69,UNIVERSITY OF COPENHAGEN,50
71,CALIFORNIA INSTITUTE OF TECHNOLOGY,49
72,AUSTRALIAN NATIONAL UNIVERSITY,48
72,FREE UNIVERSITY BRUSSELS,48
74,CHINESE UNIVERSITY OF HONG KONG,47
74,STOCKHOLM UNIVERSITY,47
74,UNIVERSITY OF BONN,47
77,HUMBOLDT UNIVERSITY OF BERLIN,45
77,PURDUE UNIVERSITY,45
77,VU UNIVERSITY AMSTERDAM,45
80,SOUTHERN METHODIST UNIVERSITY,44
81,MCGILL UNIVERSITY,43
82,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,42
82,UNIVERSITY OF ARIZONA,42
82,UNIVERSITY OF PARIS I,42
85,SYRACUSE UNIVERSITY,41
85,UNIVERSITY OF NEW SOUTH WALES,41
87,"UNIVERSITY OF CALIFORNIA, IRVINE",40
88,LONDON BUSINESS SCHOOL,39
89,ARIZONA STATE UNIVERSITY,38
89,UNIVERSITY OF BRISTOL,38
89,UNIVERSITY OF SOUTHAMPTON,38
89,UNIVERSITY OF VIENNA,38
93,UNIVERSITY OF EXETER,37
93,UNIVERSITY OF MANNHEIM,37
93,UNIVERSITY OF OREGON,37
93,UPPSALA UNIVERSITY,37
97,YORK UNIVERSITY,36
98,UNIVERSITY OF HOUSTON,35
99,IOWA STATE UNIVERSITY,34
100,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",33
100,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,33
102,GEORGE WASHINGTON UNIVERSITY,32
102,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",32
102,UNIVERSITY OF GUELPH,32
102,UNIVERSITY OF MELBOURNE,32
102,UNIVERSITY OF OSLO,32
107,EUROPEAN UNIVERSITY INSTITUTE,31
107,MAASTRICHT UNIVERSITY,31
107,UNIVERSITY AUTONOMA BARCELONA,31
110,"BIRBECK COLLEGE, UNIVERSITY OF LONDON",30
111,UNIVERSITY OF MUNICH,29
112,LOUISIANA STATE UNIVERSITY,28
112,UNIVERSITY LAVAL,28
112,UNIVERSITY OF ALICANTE,28
112,UNIVERSITY OF ZURICH,28
116,BEN GURION UNIVERSITY OF THE NEGEV,27
117,FREE UNIVERSITY BERLIN,26
117,MCMASTER UNIVERSITY,26
117,TECHNION ISRAEL,26
117,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",26
117,UNIVERSITY OF HONG KONG,26
122,SIMON FRASER UNIVERSITY,25
122,"UNIVERSITY OF MISSOURI, COLUMBIA",25
124,TULANE UNIVERSITY,24
124,UNIVERSITY OF HELSINKI,24
124,UNIVERSITY OF QUEBEC,24
127,GEORGIA STATE UNIVERSITY,23
127,NORTH CAROLINA STATE UNIVERSITY,23
127,UNIVERSITY OF ALABAMA,23
127,UNIVERSITY OF ALBERTA,23
127,UNIVERSITY OF BOLOGNA,23
127,UNIVERSITY OF LONDON,23
127,UNIVERSITY OF MANCHESTER,23
134,BOCCONI UNIVERSITY,22
134,COLLEGE OF WILLIAM AND MARY,22
134,INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS,22
134,INSEAD,22
134,OSAKA UNIVERSITY,22
134,RICE UNIVERSITY,22
134,UNIVERSITY OF CONNECTICUT,22
134,UNIVERSITY OF TOKYO,22
142,AARHUS UNIVERSITY,21
142,BRIGHAM YOUNG UNIVERSITY,21
142,EMORY UNIVERSITY,21
142,UNIVERSITY OF GENEVA,21
142,UNIVERSITY OF GEORGIA,21
147,AMERICAN UNIVERSITY WASHINGTON,20
147,MONASH UNIVERSITY,20
147,NATIONAL TAIWAN UNIVERSITY,20
147,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",20
147,UNIVERSITY OF CERGY PONTOISE,20
147,UNIVERSITY OF WYOMING,20
153,BILKENT UNIVERSITY,19
153,BRANDEIS UNIVERSITY,19
153,KANSAS STATE UNIVERSITY,19
153,KYOTO UNIVERSITY,19
153,NATIONAL UNIVERSITY OF SINGAPORE,19
153,NEW UNIVERSITY OF LISBON (NOVA),19
153,"SUNY, BUFFALO",19
153,UNIVERSITY OF EDINBURGH,19
153,UNIVERSITY OF KENTUCKY,19
153,UNIVERSITY OF WATERLOO,19
153,WEST VIRGINIA UNIVERSITY,19
164,KEELE UNIVERSITY,18
164,"QUEEN MARY, UNIVERSITY OF LONDON",18
164,UNIVERSITY OF CHILE,18
164,UNIVERSITY OF DORTMUND,18
164,UNIVERSITY OF OKLAHOMA,18
164,UNIVERSITY OF SOUTH CAROLINA,18
164,UNIVERSITY OF TSUKUBA,18
164,UNIVERSITY OF WINDSOR,18
172,BAR ILAN UNIVERSITY,17
172,BIELEFELD UNIVERSITY,17
172,FLORIDA STATE UNIVERSITY,17
172,INSTITUTO TECNOLÓGICO AUTÓNOMO DE MÉXICO,17
172,KOBE UNIVERSITY,17
172,LUND UNIVERSITY,17
172,UNIVERSITY COLLEGE DUBLIN,17
172,UNIVERSITY OF DELAWARE,17
172,UNIVERSITY OF HAIFA,17
172,UNIVERSITY OF KANSAS,17
172,UNIVERSITY OF LAUSANNE,17
172,UNIVERSITY OF SYDNEY,17
172,VICTORIA UNIVERSITY OF WELLINGTON,17
172,WAYNE STATE UNIVERSITY,17
186,KATHOLIEKE UNIVERSITEIT LEUVEN,16
186,KOREA UNIVERSITY,16
186,TUFTS UNIVERSITY,16
186,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,16
186,UNIVERSITY OF WALES,16
186,UNIVERSITY OF CYPRUS,16
186,UNIVERSITY OF GRONINGEN,16
186,UNIVERSITY OF LEICESTER,16
186,UNIVERSITY OF MIAMI,16
186,UNIVERSITY OF NOTRE DAME,16
186,UNIVERSITY OF SUSSEX,16
197,UNIVERSITY OF BERN,15
197,"UNIVERSITY OF ROME, LA SAPIENZA",15
199,BRUNEL UNIVERSITY,14
199,NEWCASTLE UNIVERSITY,14
199,UMEA UNIVERSITY,14
199,UNIVERSITY OF BIRMINGHAM,14
199,UNIVERSITY OF KONSTANZ,14
199,UNIVERSITY OF NAMUR,14
