Rank,University,Score
1,HARVARD UNIVERSITY,2088
2,STANFORD UNIVERSITY,1033
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",1006
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,973
5,UNIVERSITY OF TEXAS,800
6,UNIVERSITY OF PENNSYLVANIA,757
7,YALE UNIVERSITY,731
8,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",723
9,UNIVERSITY OF CHICAGO,693
10,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",676
11,CORNELL UNIVERSITY,631
12,UNIVERSITY OF WASHINGTON,577
13,UNIVERSITY OF WISCONSIN,565
14,UNIVERSITY OF MICHIGAN,558
15,DUKE UNIVERSITY,541
16,COLUMBIA UNIVERSITY,540
17,JOHNS HOPKINS UNIVERSITY,528
17,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",528
19,CALIFORNIA INSTITUTE OF TECHNOLOGY,514
20,NORTHWESTERN UNIVERSITY,511
21,PRINCETON UNIVERSITY,504
22,WASHINGTON UNIVERSITY,501
23,NEW YORK UNIVERSITY,497
23,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",497
25,UNIVERSITY OF OXFORD,487
26,UNIVERSITY OF CAMBRIDGE,429
27,UNIVERSITY OF MARYLAND,421
28,"UNIVERSITY OF MINNESOTA, TWIN CITIES",407
29,UNIVERSITY OF TORONTO,371
30,UNIVERSITY OF COLORADO,366
31,UNIVERSITY OF TOKYO,364
32,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",359
33,PENNSYLVANIA STATE UNIVERSITY,350
34,UNIVERSITY COLLEGE LONDON,331
34,"UNIVERSITY OF CALIFORNIA, DAVIS",331
36,UNIVERSITY OF ARIZONA,290
37,UNIVERSITY OF BRITISH COLUMBIA,278
38,RUTGERS STATE UNIVERSITY,275
38,UNIVERSITY OF SOUTHERN CALIFORNIA,275
40,BOSTON UNIVERSITY,274
41,"UNIVERSITY OF CALIFORNIA, IRVINE",271
42,OHIO STATE UNIVERSITY,270
43,UNIVERSITY OF ROCHESTER,260
44,HEBREW UNIVERSITY OF JERUSALEM,255
45,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,251
46,TEXAS A&M UNIVERSITY,241
47,TEL AVIV UNIVERSITY,238
48,TILBURG UNIVERSITY,230
49,INDIANA UNIVERSITY,229
50,BROWN UNIVERSITY,227
50,MICHIGAN STATE UNIVERSITY,227
52,VANDERBILT UNIVERSITY,225
53,AUSTRALIAN NATIONAL UNIVERSITY,217
54,KYOTO UNIVERSITY,214
55,CARNEGIE MELLON UNIVERSITY,212
55,UNIVERSITY OF VIRGINIA,212
57,MCGILL UNIVERSITY,210
58,UNIVERSITY OF FLORIDA,209
59,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",205
60,PURDUE UNIVERSITY,200
61,UNIVERSITY OF PITTSBURGH,197
62,UNIVERSITY OF AMSTERDAM,194
62,UNIVERSITY OF MASSACHUSETTS,194
64,UNIVERSITY OF IOWA,187
65,OSAKA UNIVERSITY,185
66,"SUNY, STONY BROOK",182
67,UNIVERSITE CATHOLIQUE DE LOUVAIN,181
68,IMPERIAL COLLEGE LONDON,174
68,UNIVERSITY OF UTAH,174
70,UNIVERSITY OF BRISTOL,172
71,UNIVERSITY OF COPENHAGEN,171
71,UNIVERSITY OF EDINBURGH,171
73,UNIVERSITY OF WARWICK,165
74,CASE WESTERN RESERVE UNIVERSITY,163
