Rank,University,Score
1,HARVARD UNIVERSITY,597
2,UNIVERSITY OF CHICAGO,386
3,NEW YORK UNIVERSITY,319
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",317
5,STANFORD UNIVERSITY,313
6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,312
7,COLUMBIA UNIVERSITY,301
8,NORTHWESTERN UNIVERSITY,277
9,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,273
10,YALE UNIVERSITY,260
11,UNIVERSITY OF PENNSYLVANIA,257
12,PRINCETON UNIVERSITY,227
13,UNIVERSITY OF MICHIGAN,199
14,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",188
15,DUKE UNIVERSITY,177
16,UNIVERSITY OF OXFORD,175
17,UNIVERSITY OF TORONTO,174
18,UNIVERSITY OF MARYLAND,168
19,UNIVERSITY COLLEGE LONDON,158
20,CORNELL UNIVERSITY,154
21,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",152
22,UNIVERSITY OF BRITISH COLUMBIA,131
23,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,129
24,TILBURG UNIVERSITY,127
25,UNIVERSITY OF AMSTERDAM,126
26,UNIVERSITY OF NOTTINGHAM,115
27,UNIVERSITE CATHOLIQUE DE LOUVAIN,114
28,"UNIVERSITY OF WISCONSIN, MADISON",113
29,BOSTON UNIVERSITY,110
30,UNIVERSITY OF BONN,109
31,BROWN UNIVERSITY,107
31,POMPEU FABRA UNIVERSITY,107
31,UNIVERSITY OF SOUTHERN CALIFORNIA,107
34,UNIVERSITY OF ZURICH,105
35,UNIVERSITY OF CAMBRIDGE,103
35,UNIVERSITY OF WARWICK,103
37,"UNIVERSITY OF MINNESOTA, TWIN CITIES",101
38,UNIVERSITY OF CARLOS III MADRID,97
39,OHIO STATE UNIVERSITY,96
40,CALIFORNIA INSTITUTE OF TECHNOLOGY,93
40,MICHIGAN STATE UNIVERSITY,93
40,WASHINGTON UNIVERSITY,93
43,"UNIVERSITY OF CALIFORNIA, DAVIS",92
43,"UNIVERSITY OF TEXAS, AUSTIN",92
45,ERASMUS UNIVERSITY ROTTERDAM,89
46,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",87
47,HEBREW UNIVERSITY OF JERUSALEM,86
48,MAASTRICHT UNIVERSITY,85
48,PENNSYLVANIA STATE UNIVERSITY,85
50,CARNEGIE MELLON UNIVERSITY,84
51,TEL AVIV UNIVERSITY,83
52,BOCCONI UNIVERSITY,81
52,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",81
54,INDIANA UNIVERSITY,80
55,BOSTON COLLEGE,79
55,STOCKHOLM UNIVERSITY,79
57,UNIVERSITY OF COPENHAGEN,78
58,NATIONAL UNIVERSITY OF SINGAPORE,77
59,GEORGETOWN UNIVERSITY,76
59,UNIVERSITY OF VIRGINIA,76
59,VANDERBILT UNIVERSITY,76
62,DARTMOUTH COLLEGE,75
63,RUTGERS STATE UNIVERSITY,74
63,UNIVERSITY OF ESSEX,74
65,ARIZONA STATE UNIVERSITY,72
65,PURDUE UNIVERSITY,72
67,TEXAS A&M UNIVERSITY,71
67,"UNIVERSITY OF CALIFORNIA, IRVINE",71
67,UNIVERSITY OF MELBOURNE,71
70,LONDON BUSINESS SCHOOL,69
71,STOCKHOLM SCHOOL OF ECONOMICS,68
71,UNIVERSITY AUTONOMA BARCELONA,68
71,UNIVERSITY OF ARIZONA,68
74,UNIVERSITY OF MUNICH,67
74,UNIVERSITY OF PARIS I,67
74,UNIVERSITY OF YORK,67
77,SYRACUSE UNIVERSITY,64
77,UNIVERSITY OF BOLOGNA,64
79,UNIVERSITY OF WASHINGTON,62
79,VU UNIVERSITY AMSTERDAM,62
81,UNIVERSITY OF MONTREAL,61
82,EMORY UNIVERSITY,60
82,UNIVERSITY OF LONDON,60
84,AUSTRALIAN NATIONAL UNIVERSITY,59
84,UNIVERSITY OF COLORADO,59
84,UNIVERSITY OF PITTSBURGH,59
87,SIMON FRASER UNIVERSITY,58
88,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,57
89,UNIVERSITY OF MANNHEIM,56
90,AARHUS UNIVERSITY,55
90,EUROPEAN UNIVERSITY INSTITUTE,55
90,UNIVERSITY OF ROCHESTER,55
93,JOHNS HOPKINS UNIVERSITY,54
