Rank,University,Score
1,HARVARD UNIVERSITY,576
2,UNIVERSITY OF CHICAGO,373
3,STANFORD UNIVERSITY,343
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,317
5,COLUMBIA UNIVERSITY,315
5,"UNIVERSITY OF CALIFORNIA, BERKELEY",315
7,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,294
8,NORTHWESTERN UNIVERSITY,289
9,YALE UNIVERSITY,279
10,UNIVERSITY OF PENNSYLVANIA,278
11,NEW YORK UNIVERSITY,275
12,UNIVERSITY OF OXFORD,250
13,PRINCETON UNIVERSITY,225
14,UNIVERSITY OF MICHIGAN,213
15,DUKE UNIVERSITY,189
16,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",187
17,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",184
18,CORNELL UNIVERSITY,174
18,TILBURG UNIVERSITY,174
20,UNIVERSITY COLLEGE LONDON,172
20,UNIVERSITY OF TORONTO,172
22,UNIVERSITY OF BONN,146
23,UNIVERSITY OF MARYLAND,144
24,UNIVERSITY OF AMSTERDAM,139
25,"UNIVERSITY OF MINNESOTA, TWIN CITIES",130
26,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,126
26,UNIVERSITY OF ZURICH,126
28,UNIVERSITY OF WARWICK,123
29,POMPEU FABRA UNIVERSITY,120
30,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",118
31,ERASMUS UNIVERSITY ROTTERDAM,117
32,MAASTRICHT UNIVERSITY,114
33,UNIVERSITY OF CAMBRIDGE,113
34,BOSTON UNIVERSITY,112
34,UNIVERSITY OF BRITISH COLUMBIA,112
36,UNIVERSITY OF NOTTINGHAM,111
37,BROWN UNIVERSITY,108
38,INDIANA UNIVERSITY,107
39,UNIVERSITY OF SOUTHERN CALIFORNIA,106
40,UNIVERSITY OF MUNICH,104
41,UNIVERSITY OF CARLOS III MADRID,103
42,TEXAS A&M UNIVERSITY,101
42,UNIVERSITY OF VIRGINIA,101
44,OHIO STATE UNIVERSITY,99
44,"UNIVERSITY OF CALIFORNIA, DAVIS",99
44,VU UNIVERSITY AMSTERDAM,99
47,BOCCONI UNIVERSITY,95
48,UNIVERSITE CATHOLIQUE DE LOUVAIN,94
49,NATIONAL UNIVERSITY OF SINGAPORE,92
49,UNIVERSITY OF MELBOURNE,92
51,ARIZONA STATE UNIVERSITY,89
51,JOHNS HOPKINS UNIVERSITY,89
51,UNIVERSITY OF COPENHAGEN,89
51,UNIVERSITY OF ESSEX,89
55,STOCKHOLM UNIVERSITY,88
56,AARHUS UNIVERSITY,87
56,"UNIVERSITY OF WISCONSIN, MADISON",87
58,"UNIVERSITY OF TEXAS, AUSTIN",86
59,MICHIGAN STATE UNIVERSITY,85
60,UNIVERSITY OF MANNHEIM,84
60,WASHINGTON UNIVERSITY,84
62,BOSTON COLLEGE,83
62,CARNEGIE MELLON UNIVERSITY,83
62,HEBREW UNIVERSITY OF JERUSALEM,83
62,"UNIVERSITY OF CALIFORNIA, IRVINE",83
66,AUSTRALIAN NATIONAL UNIVERSITY,82
67,GEORGETOWN UNIVERSITY,80
67,KATHOLIEKE UNIVERSITEIT LEUVEN,80
67,UNIVERSITY OF COLOGNE,80
70,PURDUE UNIVERSITY,79
70,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",79
72,TEL AVIV UNIVERSITY,78
73,SINGAPORE MANAGEMENT UNIVERSITY,77
74,UNIVERSITY OF WASHINGTON,76
75,PENNSYLVANIA STATE UNIVERSITY,75
76,UNIVERSITY OF PARIS I,73
77,DARTMOUTH COLLEGE,72
77,UNIVERSITY OF NEW SOUTH WALES,72
79,CALIFORNIA INSTITUTE OF TECHNOLOGY,71
79,UNIVERSITY OF WISCONSIN,71
81,BARCELONA GRADUATE SCHOOL OF ECONOMICS,70
81,UNIVERSITY OF BOLOGNA,70
81,VANDERBILT UNIVERSITY,70
84,LONDON BUSINESS SCHOOL,69
84,MONASH UNIVERSITY,69
86,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,68
86,UNIVERSITY OF COLORADO,68
86,UNIVERSITY OF ROCHESTER,68
89,UNIVERSITY AUTONOMA BARCELONA,67
90,STOCKHOLM SCHOOL OF ECONOMICS,66
90,UNIVERSITY OF LONDON,66
92,UNIVERSITY OF GOTHENBURG,65
93,UNIVERSITY OF TOKYO,64
93,UNIVERSITY OF VIENNA,64
95,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,63
95,UNIVERSITE LIBRE DE BRUXELLES,63
95,UNIVERSITY OF NOTRE DAME,63
98,SIMON FRASER UNIVERSITY,62
99,GEORGIA STATE UNIVERSITY,60
99,UNIVERSITY OF PITTSBURGH,60
99,UNIVERSITY OF SOUTHAMPTON,60
99,UNIVERSITY OF YORK,60
103,FLORIDA STATE UNIVERSITY,58
103,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",58
103,UNIVERSITY OF LAUSANNE,58
103,UNIVERSITY OF MONTREAL,58
107,UNIVERSITY OF ARIZONA,57
108,CHAPMAN UNIVERSITY,56
108,UNIVERSITY OF GRONINGEN,56
110,TSINGHUA UNIVERSITY,55
111,RUTGERS STATE UNIVERSITY,54
112,GEORGE MASON UNIVERSITY,52
112,PEKING UNIVERSITY,52
112,UNIVERSITY OF HOUSTON,52
112,UNIVERSITY OF QUEENSLAND,52
116,UNIVERSITY OF MANCHESTER,51
117,GEORGE WASHINGTON UNIVERSITY,50
117,IMPERIAL COLLEGE LONDON,50
117,UNIVERSITY OF LEICESTER,50
120,MCGILL UNIVERSITY,48
121,EMORY UNIVERSITY,47
121,SOUTHERN METHODIST UNIVERSITY,47
121,SYRACUSE UNIVERSITY,47
124,EUROPEAN UNIVERSITY INSTITUTE,46
124,HEIDELBERG UNIVERSITY,46
124,UNIVERSITY OF AUCKLAND,46
124,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",46
124,YORK UNIVERSITY,46
129,UNIVERSITY OF HONG KONG,45
130,RICE UNIVERSITY,44
130,UNIVERSITY OF BRISTOL,44
130,UNIVERSITY OF IOWA,44
133,MCMASTER UNIVERSITY,43
133,QUEENS UNIVERSITY,43
133,UNIVERSITY OF EAST ANGLIA,43
133,UNIVERSITY OF KIEL,43
133,UNIVERSITY OF ST GALLEN,43
138,CHINESE UNIVERSITY OF HONG KONG,42
138,SEOUL NATIONAL UNIVERSITY,42
140,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",41
140,UNIVERSITY OF OREGON,41
142,"UNIVERSITY OF TEXAS, DALLAS",40
143,CITY UNIVERSITY HONG KONG,39
143,ETH ZURICH,39
143,KOREA UNIVERSITY,39
143,PARIS SCHOOL OF ECONOMICS,39
143,UNIVERSITY OF FLORIDA,39
143,UNIVERSITY OF GLASGOW,39
143,UNIVERSITY OF TECHNOLOGY SYDNEY,39
143,UNIVERSITY OF WESTERN ONTARIO,39
151,HITOTSUBASHI UNIVERSITY,38
151,NANYANG TECHNOLOGICAL UNIVERSITY,38
151,UNIVERSITY OF ALABAMA,38
151,UNIVERSITY OF INNSBRUCK,38
151,UNIVERSITY OF OSLO,38
151,UNIVERSITY OF SYDNEY,38
157,HUMBOLDT UNIVERSITY OF BERLIN,37
157,NORTH CAROLINA STATE UNIVERSITY,37
157,UNIVERSITY OF ALBERTA,37
157,UNIVERSITY OF KONSTANZ,37
157,UNIVERSITY OF MIAMI,37
157,UNIVERSITY OF PADUA,37
157,"UNIVERSITY OF ROME, TOR VERGATA",37
164,IOWA STATE UNIVERSITY,36
164,OSAKA UNIVERSITY,36
164,UNIVERSITY COLLEGE DUBLIN,36
167,CONCORDIA UNIVERSITY,35
167,GEORGIA INSTITUTE OF TECHNOLOGY,35
167,UNIVERSITY OF ADELAIDE,35
