Rank,University,Score
1,UNIVERSITY OF CHICAGO,459
2,HARVARD UNIVERSITY,438
3,STANFORD UNIVERSITY,366
4,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,346
5,"UNIVERSITY OF CALIFORNIA, BERKELEY",333
6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,328
7,UNIVERSITY OF PENNSYLVANIA,314
8,NORTHWESTERN UNIVERSITY,275
9,COLUMBIA UNIVERSITY,272
10,NEW YORK UNIVERSITY,264
11,UNIVERSITY OF OXFORD,253
12,PRINCETON UNIVERSITY,252
13,YALE UNIVERSITY,248
14,UNIVERSITY OF MICHIGAN,185
15,DUKE UNIVERSITY,183
16,UNIVERSITY COLLEGE LONDON,176
17,CORNELL UNIVERSITY,171
18,BOCCONI UNIVERSITY,170
18,MONASH UNIVERSITY,170
18,UNIVERSITY OF TORONTO,170
21,UNIVERSITY OF WARWICK,166
22,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,161
23,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",148
24,PARIS SCHOOL OF ECONOMICS,143
25,NATIONAL UNIVERSITY OF SINGAPORE,142
25,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",142
27,UNIVERSITY OF ZURICH,139
28,BOSTON UNIVERSITY,135
29,PEKING UNIVERSITY,132
30,GEORGETOWN UNIVERSITY,126
31,UNIVERSITY OF BONN,124
32,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",123
33,UNIVERSITY OF MUNICH,122
34,TEXAS A&M UNIVERSITY,120
34,UNIVERSITY OF COLOGNE,120
36,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,119
36,UNIVERSITY OF MELBOURNE,119
38,BARCELONA GRADUATE SCHOOL OF ECONOMICS,118
39,UNIVERSITY OF ESSEX,116
39,UNIVERSITY OF NOTTINGHAM,116
41,UNIVERSITY OF MARYLAND,113
42,TILBURG UNIVERSITY,111
43,BROWN UNIVERSITY,110
44,"UNIVERSITY OF CALIFORNIA, DAVIS",109
45,POMPEU FABRA UNIVERSITY,107
45,"UNIVERSITY OF MINNESOTA, TWIN CITIES",107
47,CARNEGIE MELLON UNIVERSITY,106
47,UNIVERSITY OF COPENHAGEN,106
47,VRIJE UNIVERSITEIT AMSTERDAM,106
50,ERASMUS UNIVERSITY ROTTERDAM,105
51,UNIVERSITY OF AMSTERDAM,104
51,UNIVERSITY OF MANNHEIM,104
51,UNIVERSITY OF VIRGINIA,104
54,UNIVERSITY OF CAMBRIDGE,102
55,AARHUS UNIVERSITY,100
55,ETH ZURICH,100
57,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",99
58,BOSTON COLLEGE,98
59,MAASTRICHT UNIVERSITY,97
59,OHIO STATE UNIVERSITY,97
59,PENNSYLVANIA STATE UNIVERSITY,97
62,TSINGHUA UNIVERSITY,96
62,UNIVERSITY OF BRITISH COLUMBIA,96
64,JOHNS HOPKINS UNIVERSITY,95
65,"UNIVERSITY OF TEXAS, AUSTIN",94
66,STOCKHOLM UNIVERSITY,93
67,UNIVERSITE CATHOLIQUE DE LOUVAIN,92
68,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,91
68,INDIANA UNIVERSITY,91
70,"UNIVERSITY OF WISCONSIN, MADISON",90
71,"QUEEN MARY, UNIVERSITY OF LONDON",88
72,TEL AVIV UNIVERSITY,86
73,ARIZONA STATE UNIVERSITY,85
73,CHINESE UNIVERSITY OF HONG KONG,85
75,MICHIGAN STATE UNIVERSITY,83
76,SINGAPORE MANAGEMENT UNIVERSITY,82
76,UNIVERSITY OF WASHINGTON,82
76,UNIVERSITY OF YORK,82
79,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",80
79,UNIVERSITY OF NOTRE DAME,80
81,HEBREW UNIVERSITY OF JERUSALEM,79
81,KATHOLIEKE UNIVERSITEIT LEUVEN,79
81,"UNIVERSITY OF CALIFORNIA, IRVINE",79
84,AUSTRALIAN NATIONAL UNIVERSITY,78
85,UNIVERSITY OF CARLOS III MADRID,77
86,UNIVERSITY OF GOTHENBURG,76
86,VANDERBILT UNIVERSITY,76
88,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",75
89,SIMON FRASER UNIVERSITY,74
90,UNIVERSITY OF BOLOGNA,73
90,UNIVERSITY OF BRISTOL,73
92,GOETHE UNIVERSITY FRANKFURT,72
92,UNIVERSITY OF SYDNEY,72
94,GEORGIA STATE UNIVERSITY,70
94,UNIVERSITY OF LAUSANNE,70
96,UNIVERSITY OF PITTSBURGH,69
97,UNIVERSITY OF OSLO,66
97,UNIVERSITY OF QUEENSLAND,66
97,UNIVERSITY OF ST GALLEN,66
100,CALIFORNIA INSTITUTE OF TECHNOLOGY,65
100,UNIVERSITY OF ARIZONA,65
102,WASHINGTON UNIVERSITY,64
103,AIX MARSEILLE UNIVERSITY,63
103,HUMBOLDT UNIVERSITY OF BERLIN,63
103,LUND UNIVERSITY,63
103,UNIVERSITY OF HONG KONG,63
103,UNIVERSITY OF PARIS I,63
108,IMPERIAL COLLEGE LONDON,62
108,LONDON BUSINESS SCHOOL,62
108,UNIVERSITE LIBRE DE BRUXELLES,62
108,UNIVERSITY OF ROCHESTER,62
108,UNIVERSITY OF VIENNA,62
113,EMORY UNIVERSITY,61
113,FUDAN UNIVERSITY,61
113,HEIDELBERG UNIVERSITY,61
113,UNIVERSITY OF SOUTHAMPTON,61
117,UNIVERSITY OF TECHNOLOGY SYDNEY,60
