Rank,University,Score
1,HARVARD UNIVERSITY,487
2,"UNIVERSITY OF CALIFORNIA, BERKELEY",391
3,UNIVERSITY OF CHICAGO,386
4,UNIVERSITY OF PENNSYLVANIA,378
5,NORTHWESTERN UNIVERSITY,335
6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,333
6,STANFORD UNIVERSITY,333
8,UNIVERSITY OF MICHIGAN,281
9,UNIVERSITY OF WISCONSIN,273
10,YALE UNIVERSITY,265
11,NEW YORK UNIVERSITY,255
12,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",250
13,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",247
14,PRINCETON UNIVERSITY,241
15,COLUMBIA UNIVERSITY,240
16,CORNELL UNIVERSITY,233
17,"UNIVERSITY OF MINNESOTA, TWIN CITIES",227
18,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,224
19,UNIVERSITY OF MARYLAND,207
20,UNIVERSITY OF BRITISH COLUMBIA,198
21,UNIVERSITY OF TEXAS,187
22,INDIANA UNIVERSITY,181
23,BOSTON UNIVERSITY,178
24,UNIVERSITY OF ROCHESTER,175
25,DUKE UNIVERSITY,169
26,OHIO STATE UNIVERSITY,168
26,TEXAS A&M UNIVERSITY,168
28,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",161
29,UNIVERSITY OF WASHINGTON,156
30,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",153
31,AUSTRALIAN NATIONAL UNIVERSITY,148
32,PENNSYLVANIA STATE UNIVERSITY,143
32,TEL AVIV UNIVERSITY,143
34,UNIVERSITY OF SOUTHERN CALIFORNIA,140
35,UNIVERSITY OF OXFORD,134
35,UNIVERSITY OF TORONTO,134
37,CARNEGIE MELLON UNIVERSITY,132
38,HEBREW UNIVERSITY OF JERUSALEM,121
39,"UNIVERSITY OF CALIFORNIA, DAVIS",119
40,RUTGERS STATE UNIVERSITY,118
41,PURDUE UNIVERSITY,114
42,UNIVERSITY OF COLORADO,111
43,TILBURG UNIVERSITY,108
44,NORTH CAROLINA STATE UNIVERSITY,107
44,UNIVERSITY OF FLORIDA,107
44,UNIVERSITY OF IOWA,107
47,MICHIGAN STATE UNIVERSITY,106
48,UNIVERSITY OF MONTREAL,104
49,BROWN UNIVERSITY,98
50,UNIVERSITY OF WARWICK,96
51,UNIVERSITY OF PITTSBURGH,91
52,QUEENS UNIVERSITY,90
52,UNIVERSITY OF CAMBRIDGE,90
54,UNIVERSITY OF AMSTERDAM,89
55,UNIVERSITY OF WESTERN ONTARIO,87
56,UNIVERSITY OF ARIZONA,85
57,UNIVERSITY OF GEORGIA,84
58,ARIZONA STATE UNIVERSITY,83
59,IOWA STATE UNIVERSITY,82
60,JOHNS HOPKINS UNIVERSITY,81
60,UNIVERSITY OF VIRGINIA,81
62,UNIVERSITY OF YORK,79
63,WASHINGTON UNIVERSITY,78
64,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,77
65,ERASMUS UNIVERSITY ROTTERDAM,75
66,FLORIDA STATE UNIVERSITY,73
66,"UNIVERSITY OF CALIFORNIA, IRVINE",73
68,BOSTON COLLEGE,71
68,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",71
70,SOUTHERN METHODIST UNIVERSITY,70
71,SYRACUSE UNIVERSITY,69
72,GEORGE MASON UNIVERSITY,68
73,MCGILL UNIVERSITY,66
74,LOUISIANA STATE UNIVERSITY,65
74,UNIVERSITE CATHOLIQUE DE LOUVAIN,65
74,UNIVERSITY COLLEGE LONDON,65
74,UNIVERSITY OF CONNECTICUT,65
78,UNIVERSITY OF BONN,64
79,UNIVERSITY OF PARIS VI,63
80,CARLETON UNIVERSITY,62
80,VANDERBILT UNIVERSITY,62
82,UNIVERSITY OF NEW SOUTH WALES,61
83,GEORGETOWN UNIVERSITY,60
83,STOCKHOLM UNIVERSITY,60
85,UNIVERSITY OF MASSACHUSETTS,59
85,UNIVERSITY OF OSLO,59
87,UNIVERSITY OF ESSEX,58
87,UNIVERSITY OF NOTTINGHAM,58
89,DARTMOUTH COLLEGE,57
90,TECHNION ISRAEL,56
90,UNIVERSITY OF UTAH,56
92,UNIVERSITY OF SOUTHAMPTON,55
93,UNIVERSITY OF WATERLOO,54
93,YORK UNIVERSITY,54
95,"UNIVERSITY OF MISSOURI, COLUMBIA",52
95,VU UNIVERSITY AMSTERDAM,52
97,UNIVERSITY OF PARIS I,51
98,MCMASTER UNIVERSITY,50
98,UNIVERSITY AUTONOMA BARCELONA,50
100,CALIFORNIA INSTITUTE OF TECHNOLOGY,49
100,UNIVERSITY OF DELAWARE,49
102,BAR ILAN UNIVERSITY,47
102,RICE UNIVERSITY,47
102,UNIVERSITY OF ALBERTA,47
105,GEORGIA STATE UNIVERSITY,46
105,UNIVERSITY OF LONDON,46
107,"SUNY, BUFFALO",45
107,TULANE UNIVERSITY,45
107,UNIVERSITY OF KENTUCKY,45
107,UNIVERSITY OF MUNICH,45
107,"UNIVERSITY OF TENNESSEE, KNOXVILLE",45
112,MONASH UNIVERSITY,44
112,SIMON FRASER UNIVERSITY,44
112,UNIVERSITY OF EDINBURGH,44
112,UNIVERSITY OF HOUSTON,44
112,UNIVERSITY OF SUSSEX,44
117,UNIVERSITY OF ALABAMA,43
118,AARHUS UNIVERSITY,42
118,INSEAD,42
120,TEMPLE UNIVERSITY,41
121,EUROPEAN UNIVERSITY INSTITUTE,40
121,UNIVERSITY OF BRISTOL,40
121,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",40
124,SOUTHERN ILLINOIS UNIVERSITY,39
125,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",38
125,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,38
127,LONDON BUSINESS SCHOOL,37
127,NATIONAL UNIVERSITY OF SINGAPORE,37
129,CONCORDIA UNIVERSITY,36
129,OREGON STATE UNIVERSITY,36
129,TUFTS UNIVERSITY,36
129,UNIVERSITY OF GUELPH,36
129,UNIVERSITY OF ZURICH,36
134,GEORGE WASHINGTON UNIVERSITY,35
134,UNIVERSITY OF GENEVA,35
136,AMERICAN UNIVERSITY WASHINGTON,34
136,NEWCASTLE UNIVERSITY,34
136,"SUNY, STONY BROOK",34
136,UNIVERSITE LIBRE DE BRUXELLES,34
136,UNIVERSITY OF CARLOS III MADRID,34
136,UNIVERSITY OF SOUTH CAROLINA,34
142,CLEMSON UNIVERSITY,33
142,UNIVERSITY OF GRONINGEN,33
142,UNIVERSITY OF MANNHEIM,33
142,UNIVERSITY OF QUEBEC,33
142,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,33
147,"QUEEN MARY, UNIVERSITY OF LONDON",32
147,UNIVERSITY LAVAL,32
147,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",32
147,UNIVERSITY OF HELSINKI,32
151,MAASTRICHT UNIVERSITY,31
151,POMPEU FABRA UNIVERSITY,31
151,STOCKHOLM SCHOOL OF ECONOMICS,31
151,UNIVERSITY OF MANCHESTER,31
155,AUBURN UNIVERSITY,30
155,BRIGHAM YOUNG UNIVERSITY,30
155,EMORY UNIVERSITY,30
155,LA TROBE UNIVERSITY,30
155,"SUNY, ALBANY",30
155,UNIVERSITY OF MELBOURNE,30
161,CITY UNIVERSITY LONDON,29
161,LEIDEN UNIVERSITY,29
161,UNIVERSITY OF READING,29
161,UNIVERSITY OF WESTERN AUSTRALIA,29
165,DALHOUSIE UNIVERSITY,28
165,UNIVERSITY OF COPENHAGEN,28
165,"UNIVERSITY OF NEBRASKA, LINCOLN",28
165,UNIVERSITY OF NOTRE DAME,28
165,UNIVERSITY OF TSUKUBA,28
165,UPPSALA UNIVERSITY,28
165,WILFRID LAURIER UNIVERSITY,28
