Rank,University,Score
1,HARVARD UNIVERSITY,19396
2,STANFORD UNIVERSITY,18461
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,15799
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",14902
5,UNIVERSITY OF OXFORD,11108
6,COLUMBIA UNIVERSITY,10679
7,UNIVERSITY OF CAMBRIDGE,10215
8,UNIVERSITY OF CHICAGO,9752
9,CHINESE ACADEMY OF SCIENCES,9653
10,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9004
11,UNIVERSITY OF PENNSYLVANIA,8989
12,PRINCETON UNIVERSITY,8698
13,YALE UNIVERSITY,8692
14,UNIVERSITY OF WASHINGTON,8645
15,CALIFORNIA INSTITUTE OF TECHNOLOGY,8397
16,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",8008
17,UNIVERSITY OF MICHIGAN,7260
18,CORNELL UNIVERSITY,6872
19,JOHNS HOPKINS UNIVERSITY,6837
20,ETH ZURICH,6772
21,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",6675
22,UNIVERSITY COLLEGE LONDON,6583
23,NEW YORK UNIVERSITY,6579
24,UNIVERSITY OF TORONTO,6349
25,UNIVERSITY OF MARYLAND,6274
26,DUKE UNIVERSITY,5870
27,UNIVERSITY OF TOKYO,5820
28,NORTHWESTERN UNIVERSITY,5816
29,UNIVERSITY OF COPENHAGEN,5319
30,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",5276
31,WASHINGTON UNIVERSITY,5196
32,IMPERIAL COLLEGE LONDON,5189
33,UNIVERSITY OF COLORADO,4903
34,TSINGHUA UNIVERSITY,4777
35,"UNIVERSITY OF MINNESOTA, TWIN CITIES",4402
36,PENNSYLVANIA STATE UNIVERSITY,4398
37,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",4366
38,"UNIVERSITY OF CALIFORNIA, DAVIS",4351
39,"UNIVERSITY OF TEXAS, AUSTIN",4349
40,UNIVERSITY OF WISCONSIN,4326
41,PEKING UNIVERSITY,4150
