Rank,University,Score
1,HARVARD UNIVERSITY,27136
2,STANFORD UNIVERSITY,14376
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",14146
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,13594
5,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9953
6,YALE UNIVERSITY,9431
7,UNIVERSITY OF OXFORD,9293
8,COLUMBIA UNIVERSITY,8818
9,UNIVERSITY OF CAMBRIDGE,8231
10,UNIVERSITY OF CHICAGO,8091
11,CALIFORNIA INSTITUTE OF TECHNOLOGY,7974
12,UNIVERSITY OF WASHINGTON,7765
13,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",7384
14,UNIVERSITY OF MICHIGAN,7155
15,UNIVERSITY OF PENNSYLVANIA,6739
16,PRINCETON UNIVERSITY,6637
17,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",6536
18,CORNELL UNIVERSITY,6332
19,CHINESE ACADEMY OF SCIENCES,6292
20,JOHNS HOPKINS UNIVERSITY,6267
21,DUKE UNIVERSITY,6024
22,NEW YORK UNIVERSITY,5745
23,UNIVERSITY OF TORONTO,5690
24,UNIVERSITY COLLEGE LONDON,5598
25,UNIVERSITY OF MARYLAND,5474
26,UNIVERSITY OF TOKYO,5410
27,WASHINGTON UNIVERSITY,5350
28,ETH ZURICH,5195
29,NORTHWESTERN UNIVERSITY,5068
30,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",4685
31,"UNIVERSITY OF MINNESOTA, TWIN CITIES",4641
32,UNIVERSITY OF COLORADO,4557
33,UNIVERSITY OF COPENHAGEN,4546
34,UNIVERSITY OF WISCONSIN,4530
35,"UNIVERSITY OF CALIFORNIA, DAVIS",4376
36,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",4335
37,IMPERIAL COLLEGE LONDON,4317
38,"UNIVERSITY OF TEXAS, AUSTIN",4151
39,UNIVERSITY OF BRITISH COLUMBIA,4064
40,PENNSYLVANIA STATE UNIVERSITY,3680
41,BOSTON UNIVERSITY,3617
42,UNIVERSITY OF ARIZONA,3448
43,UNIVERSITY OF EDINBURGH,3411
44,UNIVERSITY OF SOUTHERN CALIFORNIA,3411
45,OHIO STATE UNIVERSITY,3354
46,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",3333
47,KYOTO UNIVERSITY,3313
48,UNIVERSITY OF MUNICH,3137
49,UNIVERSITY OF PARIS VII,3107
50,"UNIVERSITY OF CALIFORNIA, IRVINE",3102
51,UNIVERSITY OF PARIS VI,3075
52,UNIVERSITY OF ZURICH,3067
53,MCGILL UNIVERSITY,3008
54,UNIVERSITY OF MELBOURNE,2896
55,TSINGHUA UNIVERSITY,2815
56,UNIVERSITY OF MASSACHUSETTS,2788
57,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",2743
58,UNIVERSITY OF QUEENSLAND,2696
59,UNIVERSITY OF BRISTOL,2674
60,TEXAS A&M UNIVERSITY,2619
61,STOCKHOLM UNIVERSITY,2548
62,UPPSALA UNIVERSITY,2502
63,VANDERBILT UNIVERSITY,2479
64,RUTGERS STATE UNIVERSITY,2458
65,HEIDELBERG UNIVERSITY,2429
66,PEKING UNIVERSITY,2421
67,BROWN UNIVERSITY,2390
68,OSAKA UNIVERSITY,2386
69,INDIANA UNIVERSITY,2381
70,NATIONAL UNIVERSITY OF SINGAPORE,2359
71,ARIZONA STATE UNIVERSITY,2347
72,UNIVERSITY OF UTAH,2346
73,UNIVERSITY OF PITTSBURGH,2312
74,UNIVERSITY OF AMSTERDAM,2267
75,EMORY UNIVERSITY,2257
76,UNIVERSITY OF FLORIDA,2240
77,AARHUS UNIVERSITY,2235
78,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,2215
79,UNIVERSITY OF VIRGINIA,2196
80,UNIVERSITY OF BONN,2189
81,MICHIGAN STATE UNIVERSITY,2186
82,UNIVERSITY OF MANCHESTER,2186
83,UNIVERSITY OF HAWAII,2186
84,PURDUE UNIVERSITY,2178
85,TECHNICAL UNIVERSITY OF MUNICH,2164
86,UNIVERSITY OF GENEVA,2022
87,AUSTRALIAN NATIONAL UNIVERSITY,1967
88,UNIVERSITY OF HELSINKI,1957
89,UNIVERSITY OF LYON,1955
90,POMPEU FABRA UNIVERSITY,1932
91,AIX MARSEILLE UNIVERSITY,1917
92,KATHOLIEKE UNIVERSITEIT LEUVEN,1900
93,UNIVERSITY OF ROCHESTER,1858
94,UNIVERSITY OF BERN,1851
95,TEL AVIV UNIVERSITY,1849
96,LEIDEN UNIVERSITY,1845
97,UNIVERSITY OF UTRECHT,1835
98,"SUNY, STONY BROOK",1828
99,MONASH UNIVERSITY,1824
100,UNIVERSITY OF SYDNEY,1823
101,UNIVERSITY OF BASEL,1822
102,UNIVERSITY OF GRONINGEN,1811
103,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,1786
104,UNIVERSITY OF LAUSANNE,1760
105,UNIVERSITY OF VIENNA,1718
106,UNIVERSITY OF NEW SOUTH WALES,1698
107,UNIVERSITY OF WARWICK,1697
108,HEBREW UNIVERSITY OF JERUSALEM,1675
109,UNIVERSITY OF PARIS XI,1669
110,"KINGS COLLEGE, LONDON",1665
111,UNIVERSITY OF SOUTHAMPTON,1659
112,UNIVERSITY OF OSLO,1652
113,GEORGIA INSTITUTE OF TECHNOLOGY,1634
114,CARNEGIE MELLON UNIVERSITY,1625
115,RADBOUD UNIVERSITY NIJMEGEN,1613
116,UNIVERSITY OF IOWA,1611
117,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",1601
118,UNIVERSITY OF GEORGIA,1582
119,VRIJE UNIVERSITEIT AMSTERDAM,1582
120,RICE UNIVERSITY,1573
121,OREGON STATE UNIVERSITY,1547
122,UNIVERSITY OF COLOGNE,1543
123,"UNIVERSITY OF TENNESSEE, KNOXVILLE",1542
124,SEOUL NATIONAL UNIVERSITY,1527
125,UNIVERSITY OF ALBERTA,1468
126,UNIVERSITY OF MIAMI,1458
127,UNIVERSITY OF GOTTINGEN,1415
128,WAGENINGEN UNIVERSITY,1412
129,UNIVERSITY OF FREIBURG,1407
130,UNIVERSITY OF LEICESTER,1372
131,LUND UNIVERSITY,1357
132,TOHOKU UNIVERSITY,1349
133,NORTH CAROLINA STATE UNIVERSITY,1344
134,UNIVERSITY OF MONTREAL,1330
135,GOETHE UNIVERSITY FRANKFURT,1330
136,GHENT UNIVERSITY,1325
137,UNIVERSITY OF PADUA,1316
138,UNIVERSITY OF HONG KONG,1311
139,UNIVERSITY OF TUBINGEN,1297
140,UNIVERSITY OF PARIS V,1292
141,UNIVERSITY OF KANSAS,1281
142,UNIVERSITY OF YORK,1256
143,UNIVERSITY OF LEEDS,1254
144,NAGOYA UNIVERSITY,1249
145,UNIVERSITY OF GLASGOW,1231
146,UNIVERSITY OF NOTRE DAME,1210
147,UNIVERSITY OF EXETER,1207
148,UNIVERSITY OF LIVERPOOL,1204
149,UNIVERSITY OF NOTTINGHAM,1196
150,DARTMOUTH COLLEGE,1190
151,UNIVERSITY OF WESTERN AUSTRALIA,1187
152,CARDIFF UNIVERSITY,1161
153,UNIVERSITY OF SHEFFIELD,1158
154,UNIVERSITY OF STRASBOURG,1158
155,CASE WESTERN RESERVE UNIVERSITY,1154
156,IOWA STATE UNIVERSITY,1144
157,HUMBOLDT UNIVERSITY OF BERLIN,1142
158,FLORIDA STATE UNIVERSITY,1123
159,UNIVERSITY OF GOTHENBURG,1116
160,TECHNICAL UNIVERSITY OF DENMARK,1100
161,"UNIVERSITY OF MISSOURI, COLUMBIA",1083
162,UNIVERSITY OF NEW MEXICO,1065
163,UNIVERSITY OF HAMBURG,1062
164,UNIVERSITY OF BERGEN,1060
165,UNIVERSITY OF LONDON,1044
166,BOSTON COLLEGE,1043
167,UNIVERSITE LIBRE DE BRUXELLES,1022
168,UNIVERSITY OF HOUSTON,1000
169,UNIVERSITY OF CONNECTICUT,999
170,UNIVERSITY OF MAINZ,999
171,NATIONAL TAIWAN UNIVERSITY,986
172,TECHNICAL UNIVERSITY OF DRESDEN,983
173,UNIVERSITY OF GRENOBLE 1,981
174,UNIVERSITY OF ERLANGEN-NURNBERG,970
175,HOKKAIDO UNIVERSITY,969
176,SIMON FRASER UNIVERSITY,967
177,UNIVERSITY OF KIEL,963
178,UNIVERSITY OF BARCELONA,962
179,UNIVERSITY OF ADELAIDE,954
180,NEWCASTLE UNIVERSITY,951
181,UNIVERSITY OF EAST ANGLIA,944
182,COLORADO STATE UNIVERSITY,942
183,TUFTS UNIVERSITY,933
184,TECHNION ISRAEL,933
185,UNIVERSITY OF ST ANDREWS,932
186,ERASMUS UNIVERSITY ROTTERDAM,929
187,FREE UNIVERSITY BERLIN,926
188,UNIVERSITY OF BIRMINGHAM,921
189,TILBURG UNIVERSITY,921
190,TRINITY COLLEGE DUBLIN,914
191,FUDAN UNIVERSITY,900
192,BRANDEIS UNIVERSITY,895
