Rank,University,Score
1,HARVARD UNIVERSITY,3053
2,UNIVERSITY OF CHICAGO,1936
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1772
4,STANFORD UNIVERSITY,1570
5,"UNIVERSITY OF CALIFORNIA, BERKELEY",1518
6,COLUMBIA UNIVERSITY,1358
7,NORTHWESTERN UNIVERSITY,1317
8,NEW YORK UNIVERSITY,1269
9,YALE UNIVERSITY,1258
10,UNIVERSITY OF PENNSYLVANIA,1186
11,PRINCETON UNIVERSITY,1153
12,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,1046
13,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",892
14,UNIVERSITY OF MICHIGAN,848
15,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",793
16,DUKE UNIVERSITY,755
17,UNIVERSITY OF OXFORD,699
18,UNIVERSITY OF TORONTO,671
19,UNIVERSITY OF MARYLAND,624
20,UNIVERSITY COLLEGE LONDON,605
21,BROWN UNIVERSITY,514
22,CORNELL UNIVERSITY,511
23,TILBURG UNIVERSITY,483
24,"UNIVERSITY OF MINNESOTA, TWIN CITIES",455
25,UNIVERSITY OF BRITISH COLUMBIA,434
26,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,431
27,POMPEU FABRA UNIVERSITY,417
28,BOSTON UNIVERSITY,409
29,UNIVERSITY OF SOUTHERN CALIFORNIA,383
30,DARTMOUTH COLLEGE,356
31,UNIVERSITY OF ZURICH,355
32,UNIVERSITY OF VIRGINIA,351
33,OHIO STATE UNIVERSITY,343
34,UNIVERSITY OF WARWICK,340
35,ARIZONA STATE UNIVERSITY,331
36,UNIVERSITY OF CAMBRIDGE,322
37,"UNIVERSITY OF TEXAS, AUSTIN",315
38,"UNIVERSITY OF WISCONSIN, MADISON",314
39,WASHINGTON UNIVERSITY,313
40,CALIFORNIA INSTITUTE OF TECHNOLOGY,310
41,BOSTON COLLEGE,310
42,HEBREW UNIVERSITY OF JERUSALEM,308
43,UNIVERSITY OF BONN,298
44,UNIVERSITY OF AMSTERDAM,296
45,CARNEGIE MELLON UNIVERSITY,296
46,"UNIVERSITY OF CALIFORNIA, DAVIS",294
47,INDIANA UNIVERSITY,285
48,STOCKHOLM UNIVERSITY,282
49,UNIVERSITE CATHOLIQUE DE LOUVAIN,279
50,UNIVERSITY OF ROCHESTER,273
51,MICHIGAN STATE UNIVERSITY,269
52,LONDON BUSINESS SCHOOL,268
53,PENNSYLVANIA STATE UNIVERSITY,268
54,BOCCONI UNIVERSITY,267
55,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",266
56,TEL AVIV UNIVERSITY,259
57,GEORGETOWN UNIVERSITY,254
58,UNIVERSITY OF COPENHAGEN,251
59,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",250
60,UNIVERSITY OF MELBOURNE,250
61,SINGAPORE MANAGEMENT UNIVERSITY,246
62,UNIVERSITY OF WASHINGTON,245
63,UNIVERSITY OF ARIZONA,245
64,UNIVERSITY OF NOTTINGHAM,242
