Rank,University,Score
1,HARVARD UNIVERSITY,4265
2,UNIVERSITY OF CHICAGO,3443
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",2773
4,STANFORD UNIVERSITY,2768
5,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2624
6,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,2276
7,UNIVERSITY OF PENNSYLVANIA,2273
8,COLUMBIA UNIVERSITY,2199
9,NEW YORK UNIVERSITY,2159
10,PRINCETON UNIVERSITY,2102
11,NORTHWESTERN UNIVERSITY,1996
12,YALE UNIVERSITY,1831
13,UNIVERSITY OF MICHIGAN,1650
14,DUKE UNIVERSITY,1581
15,UNIVERSITY OF OXFORD,1571
16,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",1372
17,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1203
18,UNIVERSITY OF TORONTO,1186
19,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",1175
20,CORNELL UNIVERSITY,1113
21,UNIVERSITY COLLEGE LONDON,1051
22,"UNIVERSITY OF MINNESOTA, TWIN CITIES",1009
23,UNIVERSITY OF MARYLAND,959
24,BOCCONI UNIVERSITY,897
25,BOSTON UNIVERSITY,891
26,"UNIVERSITY OF TEXAS, AUSTIN",889
27,UNIVERSITY OF WASHINGTON,857
28,UNIVERSITY OF WARWICK,837
29,CARNEGIE MELLON UNIVERSITY,825
30,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,811
31,OHIO STATE UNIVERSITY,799
32,"UNIVERSITY OF CALIFORNIA, DAVIS",787
33,NATIONAL UNIVERSITY OF SINGAPORE,782
34,TILBURG UNIVERSITY,778
35,UNIVERSITY OF SOUTHERN CALIFORNIA,777
36,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",774
37,TEXAS A&M UNIVERSITY,774
38,UNIVERSITY OF CAMBRIDGE,759
39,POMPEU FABRA UNIVERSITY,746
40,UNIVERSITY OF BRITISH COLUMBIA,743
41,UNIVERSITY OF ZURICH,727
42,INDIANA UNIVERSITY,698
43,BOSTON COLLEGE,690
44,LONDON BUSINESS SCHOOL,687
45,BARCELONA GRADUATE SCHOOL OF ECONOMICS,657
46,UNIVERSITY OF VIRGINIA,631
47,BROWN UNIVERSITY,620
48,UNIVERSITY OF MELBOURNE,610
49,UNIVERSITY OF MANNHEIM,609
50,DARTMOUTH COLLEGE,608
51,UNIVERSITY OF WISCONSIN,607
52,ARIZONA STATE UNIVERSITY,601
53,PENNSYLVANIA STATE UNIVERSITY,597
54,WASHINGTON UNIVERSITY,584
55,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,576
56,JOHNS HOPKINS UNIVERSITY,555
57,PURDUE UNIVERSITY,542
58,UNIVERSITY OF NOTRE DAME,529
59,UNIVERSITY OF MUNICH,525
60,UNIVERSITY OF ROCHESTER,522
61,ERASMUS UNIVERSITY ROTTERDAM,517
62,GEORGETOWN UNIVERSITY,516
63,"UNIVERSITY OF WISCONSIN, MADISON",506
64,UNIVERSITY OF BONN,497
65,TEL AVIV UNIVERSITY,486
66,UNIVERSITY OF COPENHAGEN,484
67,CALIFORNIA INSTITUTE OF TECHNOLOGY,482
68,VU UNIVERSITY AMSTERDAM,474
69,UNIVERSITY OF NEW SOUTH WALES,473
70,MICHIGAN STATE UNIVERSITY,471
71,"UNIVERSITY OF CALIFORNIA, IRVINE",465
72,ETH ZURICH,463
73,STOCKHOLM UNIVERSITY,459
74,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,446
75,UNIVERSITY OF AMSTERDAM,440
76,SINGAPORE MANAGEMENT UNIVERSITY,440
77,PEKING UNIVERSITY,427
78,STOCKHOLM SCHOOL OF ECONOMICS,421
79,KATHOLIEKE UNIVERSITEIT LEUVEN,420
80,TSINGHUA UNIVERSITY,412
81,UNIVERSITY OF ESSEX,407
82,IMPERIAL COLLEGE LONDON,403
83,MONASH UNIVERSITY,400
84,VANDERBILT UNIVERSITY,400
85,UNIVERSITY OF HONG KONG,394
86,UNIVERSITE CATHOLIQUE DE LOUVAIN,392
87,UNIVERSITY OF NOTTINGHAM,384
88,AARHUS UNIVERSITY,379
89,UNIVERSITY OF CARLOS III MADRID,376
90,CHINESE UNIVERSITY OF HONG KONG,371
91,HEBREW UNIVERSITY OF JERUSALEM,361
92,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",359
93,MAASTRICHT UNIVERSITY,357
94,UNIVERSITY OF LAUSANNE,356
95,UNIVERSITY OF PITTSBURGH,356
96,UNIVERSITY OF OSLO,352
97,UNIVERSITY OF HOUSTON,350
98,UNIVERSITE LIBRE DE BRUXELLES,348
99,AUSTRALIAN NATIONAL UNIVERSITY,339
100,GOETHE UNIVERSITY FRANKFURT,339
101,UNIVERSITY OF COLOGNE,333
102,UNIVERSITY OF BRISTOL,327
103,CITY UNIVERSITY LONDON,323
104,UNIVERSITY OF COLORADO,320
105,UNIVERSITY OF BOLOGNA,316
106,SIMON FRASER UNIVERSITY,313
107,NORTH CAROLINA STATE UNIVERSITY,312
108,GEORGIA STATE UNIVERSITY,304
109,GEORGIA INSTITUTE OF TECHNOLOGY,299
110,NANYANG TECHNOLOGICAL UNIVERSITY,294
111,SOUTHERN METHODIST UNIVERSITY,294
112,UNIVERSITY OF IOWA,288
113,EMORY UNIVERSITY,286
