Rank,University,Score
1,HARVARD UNIVERSITY,3728
2,UNIVERSITY OF CHICAGO,2531
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2058
4,STANFORD UNIVERSITY,2047
5,"UNIVERSITY OF CALIFORNIA, BERKELEY",2037
6,NEW YORK UNIVERSITY,1907
7,COLUMBIA UNIVERSITY,1775
8,UNIVERSITY OF PENNSYLVANIA,1757
9,NORTHWESTERN UNIVERSITY,1696
10,YALE UNIVERSITY,1593
11,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,1365
12,PRINCETON UNIVERSITY,1319
13,DUKE UNIVERSITY,1270
14,UNIVERSITY OF MICHIGAN,1269
15,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",1165
16,UNIVERSITY OF OXFORD,931
17,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",864
18,CORNELL UNIVERSITY,848
19,UNIVERSITY OF TORONTO,840
20,UNIVERSITY OF MARYLAND,811
21,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",806
22,UNIVERSITY COLLEGE LONDON,711
23,UNIVERSITY OF BRITISH COLUMBIA,697
24,TILBURG UNIVERSITY,694
25,"UNIVERSITY OF MINNESOTA, TWIN CITIES",684
26,OHIO STATE UNIVERSITY,669
27,"UNIVERSITY OF WISCONSIN, MADISON",598
28,UNIVERSITY OF SOUTHERN CALIFORNIA,598
29,BROWN UNIVERSITY,596
30,"UNIVERSITY OF CALIFORNIA, DAVIS",589
31,PENNSYLVANIA STATE UNIVERSITY,574
32,"UNIVERSITY OF TEXAS, AUSTIN",552
33,WASHINGTON UNIVERSITY,541
34,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,540
35,UNIVERSITY OF WASHINGTON,538
36,TEXAS A&M UNIVERSITY,525
37,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",523
38,CARNEGIE MELLON UNIVERSITY,489
39,BOSTON UNIVERSITY,488
40,UNIVERSITY OF ZURICH,472
41,POMPEU FABRA UNIVERSITY,470
42,UNIVERSITY OF WARWICK,466
43,UNIVERSITY OF MELBOURNE,462
44,MICHIGAN STATE UNIVERSITY,462
45,LONDON BUSINESS SCHOOL,458
46,BOSTON COLLEGE,454
47,UNIVERSITY OF VIRGINIA,444
48,UNIVERSITY OF AMSTERDAM,433
49,UNIVERSITY OF CAMBRIDGE,431
50,DARTMOUTH COLLEGE,429
51,UNIVERSITY OF ROCHESTER,420
52,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,417
53,ARIZONA STATE UNIVERSITY,409
54,CALIFORNIA INSTITUTE OF TECHNOLOGY,395
55,INDIANA UNIVERSITY,392
56,HEBREW UNIVERSITY OF JERUSALEM,391
57,NATIONAL UNIVERSITY OF SINGAPORE,391
58,UNIVERSITE CATHOLIQUE DE LOUVAIN,373
59,UNIVERSITY OF NOTTINGHAM,372
60,VANDERBILT UNIVERSITY,372
61,PURDUE UNIVERSITY,371
62,"UNIVERSITY OF CALIFORNIA, IRVINE",365
63,RUTGERS STATE UNIVERSITY,361
64,UNIVERSITY OF BONN,360
65,ERASMUS UNIVERSITY ROTTERDAM,358
66,UNIVERSITY OF ARIZONA,352
67,STOCKHOLM UNIVERSITY,342
68,TEL AVIV UNIVERSITY,334
69,JOHNS HOPKINS UNIVERSITY,326
70,STOCKHOLM SCHOOL OF ECONOMICS,326
71,GEORGETOWN UNIVERSITY,323
72,EMORY UNIVERSITY,322
73,UNIVERSITY OF MANNHEIM,305
74,UNIVERSITY OF CARLOS III MADRID,302
75,MCGILL UNIVERSITY,296
76,UNIVERSITY OF COPENHAGEN,288
77,UNIVERSITY OF FLORIDA,287
78,BOCCONI UNIVERSITY,285
79,PEKING UNIVERSITY,281
80,UNIVERSITY OF COLORADO,279
81,SINGAPORE MANAGEMENT UNIVERSITY,275
82,UNIVERSITY OF ESSEX,272
83,IOWA STATE UNIVERSITY,272
84,MAASTRICHT UNIVERSITY,269
85,UNIVERSITY OF IOWA,268
86,UNIVERSITY OF GEORGIA,264
87,VU UNIVERSITY AMSTERDAM,260
88,UNIVERSITY OF MUNICH,256
89,GEORGIA INSTITUTE OF TECHNOLOGY,254
90,UNIVERSITY OF NOTRE DAME,249
91,UNIVERSITY OF LONDON,248
92,GEORGIA STATE UNIVERSITY,248
93,NORTH CAROLINA STATE UNIVERSITY,247
94,UNIVERSITY OF BRISTOL,242
95,AARHUS UNIVERSITY,238
96,UNIVERSITY OF PITTSBURGH,237
97,"UNIVERSITY OF MISSOURI, COLUMBIA",231
98,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",230
99,"UNIVERSITY OF TEXAS, DALLAS",230
100,ETH ZURICH,227
101,UNIVERSITY OF HOUSTON,225
102,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",223
103,SOUTHERN METHODIST UNIVERSITY,222
104,UNIVERSITY OF NEW SOUTH WALES,221
105,GEORGE MASON UNIVERSITY,221
106,AUSTRALIAN NATIONAL UNIVERSITY,220
107,YORK UNIVERSITY,216
108,UNIVERSITY OF PARIS I,214
109,IMPERIAL COLLEGE LONDON,214
110,UNIVERSITY OF LAUSANNE,213
111,RICE UNIVERSITY,212
112,UNIVERSITE LIBRE DE BRUXELLES,211
113,CHINESE UNIVERSITY OF HONG KONG,210
114,UNIVERSITY OF MANCHESTER,210
115,UNIVERSITY OF MONTREAL,206
116,UNIVERSITY OF YORK,205
117,UNIVERSITY AUTONOMA BARCELONA,204
118,TSINGHUA UNIVERSITY,204
119,GEORGE WASHINGTON UNIVERSITY,202
120,UNIVERSITY OF UTAH,201
121,CITY UNIVERSITY OF NEW YORK,199
122,SIMON FRASER UNIVERSITY,198
123,UNIVERSITY OF PARIS VI,192
124,GOETHE UNIVERSITY FRANKFURT,191
125,UNIVERSITY OF BOLOGNA,190
126,SYRACUSE UNIVERSITY,190
127,QUEENS UNIVERSITY,189
128,UNIVERSITY OF AUCKLAND,187
129,UNIVERSITY OF SOUTHAMPTON,184
130,UNIVERSITY OF OREGON,175
131,SEOUL NATIONAL UNIVERSITY,175
132,KATHOLIEKE UNIVERSITEIT LEUVEN,173
133,HUMBOLDT UNIVERSITY OF BERLIN,167
134,FLORIDA STATE UNIVERSITY,166
135,UNIVERSITY OF CONNECTICUT,165
136,UNIVERSITY OF VIENNA,162
137,BRIGHAM YOUNG UNIVERSITY,162
138,UNIVERSITY OF ALBERTA,161
139,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",160
140,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,160
141,UNIVERSITY OF SOUTH CAROLINA,158
142,UNIVERSITY OF WESTERN ONTARIO,156
143,CITY UNIVERSITY HONG KONG,155
144,EUROPEAN UNIVERSITY INSTITUTE,154
145,MONASH UNIVERSITY,153
146,UNIVERSITY OF SYDNEY,153
147,INSEAD,152
148,MCMASTER UNIVERSITY,151
149,UNIVERSITY OF TOKYO,151
150,"UNIVERSITY OF ILLINOIS, CHICAGO",146
151,UNIVERSITY OF KENTUCKY,145
152,NEW UNIVERSITY OF LISBON (NOVA),143
153,KOREA UNIVERSITY,142
154,UNIVERSITY OF COLOGNE,142
155,UNIVERSITY COLLEGE DUBLIN,138
156,UNIVERSITY OF HONG KONG,137
157,UNIVERSITY OF GOTHENBURG,137
158,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",136
159,HEIDELBERG UNIVERSITY,131
160,CASE WESTERN RESERVE UNIVERSITY,130
161,BEN GURION UNIVERSITY OF THE NEGEV,130
162,UNIVERSITY OF GRONINGEN,129
163,UNIVERSITY LAVAL,129
164,"FGV EPGE, RIO DE JANEIRO",126
165,UNIVERSITY OF OSLO,125
166,LANCASTER UNIVERSITY,125
167,"UNIVERSITY OF ROME, TOR VERGATA",124
168,UNIVERSITY OF PADUA,123
169,NATIONAL TAIWAN UNIVERSITY,123
170,NANYANG TECHNOLOGICAL UNIVERSITY,123
171,UNIVERSITY OF ST GALLEN,122
172,UNIVERSITY OF MASSACHUSETTS,121
173,DREXEL UNIVERSITY,120
174,UNIVERSITY OF TURIN,119
175,"UNIVERSITY OF TENNESSEE, KNOXVILLE",117
176,PARIS DAUPHINE UNIVERSITY,116
177,UNIVERSITY OF MIAMI,116
178,UPPSALA UNIVERSITY,115
179,UNIVERSITY OF EAST ANGLIA,114
180,YONSEI UNIVERSITY,113
181,CLEMSON UNIVERSITY,112
182,UNIVERSITY OF GOTTINGEN,111
183,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,111
184,UNIVERSITY OF QUEENSLAND,111
185,UNIVERSITY OF DELAWARE,111
186,RUHR UNIVERSITY BOCHUM,111
187,CHINESE ACADEMY OF SCIENCES,110
188,UNIVERSITY OF KANSAS,108
189,CONCORDIA UNIVERSITY,107
190,THE NEW ECONOMIC SCHOOL,105
191,UNIVERSITY OF EDINBURGH,105
192,HITOTSUBASHI UNIVERSITY,104
193,LOUISIANA STATE UNIVERSITY,103
194,"SUNY, ALBANY",103
195,UNIVERSITY OF WATERLOO,103
196,UNIVERSITY OF CALGARY,103
197,TULANE UNIVERSITY,101
198,UNIVERSITY OF ST ANDREWS,99
199,UNIVERSITY OF GENEVA,97
200,UNIVERSITY OF KIEL,97
201,BIELEFELD UNIVERSITY,96
202,UNIVERSITY OF BERN,96
203,BRANDEIS UNIVERSITY,96
204,UNIVERSITY OF INNSBRUCK,95
205,"QUEEN MARY, UNIVERSITY OF LONDON",95
206,UNIVERSITY OF CENTRAL FLORIDA,93
207,TORCUATO DI TELLA UNIVERSITY,93
208,DEPAUL UNIVERSITY,92
209,BAR ILAN UNIVERSITY,92
210,UNIVERSITY OF TECHNOLOGY SYDNEY,92
211,UNIVERSITY OF ALICANTE,92
212,TUFTS UNIVERSITY,91
213,KYOTO UNIVERSITY,91
214,SANTA CLARA UNIVERSITY,90
215,UNIVERSITY OF KONSTANZ,90
216,UNIVERSITY OF LEICESTER,89
217,GHENT UNIVERSITY,88
218,"UNIVERSITY OF ROME, LA SAPIENZA",88
219,OSAKA UNIVERSITY,87
220,TECHNION ISRAEL,87
221,XIAMEN UNIVERSITY,86
222,UNIVERSITY OF EXETER,85
223,AMERICAN UNIVERSITY WASHINGTON,85
224,UNIVERSITY OF OKLAHOMA,84
225,UNIVERSITY OF HAIFA,83
226,TRINITY COLLEGE DUBLIN,83
227,UNIVERSITY OF MILAN,82
228,SAN DIEGO STATE UNIVERSITY,82
229,UNIVERSITY OF CYPRUS,81
230,COLLEGE OF WILLIAM AND MARY,80
231,"SUNY, BINGHAMTON",80
232,BARCELONA GRADUATE SCHOOL OF ECONOMICS,79
233,FORDHAM UNIVERSITY,79
234,LUND UNIVERSITY,79
235,UNIVERSITY OF GLASGOW,78
236,TECHNICAL UNIVERSITY OF BERLIN,78
237,UNIVERSITY OF KENT,78
238,UNIVERSITY OF PARIS XI,77
239,WASHINGTON STATE UNIVERSITY,77
240,"NORWEGIAN BUSINESS SCHOOL, BI",77
241,UNIVERSITY OF ADELAIDE,77
242,UNIVERSITY OF NAPLES FEDERICO 2,77
243,LINGNAN UNIVERSITY,76
244,UNIVERSITY OF BATH,75
245,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,74
246,UNIVERSITY OF CINCINNATI,74
247,NORTHEASTERN UNIVERSITY,74
248,UNIVERSITY OF ABERDEEN,73
249,KOC UNIVERSITY,73
250,"CUNY, BARUCH COLLEGE",72
251,CARLETON UNIVERSITY,72
252,TECHNICAL UNIVERSITY OF MUNICH,72
253,CA FOSCARI UNIVERSITY OF VENICE,72
254,UNIVERSITY OF SHEFFIELD,71
255,COLORADO STATE UNIVERSITY,70
256,UNIVERSITY OF PARIS X,69
257,UNIVERSITY OF PARIS V,69
258,UNIVERSITY OF ALABAMA,69
259,WELLESLEY COLLEGE,69
260,CITY UNIVERSITY LONDON,68
261,PONTIFICIAL CATHOLIC UNIVERSITY OF CHILE,68
262,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON",68
263,HONG KONG BAPTIST UNIVERSITY,68
264,UNIVERSITY OF LYON,67
265,OREGON STATE UNIVERSITY,67
266,PONTIFICAL CATHOLIC UNIVERSITY OF RIO DE JANEIRO,67
267,VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS,67
268,UNIVERSITY OF QUEBEC,66
269,KOBE UNIVERSITY,66
270,UNIVERSITY OF PARIS XII,66
271,UNIVERSITY OF HELSINKI,65
272,UNIVERSITY OF HANNOVER,65
273,FREE UNIVERSITY BERLIN,65
274,UNIVERSITY OF BRESCIA,64
275,"SUNY, BUFFALO",64
276,UNIVERSITY OF SOUTH FLORIDA,64
277,UNIVERSITY OF FLORENCE,64
278,BRUNEL UNIVERSITY,63
279,"CHARLES UNIVERSITY, PRAGUE",62
280,UNIVERSITY OF UTRECHT,62
281,UNIVERSITY OF BIRMINGHAM,62
282,UNIVERSITY OF BARCELONA,62
283,UNIVERSITY OF LUXEMBURG,62
284,UNIVERSITY OF BERGEN,61
285,"CALIFORNIA STATE UNIVERSITY, FULLERTON",61
286,UNIVERSITY OF WESTERN AUSTRALIA,60
287,UNIVERSITY OF LUGANO,60
288,"UNIVERSITY OF NEVADA, RENO",60
289,UNIVERSITY OF READING,60
290,"UNIVERSITY OF WISCONSIN, MILWAUKEE",60
291,UNIVERSITY OF ARKANSAS,60
292,QUEENSLAND UNIVERSITY OF TECHNOLOGY,59
293,NATIONAL CHENGCHI UNIVERSITY,59
294,UNIVERSITY OF BASEL,59
295,SOUTHERN ILLINOIS UNIVERSITY,58
296,UNIVERSITY OF CERGY PONTOISE,58
297,"SUNY, STONY BROOK",57
298,TEXAS TECHNICAL UNIVERSITY,57
299,TEMPLE UNIVERSITY,57
300,"UNIVERSITY OF TEXAS, SAN ANTONIO",56
301,WEST VIRGINIA UNIVERSITY,56
302,KANSAS STATE UNIVERSITY,55
303,"UNIVERSITY OF NEBRASKA, LINCOLN",55
304,LEHIGH UNIVERSITY,55
