Rank,University,Score
1,HARVARD UNIVERSITY,1269
2,UNIVERSITY OF CHICAGO,816
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",711
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,656
5,STANFORD UNIVERSITY,645
6,UNIVERSITY OF PENNSYLVANIA,642
7,NEW YORK UNIVERSITY,634
8,NORTHWESTERN UNIVERSITY,496
9,PRINCETON UNIVERSITY,478
10,COLUMBIA UNIVERSITY,477
11,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",471
12,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,460
13,YALE UNIVERSITY,458
14,UNIVERSITY OF MICHIGAN,419
15,CORNELL UNIVERSITY,385
16,DUKE UNIVERSITY,370
17,UNIVERSITY OF MARYLAND,362
18,"UNIVERSITY OF MINNESOTA, TWIN CITIES",344
19,UNIVERSITY OF OXFORD,252
20,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",234
21,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",229
22,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",227
23,UNIVERSITY OF SOUTHERN CALIFORNIA,227
24,UNIVERSITY OF TORONTO,225
25,OHIO STATE UNIVERSITY,221
26,"UNIVERSITY OF CALIFORNIA, DAVIS",213
27,UNIVERSITY OF BRITISH COLUMBIA,209
28,BOSTON UNIVERSITY,203
29,"UNIVERSITY OF WISCONSIN, MADISON",202
30,TILBURG UNIVERSITY,196
31,MICHIGAN STATE UNIVERSITY,189
32,UNIVERSITY COLLEGE LONDON,189
33,TEXAS A&M UNIVERSITY,181
34,CARNEGIE MELLON UNIVERSITY,180
35,AUSTRALIAN NATIONAL UNIVERSITY,175
36,UNIVERSITY OF AMSTERDAM,174
37,UNIVERSITY OF WASHINGTON,173
38,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,171
39,HEBREW UNIVERSITY OF JERUSALEM,170
40,UNIVERSITY OF ROCHESTER,170
41,DARTMOUTH COLLEGE,169
42,PENNSYLVANIA STATE UNIVERSITY,168
43,POMPEU FABRA UNIVERSITY,160
44,BOSTON COLLEGE,159
45,TEL AVIV UNIVERSITY,158
46,UNIVERSITY OF VIRGINIA,158
47,RUTGERS STATE UNIVERSITY,157
48,BROWN UNIVERSITY,156
49,EMORY UNIVERSITY,154
50,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,153
51,UNIVERSITY OF WARWICK,150
52,LONDON BUSINESS SCHOOL,149
53,GEORGETOWN UNIVERSITY,147
54,INDIANA UNIVERSITY,147
55,UNIVERSITY OF NOTTINGHAM,147
56,UNIVERSITE CATHOLIQUE DE LOUVAIN,147
57,PURDUE UNIVERSITY,147
58,ERASMUS UNIVERSITY ROTTERDAM,142
59,UNIVERSITY OF TEXAS,140
60,WASHINGTON UNIVERSITY,139
61,NATIONAL UNIVERSITY OF SINGAPORE,130
62,VANDERBILT UNIVERSITY,128
63,UNIVERSITY OF COLORADO,124
64,JOHNS HOPKINS UNIVERSITY,123
65,UNIVERSITY OF COPENHAGEN,121
66,UNIVERSITY OF CARLOS III MADRID,121
67,IOWA STATE UNIVERSITY,120
68,STOCKHOLM UNIVERSITY,117
69,UNIVERSITY OF GEORGIA,116
70,UNIVERSITY OF BONN,116
71,UNIVERSITY OF PITTSBURGH,116
72,UNIVERSITY OF WISCONSIN,115
73,"UNIVERSITY OF TEXAS, AUSTIN",114
74,"UNIVERSITY OF CALIFORNIA, IRVINE",114
75,ARIZONA STATE UNIVERSITY,112
76,UNIVERSITY OF FLORIDA,111
77,CALIFORNIA INSTITUTE OF TECHNOLOGY,110
78,UNIVERSITY OF CAMBRIDGE,108
79,VU UNIVERSITY AMSTERDAM,107
80,SYRACUSE UNIVERSITY,107
81,BOCCONI UNIVERSITY,106
82,UNIVERSITY OF ARIZONA,106
83,UNIVERSITY OF YORK,103
84,UNIVERSITY OF PARIS VI,101
85,UNIVERSITY OF IOWA,101
86,UNIVERSITY OF ESSEX,101
87,UNIVERSITY OF MONTREAL,100
88,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",97
89,UNIVERSITY OF NOTRE DAME,97
90,SOUTHERN METHODIST UNIVERSITY,90
91,UNIVERSITY OF MANCHESTER,90
92,RICE UNIVERSITY,89
93,UNIVERSITY OF ZURICH,87
94,UNIVERSITY OF PARIS I,86
95,GEORGIA STATE UNIVERSITY,86
96,UNIVERSITY OF UTAH,85
97,UNIVERSITY OF OREGON,85
98,HUMBOLDT UNIVERSITY OF BERLIN,85
99,UNIVERSITY OF BRISTOL,84
100,UNIVERSITY OF MELBOURNE,84
101,STOCKHOLM SCHOOL OF ECONOMICS,82
102,UNIVERSITY OF CONNECTICUT,81
103,UNIVERSITY OF VIENNA,80
104,UNIVERSITY AUTONOMA BARCELONA,78
105,IMPERIAL COLLEGE LONDON,78
106,UNIVERSITY OF SOUTHAMPTON,77
107,CASE WESTERN RESERVE UNIVERSITY,77
108,UNIVERSITY OF LONDON,75
109,INSEAD,74
110,TUFTS UNIVERSITY,74
111,UNIVERSITY OF OSLO,74
112,NORTH CAROLINA STATE UNIVERSITY,74
113,UNIVERSITY OF WESTERN ONTARIO,73
114,UNIVERSITY OF MUNICH,71
115,"UNIVERSITY OF MISSOURI, COLUMBIA",71
116,EUROPEAN UNIVERSITY INSTITUTE,69
117,TULANE UNIVERSITY,68
118,UNIVERSITY OF KENTUCKY,68
119,GEORGE WASHINGTON UNIVERSITY,68
120,UNIVERSITY OF HOUSTON,67
121,CHINESE UNIVERSITY OF HONG KONG,67
122,UNIVERSITY OF MANNHEIM,67
123,MCGILL UNIVERSITY,67
124,"UNIVERSITY OF ILLINOIS, CHICAGO",66
125,QUEENS UNIVERSITY,66
126,SIMON FRASER UNIVERSITY,65
127,MAASTRICHT UNIVERSITY,65
128,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",65
129,UNIVERSITY OF AUCKLAND,65
130,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",65
131,GEORGIA INSTITUTE OF TECHNOLOGY,64
132,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,63
133,UNIVERSITY OF ALBERTA,62
134,UNIVERSITY OF DELAWARE,61
135,UNIVERSITY OF ALABAMA,61
136,UNIVERSITY OF HONG KONG,60
137,BEN GURION UNIVERSITY OF THE NEGEV,60
138,UNIVERSITY OF TOKYO,58
139,GEORGE MASON UNIVERSITY,58
140,YORK UNIVERSITY,57
141,BRIGHAM YOUNG UNIVERSITY,57
142,UNIVERSITY OF CENTRAL FLORIDA,56
143,PEKING UNIVERSITY,53
144,UNIVERSITY OF LAUSANNE,53
145,UNIVERSITY OF BOLOGNA,53
146,UNIVERSITY OF MASSACHUSETTS,52
147,KATHOLIEKE UNIVERSITEIT LEUVEN,52
148,AARHUS UNIVERSITY,51
149,UNIVERSITY OF SOUTH CAROLINA,51
150,UNIVERSITY OF NEW SOUTH WALES,51
151,UPPSALA UNIVERSITY,50
152,TECHNION ISRAEL,50
153,GOETHE UNIVERSITY FRANKFURT,50
154,UNIVERSITY OF EAST ANGLIA,49
155,UNIVERSITY OF WYOMING,49
156,FLORIDA STATE UNIVERSITY,49
157,OREGON STATE UNIVERSITY,49
158,UNIVERSITY OF GOTHENBURG,48
159,SEOUL NATIONAL UNIVERSITY,48
160,UNIVERSITY OF COLOGNE,48
161,UNIVERSITY OF QUEBEC,47
162,"CUNY, BARUCH COLLEGE",47
163,UNIVERSITY OF MIAMI,47
164,UNIVERSITY OF LEICESTER,46
165,UNIVERSITY OF EDINBURGH,46
166,UNIVERSITY OF BIRMINGHAM,45
167,CARLETON UNIVERSITY,45
168,"SUNY, BINGHAMTON",45
169,MCMASTER UNIVERSITY,44
170,FREE UNIVERSITY BRUSSELS,44
171,LOUISIANA STATE UNIVERSITY,44
172,UNIVERSITY OF TURIN,44
173,UNIVERSITY OF ALICANTE,44
174,CONCORDIA UNIVERSITY,43
175,KOREA UNIVERSITY,43
176,BAR ILAN UNIVERSITY,42
177,LUND UNIVERSITY,42
178,LANCASTER UNIVERSITY,42
179,UNIVERSITY OF SHEFFIELD,42
180,MONASH UNIVERSITY,42
181,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,42
182,UNIVERSITY OF HELSINKI,42
183,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",42
184,"UNIVERSITY OF NEVADA, RENO",40
185,"QUEEN MARY, UNIVERSITY OF LONDON",40
186,UNIVERSITY OF EXETER,40
187,TORCUATO DI TELLA UNIVERSITY,39
188,"SUNY, STONY BROOK",38
189,HEIDELBERG UNIVERSITY,38
190,UNIVERSITY OF KANSAS,37
191,NATIONAL TAIWAN UNIVERSITY,37
