Rank,University,Score
1,HARVARD UNIVERSITY,27926
2,STANFORD UNIVERSITY,13839
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",13613
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11822
5,UNIVERSITY OF TEXAS,10401
6,CALIFORNIA INSTITUTE OF TECHNOLOGY,9726
7,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9463
8,YALE UNIVERSITY,9260
9,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",8528
10,CORNELL UNIVERSITY,8109
11,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",8029
12,UNIVERSITY OF CAMBRIDGE,7911
13,JOHNS HOPKINS UNIVERSITY,7895
14,UNIVERSITY OF WASHINGTON,7879
15,UNIVERSITY OF OXFORD,7523
16,UNIVERSITY OF TOKYO,7471
17,WASHINGTON UNIVERSITY,7215
18,UNIVERSITY OF CHICAGO,6416
19,UNIVERSITY OF PENNSYLVANIA,6363
20,UNIVERSITY OF WISCONSIN,6359
21,COLUMBIA UNIVERSITY,6197
22,DUKE UNIVERSITY,6106
23,PRINCETON UNIVERSITY,5861
24,UNIVERSITY OF MICHIGAN,5831
25,UNIVERSITY OF COLORADO,5196
26,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",5051
27,UNIVERSITY OF TORONTO,4815
28,UNIVERSITY OF MARYLAND,4724
29,UNIVERSITY OF ARIZONA,4562
30,NEW YORK UNIVERSITY,4545
31,UNIVERSITY COLLEGE LONDON,4468
32,"UNIVERSITY OF CALIFORNIA, DAVIS",4089
33,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",4087
34,PENNSYLVANIA STATE UNIVERSITY,4002
35,KYOTO UNIVERSITY,3946
36,"UNIVERSITY OF MINNESOTA, TWIN CITIES",3667
37,NORTHWESTERN UNIVERSITY,3632
38,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",3489
39,BOSTON UNIVERSITY,3334
40,IMPERIAL COLLEGE LONDON,3287
41,RUTGERS STATE UNIVERSITY,3269
42,UNIVERSITY OF MASSACHUSETTS,3262
43,UNIVERSITY OF BRITISH COLUMBIA,3221
44,"SUNY, STONY BROOK",3185
45,UNIVERSITY OF EDINBURGH,3179
46,OSAKA UNIVERSITY,3040
47,"UNIVERSITY OF CALIFORNIA, IRVINE",2993
48,UNIVERSITY OF HAWAII,2712
49,CHINESE ACADEMY OF SCIENCES,2636
50,UNIVERSITY OF UTAH,2635
51,VANDERBILT UNIVERSITY,2512
52,ETH ZURICH,2501
53,UNIVERSITY OF VIRGINIA,2427
54,AUSTRALIAN NATIONAL UNIVERSITY,2377
55,UNIVERSITY OF MUNICH,2368
56,UNIVERSITY OF PITTSBURGH,2304
57,OHIO STATE UNIVERSITY,2282
58,HEBREW UNIVERSITY OF JERUSALEM,2251
59,TEXAS A&M UNIVERSITY,2211
60,UNIVERSITY OF SOUTHERN CALIFORNIA,2203
61,UNIVERSITY OF FLORIDA,2182
62,ARIZONA STATE UNIVERSITY,2181
63,MCGILL UNIVERSITY,2143
64,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",2121
65,UNIVERSITY OF IOWA,2109
66,TOHOKU UNIVERSITY,2037
67,UNIVERSITY OF BRISTOL,1979
68,UNIVERSITY OF ZURICH,1978
69,UNIVERSITY OF SHEFFIELD,1977
70,UNIVERSITY OF ROCHESTER,1973
71,INDIANA UNIVERSITY,1942
72,MICHIGAN STATE UNIVERSITY,1937
73,BROWN UNIVERSITY,1908
74,CASE WESTERN RESERVE UNIVERSITY,1907
75,UNIVERSITY OF GEORGIA,1882
76,UPPSALA UNIVERSITY,1833
77,UNIVERSITY OF PARIS VI,1809
78,TUFTS UNIVERSITY,1805
79,UNIVERSITY OF AMSTERDAM,1799
80,TECHNICAL UNIVERSITY OF MUNICH,1769
81,OREGON STATE UNIVERSITY,1764
82,UNIVERSITY OF COPENHAGEN,1752
83,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",1655
84,EMORY UNIVERSITY,1643
