Rank,University,Score
1,HARVARD UNIVERSITY,25521
2,STANFORD UNIVERSITY,12766
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",12644
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,10850
5,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9578
6,UNIVERSITY OF TEXAS,9399
7,CALIFORNIA INSTITUTE OF TECHNOLOGY,8948
8,YALE UNIVERSITY,8553
9,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",8139
10,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",7476
11,UNIVERSITY OF CAMBRIDGE,7267
12,UNIVERSITY OF WASHINGTON,7072
13,JOHNS HOPKINS UNIVERSITY,6734
14,UNIVERSITY OF TOKYO,6708
15,UNIVERSITY OF OXFORD,6690
16,CORNELL UNIVERSITY,6671
17,WASHINGTON UNIVERSITY,6352
18,UNIVERSITY OF PENNSYLVANIA,6214
19,UNIVERSITY OF CHICAGO,5869
20,UNIVERSITY OF WISCONSIN,5799
21,PRINCETON UNIVERSITY,5548
22,DUKE UNIVERSITY,5507
23,COLUMBIA UNIVERSITY,5387
24,UNIVERSITY OF MICHIGAN,5012
25,UNIVERSITY OF COLORADO,4998
26,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",4975
27,UNIVERSITY OF TORONTO,4291
28,NEW YORK UNIVERSITY,4059
29,UNIVERSITY COLLEGE LONDON,4027
30,UNIVERSITY OF ARIZONA,4001
31,UNIVERSITY OF MARYLAND,3950
32,"UNIVERSITY OF CALIFORNIA, DAVIS",3828
33,PENNSYLVANIA STATE UNIVERSITY,3737
34,NORTHWESTERN UNIVERSITY,3668
35,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",3362
36,"UNIVERSITY OF MINNESOTA, TWIN CITIES",3335
37,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",3255
38,KYOTO UNIVERSITY,3233
39,RUTGERS STATE UNIVERSITY,3075
40,UNIVERSITY OF MASSACHUSETTS,3044
41,"UNIVERSITY OF CALIFORNIA, IRVINE",2907
42,OSAKA UNIVERSITY,2896
43,"SUNY, STONY BROOK",2854
44,BOSTON UNIVERSITY,2776
45,UNIVERSITY OF EDINBURGH,2754
46,IMPERIAL COLLEGE LONDON,2697
47,UNIVERSITY OF BRITISH COLUMBIA,2439
48,UNIVERSITY OF UTAH,2291
49,UNIVERSITY OF VIRGINIA,2269
50,MCGILL UNIVERSITY,2249
51,HEBREW UNIVERSITY OF JERUSALEM,2194
52,BROWN UNIVERSITY,2155
53,ETH ZURICH,2123
54,UNIVERSITY OF HAWAII,2070
55,CASE WESTERN RESERVE UNIVERSITY,2004
56,UNIVERSITY OF SOUTHERN CALIFORNIA,1981
57,UNIVERSITY OF PITTSBURGH,1977
58,UNIVERSITY OF MUNICH,1966
59,VANDERBILT UNIVERSITY,1961
60,AUSTRALIAN NATIONAL UNIVERSITY,1942
61,UNIVERSITY OF ROCHESTER,1928
62,UNIVERSITY OF ZURICH,1904
63,UNIVERSITY OF IOWA,1892
64,UNIVERSITY OF BRISTOL,1890
65,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",1833
66,UPPSALA UNIVERSITY,1833
67,UNIVERSITY OF FLORIDA,1817
68,MICHIGAN STATE UNIVERSITY,1797
69,INDIANA UNIVERSITY,1762
70,TEXAS A&M UNIVERSITY,1733
71,ARIZONA STATE UNIVERSITY,1709
72,CHINESE ACADEMY OF SCIENCES,1699
73,UNIVERSITY OF AMSTERDAM,1652
74,TOHOKU UNIVERSITY,1596
75,OHIO STATE UNIVERSITY,1594
76,UNIVERSITY OF UTRECHT,1592
77,WASHINGTON STATE UNIVERSITY,1591
78,UNIVERSITY OF BASEL,1574
79,OREGON STATE UNIVERSITY,1563
80,NAGOYA UNIVERSITY,1562
81,EMORY UNIVERSITY,1557
82,UNIVERSITY OF SHEFFIELD,1550
83,TUFTS UNIVERSITY,1527
84,UNIVERSITY OF ALABAMA,1459
85,UNIVERSITY OF COPENHAGEN,1420
86,UNIVERSITY OF BERN,1419
87,UNIVERSITY OF HELSINKI,1389
88,UNIVERSITY OF PARIS VI,1374
89,UNIVERSITY OF GEORGIA,1367
90,"UNIVERSITY OF ROME, LA SAPIENZA",1351
91,HEIDELBERG UNIVERSITY,1341
92,"UNIVERSITY OF TENNESSEE, KNOXVILLE",1321
93,BRANDEIS UNIVERSITY,1320
94,LEIDEN UNIVERSITY,1320
95,TEL AVIV UNIVERSITY,1280
96,UNIVERSITY OF GRONINGEN,1258
97,"UNIVERSITY OF MISSOURI, COLUMBIA",1240
98,TECHNICAL UNIVERSITY OF MUNICH,1224
99,UNIVERSITY OF OREGON,1209
100,UNIVERSITY OF ALBERTA,1201
101,PURDUE UNIVERSITY,1199
102,UNIVERSITY OF CONNECTICUT,1183
103,LUND UNIVERSITY,1173
104,"UNIVERSITY OF NEBRASKA, LINCOLN",1160
105,UNIVERSITY OF GENEVA,1151
106,UNIVERSITY OF STRASBOURG,1150
107,UNIVERSITY OF QUEENSLAND,1109
108,KYUSHU UNIVERSITY,1106
109,UNIVERSITY OF CALGARY,1093
110,UNIVERSITY OF NEW MEXICO,1084
111,COLORADO STATE UNIVERSITY,1075
112,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",1069
113,UNIVERSITY OF COLOGNE,1068
114,UNIVERSITY OF TUBINGEN,1058
115,RICE UNIVERSITY,1052
116,UNIVERSITY OF MIAMI,1047
117,UNIVERSITY OF NOTRE DAME,1045
118,UNIVERSITY OF FREIBURG,1037
119,UNIVERSITY OF PARIS XI,1031
120,UNIVERSITY OF MANCHESTER,1024
121,UNIVERSITY OF VIENNA,1016
122,UNIVERSITY OF WURZBURG,1009
123,UNIVERSITY OF OSLO,977
124,AARHUS UNIVERSITY,946
125,TOKYO INSTITUTE OF TECHNOLOGY,941
126,UNIVERSITY OF HAMBURG,936
127,KATHOLIEKE UNIVERSITEIT LEUVEN,926
128,IOWA STATE UNIVERSITY,922
129,FREE UNIVERSITY BERLIN,918
130,UNIVERSITY OF GLASGOW,916
131,UNIVERSITY OF SUSSEX,913
132,HOKKAIDO UNIVERSITY,911
133,UNIVERSITY OF MEDICINE DENTISTRY NEW JERSEY,906
134,UNIVERSITY OF CINCINNATI,903
135,DELFT UNIVERSITY OF TECHNOLOGY,886
136,UNIVERSITY OF TSUKUBA,884
137,UNIVERSITY OF LAUSANNE,881
138,UNIVERSITY OF MELBOURNE,876
139,UNIVERSITY OF OKLAHOMA,875
140,DARTMOUTH COLLEGE,875
141,UNIVERSITY OF LYON,874
142,LOUISIANA STATE UNIVERSITY,866
143,UNIVERSITY OF BONN,862
144,UNIVERSITY OF LEEDS,861
145,UNIVERSITY OF NOTTINGHAM,854
146,UNIVERSITY OF SYDNEY,852
147,UMEA UNIVERSITY,846
148,UNIVERSITY OF GOTTINGEN,843
149,UNIVERSITY OF ST ANDREWS,841
150,RADBOUD UNIVERSITY NIJMEGEN,836
151,UNIVERSITY OF KONSTANZ,832
152,STOCKHOLM UNIVERSITY,830
153,NORTH CAROLINA STATE UNIVERSITY,828
154,UNIVERSITY OF MONTPELLIER 2,826
155,UNIVERSITY OF YORK,824
156,VRIJE UNIVERSITEIT AMSTERDAM,820
157,UNIVERSITY OF KIEL,820
158,GEORGIA INSTITUTE OF TECHNOLOGY,803
159,UNIVERSITY OF DURHAM,795
160,UNIVERSITY OF LIVERPOOL,794
161,MCMASTER UNIVERSITY,789
162,FREE UNIVERSITY BRUSSELS,770
163,TULANE UNIVERSITY,761
164,CARNEGIE MELLON UNIVERSITY,753
165,UNIVERSITY OF EAST ANGLIA,753
166,UNIVERSITY OF KANSAS,751
167,KEIO UNIVERSITY,751
168,UNIVERSITY OF PADUA,746
169,UNIVERSITY OF DELAWARE,739
170,UNIVERSITY OF LEICESTER,731
171,UNIVERSITY NACIONAL AUTONOMA MEXICO,725
172,ERASMUS UNIVERSITY ROTTERDAM,718
173,UNIVERSITY OF REGENSBURG,710
174,UNIVERSITY OF BIRMINGHAM,709
175,UNIVERSITY AUTONOMA MADRID,703
