Rank,University,Score
1,HARVARD UNIVERSITY,1076
2,UNIVERSITY OF CHICAGO,694
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,563
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",535
5,STANFORD UNIVERSITY,508
6,NEW YORK UNIVERSITY,505
7,UNIVERSITY OF PENNSYLVANIA,446
8,NORTHWESTERN UNIVERSITY,433
9,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,399
10,COLUMBIA UNIVERSITY,398
11,PRINCETON UNIVERSITY,395
12,YALE UNIVERSITY,350
13,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",321
14,UNIVERSITY OF MICHIGAN,279
15,UNIVERSITY OF MARYLAND,254
16,DUKE UNIVERSITY,248
17,CORNELL UNIVERSITY,235
18,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",205
19,UNIVERSITY OF TORONTO,190
20,UNIVERSITY COLLEGE LONDON,181
21,BOSTON UNIVERSITY,178
22,"UNIVERSITY OF MINNESOTA, TWIN CITIES",175
23,UNIVERSITY OF SOUTHERN CALIFORNIA,169
24,UNIVERSITY OF BRITISH COLUMBIA,155
25,UNIVERSITY OF OXFORD,155
26,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,155
27,"UNIVERSITY OF WISCONSIN, MADISON",153
28,OHIO STATE UNIVERSITY,153
29,POMPEU FABRA UNIVERSITY,151
30,DARTMOUTH COLLEGE,145
31,BROWN UNIVERSITY,134
32,CARNEGIE MELLON UNIVERSITY,129
33,TEL AVIV UNIVERSITY,127
34,UNIVERSITY OF ROCHESTER,121
35,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",121
36,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",119
37,"UNIVERSITY OF CALIFORNIA, DAVIS",119
38,UNIVERSITE CATHOLIQUE DE LOUVAIN,119
39,STOCKHOLM UNIVERSITY,118
40,PENNSYLVANIA STATE UNIVERSITY,116
41,UNIVERSITY OF AMSTERDAM,116
42,TILBURG UNIVERSITY,116
43,CALIFORNIA INSTITUTE OF TECHNOLOGY,115
44,MICHIGAN STATE UNIVERSITY,114
45,ERASMUS UNIVERSITY ROTTERDAM,113
46,BOSTON COLLEGE,112
47,GEORGETOWN UNIVERSITY,112
48,WASHINGTON UNIVERSITY,110
49,HEBREW UNIVERSITY OF JERUSALEM,103
50,LONDON BUSINESS SCHOOL,101
51,UNIVERSITY OF NOTTINGHAM,100
52,UNIVERSITY OF WARWICK,98
53,"UNIVERSITY OF TEXAS, AUSTIN",94
54,UNIVERSITY OF CAMBRIDGE,91
55,EMORY UNIVERSITY,91
56,PURDUE UNIVERSITY,90
57,UNIVERSITY OF BONN,90
58,UNIVERSITY OF MONTREAL,87
59,UNIVERSITY OF WASHINGTON,85
60,UNIVERSITY OF VIRGINIA,84
61,RUTGERS STATE UNIVERSITY,84
62,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,83
63,UNIVERSITY OF PITTSBURGH,81
64,TEXAS A&M UNIVERSITY,81
65,VANDERBILT UNIVERSITY,81
66,UNIVERSITY OF CARLOS III MADRID,80
67,UNIVERSITY OF ZURICH,80
68,UNIVERSITY OF COLORADO,79
69,"UNIVERSITY OF CALIFORNIA, IRVINE",77
70,BOCCONI UNIVERSITY,73
71,AUSTRALIAN NATIONAL UNIVERSITY,73
72,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",72
73,UNIVERSITY OF COPENHAGEN,72
74,SYRACUSE UNIVERSITY,69
75,UNIVERSITY AUTONOMA BARCELONA,69
76,NATIONAL UNIVERSITY OF SINGAPORE,69
77,UNIVERSITY OF ESSEX,68
78,UNIVERSITY OF YORK,68
79,TUFTS UNIVERSITY,67
80,VU UNIVERSITY AMSTERDAM,67
81,UNIVERSITY OF IOWA,67
82,UNIVERSITY OF FLORIDA,66
83,INDIANA UNIVERSITY,65
84,MAASTRICHT UNIVERSITY,63
85,JOHNS HOPKINS UNIVERSITY,63
86,UNIVERSITY OF ARIZONA,62
87,UNIVERSITY OF MUNICH,60
88,UNIVERSITY OF MELBOURNE,59
89,SIMON FRASER UNIVERSITY,58
90,SOUTHERN METHODIST UNIVERSITY,57
91,UNIVERSITY OF AUCKLAND,57
92,UNIVERSITY OF PARIS I,57
93,ARIZONA STATE UNIVERSITY,57
94,UNIVERSITY OF LAUSANNE,57
95,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",57
96,STOCKHOLM SCHOOL OF ECONOMICS,56
97,UNIVERSITY OF KENTUCKY,55
98,UNIVERSITY OF OSLO,55
99,UNIVERSITY OF MANNHEIM,54
100,UNIVERSITY OF WESTERN ONTARIO,53
101,UNIVERSITY OF BRISTOL,52
