Rank,University,Score
1,HARVARD UNIVERSITY,947
2,UNIVERSITY OF CHICAGO,654
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,618
4,STANFORD UNIVERSITY,500
5,UNIVERSITY OF PENNSYLVANIA,486
6,"UNIVERSITY OF CALIFORNIA, BERKELEY",469
7,PRINCETON UNIVERSITY,400
8,NORTHWESTERN UNIVERSITY,383
9,UNIVERSITY OF MICHIGAN,381
10,NEW YORK UNIVERSITY,373
11,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",370
12,COLUMBIA UNIVERSITY,339
13,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,294
14,CORNELL UNIVERSITY,293
15,YALE UNIVERSITY,274
16,UNIVERSITY OF WISCONSIN,265
17,DUKE UNIVERSITY,256
18,"UNIVERSITY OF MINNESOTA, TWIN CITIES",245
19,UNIVERSITY OF MARYLAND,245
20,UNIVERSITY OF TEXAS,240
21,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",221
22,OHIO STATE UNIVERSITY,220
23,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",216
24,UNIVERSITY OF ROCHESTER,201
25,PENNSYLVANIA STATE UNIVERSITY,187
26,TILBURG UNIVERSITY,187
27,CARNEGIE MELLON UNIVERSITY,187
28,UNIVERSITY OF WASHINGTON,186
29,UNIVERSITY OF OXFORD,178
30,TEL AVIV UNIVERSITY,165
31,"UNIVERSITY OF CALIFORNIA, DAVIS",160
32,UNIVERSITY OF BRITISH COLUMBIA,158
33,UNIVERSITY COLLEGE LONDON,156
34,UNIVERSITY OF SOUTHERN CALIFORNIA,154
35,UNIVERSITY OF TORONTO,148
36,BOSTON UNIVERSITY,147
37,BROWN UNIVERSITY,142
38,UNIVERSITY OF VIRGINIA,139
39,RUTGERS STATE UNIVERSITY,135
40,MICHIGAN STATE UNIVERSITY,134
41,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",131
42,HEBREW UNIVERSITY OF JERUSALEM,131
43,JOHNS HOPKINS UNIVERSITY,130
44,DARTMOUTH COLLEGE,129
45,STOCKHOLM SCHOOL OF ECONOMICS,126
46,UNIVERSITY OF FLORIDA,126
47,GEORGETOWN UNIVERSITY,126
48,PURDUE UNIVERSITY,126
49,VANDERBILT UNIVERSITY,120
50,INDIANA UNIVERSITY,120
51,TEXAS A&M UNIVERSITY,119
52,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,116
53,UNIVERSITY OF WARWICK,116
54,WASHINGTON UNIVERSITY,112
55,UNIVERSITY OF IOWA,103
56,UNIVERSITY OF COLORADO,101
57,ERASMUS UNIVERSITY ROTTERDAM,101
58,UNIVERSITY OF CAMBRIDGE,99
59,UNIVERSITY OF WESTERN ONTARIO,96
60,POMPEU FABRA UNIVERSITY,95
61,AUSTRALIAN NATIONAL UNIVERSITY,95
62,BOSTON COLLEGE,94
63,UNIVERSITE CATHOLIQUE DE LOUVAIN,94
64,UNIVERSITY OF YORK,94
65,LONDON BUSINESS SCHOOL,93
66,ARIZONA STATE UNIVERSITY,92
67,UNIVERSITY OF PITTSBURGH,90
68,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,87
69,VU UNIVERSITY AMSTERDAM,85
70,UNIVERSITY OF AMSTERDAM,85
71,UNIVERSITY OF ARIZONA,85
72,UNIVERSITY OF ESSEX,84
73,UNIVERSITY OF COPENHAGEN,84
74,IOWA STATE UNIVERSITY,83
75,"UNIVERSITY OF CALIFORNIA, IRVINE",82
76,FREE UNIVERSITY BRUSSELS,79
77,CALIFORNIA INSTITUTE OF TECHNOLOGY,79
78,CHINESE UNIVERSITY OF HONG KONG,77
79,UNIVERSITY OF NOTTINGHAM,76
80,UNIVERSITY OF OREGON,76
81,UNIVERSITY OF SOUTHAMPTON,76
82,HUMBOLDT UNIVERSITY OF BERLIN,74
83,STOCKHOLM UNIVERSITY,74
84,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,72
85,UNIVERSITY OF BRISTOL,72
86,UNIVERSITY OF CARLOS III MADRID,70
87,UNIVERSITY OF NEW SOUTH WALES,69
88,EMORY UNIVERSITY,68
89,QUEENS UNIVERSITY,67
90,UNIVERSITY OF NOTRE DAME,66
91,UNIVERSITY OF HOUSTON,65
92,SOUTHERN METHODIST UNIVERSITY,65
93,UNIVERSITY OF GEORGIA,64
94,UNIVERSITY OF PARIS VI,63
95,UNIVERSITY OF MONTREAL,63
96,UNIVERSITY OF BONN,62
97,MCGILL UNIVERSITY,60
98,UNIVERSITY OF MANNHEIM,57
99,TULANE UNIVERSITY,56
100,UNIVERSITY OF OSLO,56
101,NORTH CAROLINA STATE UNIVERSITY,55
102,UNIVERSITY OF HONG KONG,54
103,UNIVERSITY OF CONNECTICUT,54
104,SYRACUSE UNIVERSITY,53
105,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",53
106,UNIVERSITY OF ZURICH,53
107,NATIONAL UNIVERSITY OF SINGAPORE,52
108,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",52
109,GEORGE WASHINGTON UNIVERSITY,52
110,UNIVERSITY OF LONDON,51
111,"UNIVERSITY OF MISSOURI, COLUMBIA",51
112,GEORGIA STATE UNIVERSITY,50
113,IMPERIAL COLLEGE LONDON,50
114,INSEAD,49
115,UNIVERSITY OF KENTUCKY,48
116,UNIVERSITY OF SUSSEX,47
117,UNIVERSITY OF MUNICH,47
118,UNIVERSITY OF ALBERTA,47
119,TECHNION ISRAEL,47
120,AARHUS UNIVERSITY,46
121,YORK UNIVERSITY,46
122,UPPSALA UNIVERSITY,46
123,SIMON FRASER UNIVERSITY,45
124,FLORIDA STATE UNIVERSITY,44
125,UNIVERSITY OF MELBOURNE,43
126,UNIVERSITY OF PARIS I,43
127,RICE UNIVERSITY,43
128,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",41
129,UNIVERSITY OF WYOMING,40
130,EUROPEAN UNIVERSITY INSTITUTE,40
131,LUND UNIVERSITY,40
132,UNIVERSITY OF ALABAMA,40
133,CASE WESTERN RESERVE UNIVERSITY,40
134,BRIGHAM YOUNG UNIVERSITY,40
135,UNIVERSITY AUTONOMA BARCELONA,39
136,BOCCONI UNIVERSITY,39
137,UNIVERSITY OF EXETER,39
138,UNIVERSITY OF MANCHESTER,39
139,UNIVERSITY OF GRONINGEN,39
140,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",38
141,UNIVERSITY OF NEW MEXICO,38
142,UNIVERSITY OF BOLOGNA,37
143,"UNIVERSITY OF ROME, LA SAPIENZA",37
144,GEORGE MASON UNIVERSITY,37
145,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",36
146,LOUISIANA STATE UNIVERSITY,36
147,UNIVERSITY OF VIENNA,36
148,MCMASTER UNIVERSITY,36
149,UNIVERSITY OF WATERLOO,36
150,NATIONAL TAIWAN UNIVERSITY,36
151,AMERICAN UNIVERSITY WASHINGTON,36
152,"SUNY, BUFFALO",35
153,SWARTHMORE COLLEGE,34
154,MAASTRICHT UNIVERSITY,34
155,UNIVERSITY OF GLASGOW,33
156,UNIVERSITY OF SYDNEY,33
157,UNIVERSITY OF MASSACHUSETTS,33
158,"QUEEN MARY, UNIVERSITY OF LONDON",33
159,UNIVERSITY OF DELAWARE,33
160,UNIVERSITY OF EDINBURGH,33
161,LANCASTER UNIVERSITY,33
162,UNIVERSITY OF SOUTH CAROLINA,32
163,UNIVERSITY LAVAL,32
164,CLEMSON UNIVERSITY,32
165,OREGON STATE UNIVERSITY,32
166,FREE UNIVERSITY BERLIN,32
167,UNIVERSITY OF UTAH,31
168,UNIVERSITY OF WALES,31
169,BIELEFELD UNIVERSITY,31
170,KANSAS STATE UNIVERSITY,30
171,BRANDEIS UNIVERSITY,30
172,GEORGIA INSTITUTE OF TECHNOLOGY,30
173,UNIVERSITY OF LEICESTER,30
174,HEIDELBERG UNIVERSITY,30
175,CARLETON UNIVERSITY,30
176,BEN GURION UNIVERSITY OF THE NEGEV,30
177,KATHOLIEKE UNIVERSITEIT LEUVEN,29
178,UNIVERSITY OF EAST ANGLIA,29
179,UNIVERSITY OF QUEBEC,29
180,NEW UNIVERSITY OF LISBON (NOVA),29
181,SANTA CLARA UNIVERSITY,28
182,UNIVERSITY COLLEGE DUBLIN,28
183,TUFTS UNIVERSITY,28
184,"UNIVERSITY OF NEBRASKA, LINCOLN",28
185,UNIVERSITY OF CHILE,28
186,UNIVERSITY OF HELSINKI,28
187,UNIVERSITY OF KENT,27
188,UNIVERSITY OF AUCKLAND,26
189,UNIVERSITY OF TOKYO,26
190,UNIVERSITY OF PARIS XI,26
191,UNIVERSITY OF OKLAHOMA,26
192,NEWCASTLE UNIVERSITY,26
193,UNIVERSITY OF MIAMI,26
194,COLLEGE OF WILLIAM AND MARY,26
195,MONTANA STATE UNIVERSITY,25
196,MONASH UNIVERSITY,25
197,AUBURN UNIVERSITY,25
198,WAYNE STATE UNIVERSITY,24
199,FLORIDA INTERNATIONAL UNIVERSITY,24
200,UNIVERSITY OF ALICANTE,24
201,UNIVERSITY OF GUELPH,24
202,UNIVERSITY OF HAIFA,24
203,UNIVERSITY OF ST ANDREWS,24
204,SEOUL NATIONAL UNIVERSITY,23
