Rank,University,Score
1,HARVARD UNIVERSITY,42366
2,STANFORD UNIVERSITY,20908
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,20219
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",19933
5,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",14906
6,YALE UNIVERSITY,14426
7,CALIFORNIA INSTITUTE OF TECHNOLOGY,13598
8,UNIVERSITY OF OXFORD,13189
9,UNIVERSITY OF WASHINGTON,12580
10,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",12528
11,UNIVERSITY OF CAMBRIDGE,12397
12,COLUMBIA UNIVERSITY,12327
13,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",12157
14,UNIVERSITY OF TOKYO,10631
15,JOHNS HOPKINS UNIVERSITY,10389
16,CORNELL UNIVERSITY,10094
17,UNIVERSITY OF MICHIGAN,10086
18,UNIVERSITY OF PENNSYLVANIA,9802
19,UNIVERSITY OF CHICAGO,9461
20,CHINESE ACADEMY OF SCIENCES,9278
21,WASHINGTON UNIVERSITY,9034
22,DUKE UNIVERSITY,8804
23,UNIVERSITY OF TORONTO,8607
24,PRINCETON UNIVERSITY,8528
25,UNIVERSITY OF MARYLAND,7939
26,NEW YORK UNIVERSITY,7805
27,UNIVERSITY COLLEGE LONDON,7695
28,ETH ZURICH,7479
29,UNIVERSITY OF COLORADO,7437
30,UNIVERSITY OF WISCONSIN,7224
31,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",7214
32,NORTHWESTERN UNIVERSITY,7201
33,"UNIVERSITY OF CALIFORNIA, DAVIS",7075
34,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",7072
35,IMPERIAL COLLEGE LONDON,6888
36,UNIVERSITY OF BRITISH COLUMBIA,6427
37,"UNIVERSITY OF MINNESOTA, TWIN CITIES",6252
38,UNIVERSITY OF COPENHAGEN,6136
39,PENNSYLVANIA STATE UNIVERSITY,6083
40,KYOTO UNIVERSITY,5967
41,"UNIVERSITY OF TEXAS, AUSTIN",5946
42,UNIVERSITY OF ARIZONA,5648
43,UNIVERSITY OF EDINBURGH,5600
