Rank,University,Score
1,HARVARD UNIVERSITY,1789
2,UNIVERSITY OF CHICAGO,1654
3,STANFORD UNIVERSITY,1209
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",1179
5,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1119
6,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,949
7,UNIVERSITY OF PENNSYLVANIA,948
8,NEW YORK UNIVERSITY,936
9,NORTHWESTERN UNIVERSITY,894
10,COLUMBIA UNIVERSITY,861
11,PRINCETON UNIVERSITY,849
12,YALE UNIVERSITY,768
13,UNIVERSITY OF OXFORD,623
14,UNIVERSITY OF MICHIGAN,546
15,DUKE UNIVERSITY,530
16,UNIVERSITY COLLEGE LONDON,524
17,UNIVERSITY OF TORONTO,491
18,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",481
19,CORNELL UNIVERSITY,477
20,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",433
21,UNIVERSITY OF WARWICK,399
22,UNIVERSITY OF ZURICH,395
23,UNIVERSITY OF MARYLAND,392
24,BOSTON UNIVERSITY,375
25,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,372
26,BOCCONI UNIVERSITY,365
27,BARCELONA GRADUATE SCHOOL OF ECONOMICS,335
28,"UNIVERSITY OF MINNESOTA, TWIN CITIES",335
29,POMPEU FABRA UNIVERSITY,319
30,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",314
31,UNIVERSITY OF MUNICH,311
32,PARIS SCHOOL OF ECONOMICS,310
33,CARNEGIE MELLON UNIVERSITY,303
34,BROWN UNIVERSITY,294
35,NATIONAL UNIVERSITY OF SINGAPORE,292
36,STOCKHOLM UNIVERSITY,291
37,GEORGETOWN UNIVERSITY,289
38,"UNIVERSITY OF WISCONSIN, MADISON",285
39,UNIVERSITY OF MANNHEIM,283
40,"UNIVERSITY OF TEXAS, AUSTIN",267
41,OHIO STATE UNIVERSITY,267
42,UNIVERSITY OF BRITISH COLUMBIA,265
43,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",264
44,"UNIVERSITY OF CALIFORNIA, DAVIS",262
45,UNIVERSITY OF MELBOURNE,261
46,MONASH UNIVERSITY,256
47,UNIVERSITY OF VIRGINIA,256
48,UNIVERSITY OF CAMBRIDGE,252
49,TILBURG UNIVERSITY,247
50,UNIVERSITY OF BONN,246
51,VRIJE UNIVERSITEIT AMSTERDAM,244
52,BOSTON COLLEGE,243
53,UNIVERSITY OF WASHINGTON,236
54,ARIZONA STATE UNIVERSITY,235
55,ERASMUS UNIVERSITY ROTTERDAM,235
56,UNIVERSITY OF COPENHAGEN,233
57,PENNSYLVANIA STATE UNIVERSITY,228
58,UNIVERSITY OF AMSTERDAM,225
59,JOHNS HOPKINS UNIVERSITY,224
60,PEKING UNIVERSITY,220
61,TEXAS A&M UNIVERSITY,217
62,UNIVERSITY OF ESSEX,216
63,TSINGHUA UNIVERSITY,212
64,UNIVERSITY OF COLOGNE,211
65,DARTMOUTH COLLEGE,209
66,UNIVERSITE CATHOLIQUE DE LOUVAIN,202
67,UNIVERSITY OF PITTSBURGH,202
68,AARHUS UNIVERSITY,202
69,TEL AVIV UNIVERSITY,201
70,INDIANA UNIVERSITY,198
71,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",197
72,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,196
73,UNIVERSITY OF NOTTINGHAM,195
74,"UNIVERSITY OF CALIFORNIA, IRVINE",190
75,MAASTRICHT UNIVERSITY,184
76,WASHINGTON UNIVERSITY,182
77,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,178
78,CALIFORNIA INSTITUTE OF TECHNOLOGY,177
79,UNIVERSITY OF CARLOS III MADRID,177
80,UNIVERSITY OF ROCHESTER,177
81,LONDON BUSINESS SCHOOL,176
82,UNIVERSITY OF YORK,174
83,UNIVERSITY OF SOUTHERN CALIFORNIA,173
84,ETH ZURICH,173
85,VANDERBILT UNIVERSITY,172
86,UNIVERSITY OF BRISTOL,172
87,KATHOLIEKE UNIVERSITEIT LEUVEN,171
88,HEBREW UNIVERSITY OF JERUSALEM,171
89,UNIVERSITY OF NOTRE DAME,168
90,"QUEEN MARY, UNIVERSITY OF LONDON",166
91,UNIVERSITY OF OSLO,164
92,MICHIGAN STATE UNIVERSITY,163
93,CHINESE UNIVERSITY OF HONG KONG,163
94,IMPERIAL COLLEGE LONDON,159
95,SINGAPORE MANAGEMENT UNIVERSITY,159
96,UNIVERSITY OF COLORADO,158
97,UPPSALA UNIVERSITY,156
98,SIMON FRASER UNIVERSITY,156
99,GEORGIA STATE UNIVERSITY,149
100,GOETHE UNIVERSITY FRANKFURT,149
101,AIX MARSEILLE UNIVERSITY,144
102,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",144
103,UNIVERSITY OF HONG KONG,144
104,UNIVERSITY OF LAUSANNE,140
105,LUND UNIVERSITY,139
106,EUROPEAN UNIVERSITY INSTITUTE,138
107,UNIVERSITY OF BOLOGNA,138
108,EMORY UNIVERSITY,137
109,CITY UNIVERSITY LONDON,128
110,STOCKHOLM SCHOOL OF ECONOMICS,128
111,UNIVERSITY OF GOTHENBURG,128
112,UNIVERSITY OF NEW SOUTH WALES,127
113,RUTGERS STATE UNIVERSITY,126
114,SOUTHERN METHODIST UNIVERSITY,125
115,UNIVERSITY OF SYDNEY,123
116,UNIVERSITY OF EDINBURGH,123
117,UNIVERSITY OF ST GALLEN,122
118,PURDUE UNIVERSITY,122
119,UNIVERSITY OF ARIZONA,121
120,HUMBOLDT UNIVERSITY OF BERLIN,121
121,UNIVERSITY OF VIENNA,118
122,UNIVERSITY OF OREGON,117
123,AUSTRALIAN NATIONAL UNIVERSITY,117
124,UNIVERSITE LIBRE DE BRUXELLES,116
125,UNIVERSITY OF WISCONSIN,115
126,RICE UNIVERSITY,113
127,"CHARLES UNIVERSITY, PRAGUE",113
128,TUFTS UNIVERSITY,112
129,MCGILL UNIVERSITY,111
130,UNIVERSITY OF GRONINGEN,105
131,UNIVERSITY OF MANCHESTER,105
132,UNIVERSITY OF GENEVA,104
133,UNIVERSITY AUTONOMA BARCELONA,103
134,UNIVERSITY OF TECHNOLOGY SYDNEY,102
135,UNIVERSITY OF SURREY,99
136,UNIVERSITY OF QUEENSLAND,99
137,NANYANG TECHNOLOGICAL UNIVERSITY,97
138,CENTRAL EUROPEAN UNIVERSITY,96
139,UNIVERSITY OF PARIS I,95
140,UNIVERSITY OF IOWA,94
141,UNIVERSITY OF SOUTHAMPTON,94
142,WELLESLEY COLLEGE,93
143,UNIVERSITY OF HOUSTON,93
144,FUDAN UNIVERSITY,93
145,SHANGHAI JIAO TONG UNIVERSITY,92
146,SEOUL NATIONAL UNIVERSITY,92
147,GEORGE WASHINGTON UNIVERSITY,91
