Rank,University,Score
1,HARVARD UNIVERSITY,2340
2,UNIVERSITY OF CHICAGO,1668
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",1419
4,STANFORD UNIVERSITY,1398
5,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1239
6,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,1218
7,NEW YORK UNIVERSITY,1207
8,UNIVERSITY OF PENNSYLVANIA,1179
9,COLUMBIA UNIVERSITY,1157
10,NORTHWESTERN UNIVERSITY,991
11,PRINCETON UNIVERSITY,986
12,YALE UNIVERSITY,954
13,UNIVERSITY OF OXFORD,931
14,DUKE UNIVERSITY,884
15,UNIVERSITY OF MICHIGAN,877
16,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",739
17,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",720
18,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",715
19,CORNELL UNIVERSITY,660
20,UNIVERSITY OF TORONTO,616
21,"UNIVERSITY OF MINNESOTA, TWIN CITIES",565
22,TILBURG UNIVERSITY,562
23,UNIVERSITY COLLEGE LONDON,546
24,UNIVERSITY OF MARYLAND,539
25,UNIVERSITY OF WASHINGTON,489
26,"UNIVERSITY OF CALIFORNIA, DAVIS",465
27,BOSTON UNIVERSITY,464
28,UNIVERSITY OF ZURICH,464
29,TEXAS A&M UNIVERSITY,462
30,"UNIVERSITY OF TEXAS, AUSTIN",456
31,UNIVERSITY OF WARWICK,449
32,UNIVERSITY OF CAMBRIDGE,449
33,UNIVERSITY OF SOUTHERN CALIFORNIA,448
34,OHIO STATE UNIVERSITY,436
35,NATIONAL UNIVERSITY OF SINGAPORE,436
36,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,432
37,UNIVERSITY OF BRITISH COLUMBIA,427
38,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",427
39,INDIANA UNIVERSITY,427
40,BOCCONI UNIVERSITY,415
41,CARNEGIE MELLON UNIVERSITY,401
42,ERASMUS UNIVERSITY ROTTERDAM,387
43,UNIVERSITY OF MELBOURNE,365
44,LONDON BUSINESS SCHOOL,362
45,POMPEU FABRA UNIVERSITY,357
46,UNIVERSITY OF MUNICH,353
47,ARIZONA STATE UNIVERSITY,339
48,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,338
49,PURDUE UNIVERSITY,333
50,UNIVERSITY OF VIRGINIA,333
51,WASHINGTON UNIVERSITY,330
52,BOSTON COLLEGE,328
53,PENNSYLVANIA STATE UNIVERSITY,324
54,UNIVERSITY OF NEW SOUTH WALES,323
55,"UNIVERSITY OF WISCONSIN, MADISON",322
56,UNIVERSITY OF AMSTERDAM,319
57,UNIVERSITY OF BONN,318
58,UNIVERSITY OF ROCHESTER,315
59,VU UNIVERSITY AMSTERDAM,315
