Rank,University,Score
1,HARVARD UNIVERSITY,1422
2,UNIVERSITY OF CHICAGO,877
3,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,705
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",689
5,STANFORD UNIVERSITY,631
6,NEW YORK UNIVERSITY,586
7,COLUMBIA UNIVERSITY,574
8,NORTHWESTERN UNIVERSITY,571
9,UNIVERSITY OF PENNSYLVANIA,498
10,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,484
11,PRINCETON UNIVERSITY,479
12,YALE UNIVERSITY,470
13,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",408
14,UNIVERSITY OF MICHIGAN,362
15,UNIVERSITY OF MARYLAND,318
16,DUKE UNIVERSITY,317
17,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",305
18,CORNELL UNIVERSITY,267
19,UNIVERSITY OF TORONTO,266
20,UNIVERSITY COLLEGE LONDON,255
21,UNIVERSITY OF OXFORD,236
22,BROWN UNIVERSITY,228
23,"UNIVERSITY OF WISCONSIN, MADISON",200
24,UNIVERSITY OF BRITISH COLUMBIA,199
25,UNIVERSITY OF SOUTHERN CALIFORNIA,190
26,BOSTON UNIVERSITY,187
27,TILBURG UNIVERSITY,183
28,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,182
29,DARTMOUTH COLLEGE,171
30,"UNIVERSITY OF MINNESOTA, TWIN CITIES",166
31,POMPEU FABRA UNIVERSITY,165
32,OHIO STATE UNIVERSITY,163
33,UNIVERSITY OF AMSTERDAM,161
34,PENNSYLVANIA STATE UNIVERSITY,153
35,BOSTON COLLEGE,153
36,"UNIVERSITY OF CALIFORNIA, DAVIS",151
37,UNIVERSITE CATHOLIQUE DE LOUVAIN,148
38,UNIVERSITY OF ZURICH,147
39,MICHIGAN STATE UNIVERSITY,147
40,CALIFORNIA INSTITUTE OF TECHNOLOGY,146
41,UNIVERSITY OF NOTTINGHAM,142
42,WASHINGTON UNIVERSITY,139
43,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",139
44,"UNIVERSITY OF TEXAS, AUSTIN",137
45,HEBREW UNIVERSITY OF JERUSALEM,137
46,UNIVERSITY OF CAMBRIDGE,135
47,ERASMUS UNIVERSITY ROTTERDAM,130
48,CARNEGIE MELLON UNIVERSITY,129
49,GEORGETOWN UNIVERSITY,128
50,LONDON BUSINESS SCHOOL,126
51,UNIVERSITY OF WASHINGTON,125
52,UNIVERSITY OF BONN,123
53,UNIVERSITY OF WARWICK,123
54,TEL AVIV UNIVERSITY,122
55,STOCKHOLM UNIVERSITY,122
56,UNIVERSITY OF VIRGINIA,119
57,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",119
58,BOCCONI UNIVERSITY,116
59,"UNIVERSITY OF CALIFORNIA, IRVINE",115
60,UNIVERSITY OF CARLOS III MADRID,112
61,VANDERBILT UNIVERSITY,111
62,PURDUE UNIVERSITY,108
63,ARIZONA STATE UNIVERSITY,108
64,RUTGERS STATE UNIVERSITY,107
65,UNIVERSITY OF ROCHESTER,107
66,EMORY UNIVERSITY,106
67,TEXAS A&M UNIVERSITY,104
68,UNIVERSITY OF COLORADO,104
69,UNIVERSITY OF ARIZONA,104
70,UNIVERSITY OF COPENHAGEN,102
71,UNIVERSITY OF MELBOURNE,102
72,INDIANA UNIVERSITY,99
73,UNIVERSITY OF YORK,97
74,STOCKHOLM SCHOOL OF ECONOMICS,97
75,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",95
76,NATIONAL UNIVERSITY OF SINGAPORE,94
77,SYRACUSE UNIVERSITY,93
78,MAASTRICHT UNIVERSITY,92
79,UNIVERSITY OF MONTREAL,90
80,UNIVERSITY OF MUNICH,85
81,UNIVERSITY OF PARIS I,84
82,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,84
83,UNIVERSITY OF LAUSANNE,83
84,IMPERIAL COLLEGE LONDON,83
85,SIMON FRASER UNIVERSITY,83
86,UNIVERSITY OF IOWA,82
86,UNIVERSITY OF LONDON,82
88,JOHNS HOPKINS UNIVERSITY,81
89,UNIVERSITY OF ESSEX,81
90,UNIVERSITY OF PITTSBURGH,80
91,TSINGHUA UNIVERSITY,78
92,UNIVERSITY AUTONOMA BARCELONA,78
93,VU UNIVERSITY AMSTERDAM,78
94,MCGILL UNIVERSITY,78
95,QUEENS UNIVERSITY,77
96,UNIVERSITY OF BOLOGNA,75
97,IOWA STATE UNIVERSITY,75
98,AUSTRALIAN NATIONAL UNIVERSITY,75
99,UNIVERSITY OF FLORIDA,73
100,SOUTHERN METHODIST UNIVERSITY,73
101,AARHUS UNIVERSITY,71
102,BEN GURION UNIVERSITY OF THE NEGEV,71
103,EUROPEAN UNIVERSITY INSTITUTE,70
104,UNIVERSITY OF MANNHEIM,69
105,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",68
106,UNIVERSITY OF NOTRE DAME,68
107,GEORGIA STATE UNIVERSITY,67
108,GEORGE MASON UNIVERSITY,67
109,UNIVERSITY OF BRISTOL,66
110,GEORGE WASHINGTON UNIVERSITY,66
111,GOETHE UNIVERSITY FRANKFURT,66
112,MCMASTER UNIVERSITY,65
113,SINGAPORE MANAGEMENT UNIVERSITY,65
114,UNIVERSITY OF AUCKLAND,63
115,"UNIVERSITY OF MISSOURI, COLUMBIA",62
116,UNIVERSITY OF GEORGIA,62
117,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",62
118,RICE UNIVERSITY,61
119,UNIVERSITY OF OREGON,60
120,UNIVERSITY OF MANCHESTER,60
121,PEKING UNIVERSITY,59
122,UNIVERSITE LIBRE DE BRUXELLES,58
123,TUFTS UNIVERSITY,57
124,UNIVERSITY OF TOKYO,57
125,"UNIVERSITY OF ILLINOIS, CHICAGO",57
126,HUMBOLDT UNIVERSITY OF BERLIN,57
127,MONASH UNIVERSITY,57
128,UNIVERSITY OF HOUSTON,56
129,YORK UNIVERSITY,54
130,UNIVERSITY OF KENTUCKY,53
131,UNIVERSITY OF COLOGNE,52
132,UNIVERSITY OF WESTERN ONTARIO,52
133,UNIVERSITY OF SOUTHAMPTON,51
134,UNIVERSITY OF TURIN,50
135,CITY UNIVERSITY OF NEW YORK,49
136,UNIVERSITY LAVAL,49
137,UNIVERSITY OF GRONINGEN,48
138,UNIVERSITY OF VIENNA,48
139,UNIVERSITY OF OSLO,47
140,CASE WESTERN RESERVE UNIVERSITY,47
141,UNIVERSITY OF UTAH,47
142,KATHOLIEKE UNIVERSITEIT LEUVEN,47
143,UNIVERSITY OF EDINBURGH,46
144,INSEAD,46
145,UNIVERSITY OF HONG KONG,45
146,UNIVERSITY OF KIEL,45
147,"UNIVERSITY OF TEXAS, DALLAS",45
148,UNIVERSITY OF LEICESTER,44
149,"QUEEN MARY, UNIVERSITY OF LONDON",44
150,UPPSALA UNIVERSITY,43
151,UNIVERSITY OF NEW SOUTH WALES,43
152,CLEMSON UNIVERSITY,42
153,UNIVERSITY OF GENEVA,42
154,UNIVERSITY OF ALICANTE,42
155,UNIVERSITY COLLEGE DUBLIN,42
156,UNIVERSITY OF GOTHENBURG,40
157,UNIVERSITY OF QUEBEC,40
158,CHINESE UNIVERSITY OF HONG KONG,39
159,NEW UNIVERSITY OF LISBON (NOVA),39
160,GEORGIA INSTITUTE OF TECHNOLOGY,38
161,UNIVERSITY OF KANSAS,38
162,TORCUATO DI TELLA UNIVERSITY,38
163,FLORIDA STATE UNIVERSITY,38
164,UNIVERSITY OF INNSBRUCK,37
165,UNIVERSITY OF CONNECTICUT,37
166,UNIVERSITY OF ALBERTA,37
167,"SUNY, BINGHAMTON",37
168,NORTH CAROLINA STATE UNIVERSITY,37
169,"SUNY, ALBANY",36
170,"FGV EPGE, RIO DE JANEIRO",36
171,THE NEW ECONOMIC SCHOOL,35
172,UNIVERSITY OF EAST ANGLIA,35
173,CONCORDIA UNIVERSITY,35
174,KOREA UNIVERSITY,35
175,CITY UNIVERSITY HONG KONG,34
176,UNIVERSITY OF MASSACHUSETTS,34
177,BRANDEIS UNIVERSITY,34
178,KYOTO UNIVERSITY,34
179,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",34
180,OSAKA UNIVERSITY,33
181,UNIVERSITY OF MIAMI,33
182,TRINITY COLLEGE DUBLIN,33
183,UNIVERSITY OF TECHNOLOGY SYDNEY,32
184,UNIVERSITY OF SYDNEY,32
185,UNIVERSITY OF ABERDEEN,32
186,BAR ILAN UNIVERSITY,32
187,LOUISIANA STATE UNIVERSITY,32
188,BRIGHAM YOUNG UNIVERSITY,32
189,SEOUL NATIONAL UNIVERSITY,32
190,UNIVERSITY OF EXETER,31
191,UNIVERSITY OF CALGARY,31
192,UNIVERSITY OF ST GALLEN,31
193,UNIVERSITY OF BARCELONA,31
194,UNIVERSITY OF QUEENSLAND,31
195,FREE UNIVERSITY BERLIN,30
196,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,30
