Rank,University,Score
1,HARVARD UNIVERSITY,1021
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,693
3,UNIVERSITY OF CHICAGO,685
4,UNIVERSITY OF PENNSYLVANIA,567
5,STANFORD UNIVERSITY,564
6,"UNIVERSITY OF CALIFORNIA, BERKELEY",556
7,NEW YORK UNIVERSITY,499
8,PRINCETON UNIVERSITY,444
9,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",421
10,NORTHWESTERN UNIVERSITY,406
11,UNIVERSITY OF MICHIGAN,401
12,YALE UNIVERSITY,368
13,COLUMBIA UNIVERSITY,362
14,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,343
15,CORNELL UNIVERSITY,323
16,"UNIVERSITY OF MINNESOTA, TWIN CITIES",290
17,DUKE UNIVERSITY,290
18,UNIVERSITY OF MARYLAND,279
19,UNIVERSITY OF WISCONSIN,275
20,UNIVERSITY OF TEXAS,263
21,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",254
22,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",240
23,UNIVERSITY OF ROCHESTER,211
24,UNIVERSITY OF OXFORD,210
25,OHIO STATE UNIVERSITY,207
26,CARNEGIE MELLON UNIVERSITY,205
27,UNIVERSITY OF TORONTO,189
28,TILBURG UNIVERSITY,185
29,UNIVERSITY OF WASHINGTON,183
30,UNIVERSITY COLLEGE LONDON,179
31,PENNSYLVANIA STATE UNIVERSITY,177
32,"UNIVERSITY OF CALIFORNIA, DAVIS",177
33,UNIVERSITY OF BRITISH COLUMBIA,170
34,BOSTON UNIVERSITY,167
35,RUTGERS STATE UNIVERSITY,163
36,UNIVERSITY OF SOUTHERN CALIFORNIA,162
37,UNIVERSITY OF VIRGINIA,161
38,TEL AVIV UNIVERSITY,158
39,MICHIGAN STATE UNIVERSITY,153
40,HEBREW UNIVERSITY OF JERUSALEM,150
41,BROWN UNIVERSITY,148
42,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",147
43,GEORGETOWN UNIVERSITY,145
44,INDIANA UNIVERSITY,139
45,DARTMOUTH COLLEGE,138
46,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,138
47,JOHNS HOPKINS UNIVERSITY,138
48,TEXAS A&M UNIVERSITY,135
49,PURDUE UNIVERSITY,131
50,UNIVERSITY OF WARWICK,128
51,POMPEU FABRA UNIVERSITY,127
