Rank,University,Score
1,HARVARD UNIVERSITY,29914
2,STANFORD UNIVERSITY,14679
3,"UNIVERSITY OF CALIFORNIA, BERKELEY",14515
4,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,12945
5,UNIVERSITY OF TEXAS,11173
6,CALIFORNIA INSTITUTE OF TECHNOLOGY,11055
7,YALE UNIVERSITY,10023
8,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9675
9,CORNELL UNIVERSITY,8952
10,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",8854
11,JOHNS HOPKINS UNIVERSITY,8689
12,UNIVERSITY OF WASHINGTON,8558
13,UNIVERSITY OF CAMBRIDGE,8161
14,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",8054
15,UNIVERSITY OF TOKYO,7999
16,UNIVERSITY OF OXFORD,7882
17,WASHINGTON UNIVERSITY,7627
18,UNIVERSITY OF PENNSYLVANIA,6999
19,UNIVERSITY OF CHICAGO,6758
20,COLUMBIA UNIVERSITY,6697
21,UNIVERSITY OF WISCONSIN,6663
22,DUKE UNIVERSITY,6371
23,UNIVERSITY OF MICHIGAN,6192
24,PRINCETON UNIVERSITY,5813
25,UNIVERSITY OF COLORADO,5522
26,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",5162
27,UNIVERSITY OF MARYLAND,5095
28,UNIVERSITY OF ARIZONA,5066
29,NEW YORK UNIVERSITY,4934
30,UNIVERSITY OF TORONTO,4904
31,UNIVERSITY COLLEGE LONDON,4620
32,PENNSYLVANIA STATE UNIVERSITY,4433
33,"UNIVERSITY OF CALIFORNIA, DAVIS",4392
34,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",4312
35,KYOTO UNIVERSITY,4210
36,"UNIVERSITY OF MINNESOTA, TWIN CITIES",4098
37,NORTHWESTERN UNIVERSITY,4003
38,IMPERIAL COLLEGE LONDON,3974
39,BOSTON UNIVERSITY,3630
40,"UNIVERSITY OF CALIFORNIA, IRVINE",3475
41,RUTGERS STATE UNIVERSITY,3403
42,UNIVERSITY OF BRITISH COLUMBIA,3401
43,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",3363
44,UNIVERSITY OF MASSACHUSETTS,3355
45,UNIVERSITY OF EDINBURGH,3322
46,"SUNY, STONY BROOK",3173
47,CHINESE ACADEMY OF SCIENCES,3105
48,OSAKA UNIVERSITY,3047
49,UNIVERSITY OF HAWAII,3035
50,VANDERBILT UNIVERSITY,2727
51,UNIVERSITY OF UTAH,2682
52,AUSTRALIAN NATIONAL UNIVERSITY,2628
53,UNIVERSITY OF VIRGINIA,2571
54,ARIZONA STATE UNIVERSITY,2550
55,ETH ZURICH,2517
56,UNIVERSITY OF SOUTHERN CALIFORNIA,2498
57,UNIVERSITY OF FLORIDA,2495
58,OHIO STATE UNIVERSITY,2493
59,UNIVERSITY OF PITTSBURGH,2476
60,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",2475
61,UNIVERSITY OF IOWA,2407
62,TEXAS A&M UNIVERSITY,2377
63,BROWN UNIVERSITY,2331
64,UNIVERSITY OF MUNICH,2318
65,UNIVERSITY OF PARIS VI,2252
66,MCGILL UNIVERSITY,2249
67,HEBREW UNIVERSITY OF JERUSALEM,2196
68,UNIVERSITY OF SHEFFIELD,2141
69,UNIVERSITY OF COPENHAGEN,2127
70,UNIVERSITY OF BRISTOL,2113
71,UNIVERSITY OF GEORGIA,2025
72,UNIVERSITY OF AMSTERDAM,2021
73,UNIVERSITY OF ZURICH,2012
74,INDIANA UNIVERSITY,1923
75,UNIVERSITY OF ROCHESTER,1922
76,CASE WESTERN RESERVE UNIVERSITY,1920
77,TOHOKU UNIVERSITY,1865
78,MICHIGAN STATE UNIVERSITY,1821
79,OREGON STATE UNIVERSITY,1795
80,EMORY UNIVERSITY,1794
81,UPPSALA UNIVERSITY,1792
82,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",1710
83,NAGOYA UNIVERSITY,1703
84,UNIVERSITY OF MANCHESTER,1701
85,TEL AVIV UNIVERSITY,1681
86,UNIVERSITY OF UTRECHT,1674
87,TUFTS UNIVERSITY,1645
88,TECHNICAL UNIVERSITY OF MUNICH,1644
89,PURDUE UNIVERSITY,1640
90,"UNIVERSITY OF ROME, LA SAPIENZA",1622
91,"UNIVERSITY OF TENNESSEE, KNOXVILLE",1602
92,BRANDEIS UNIVERSITY,1586
93,AARHUS UNIVERSITY,1534
94,TOKYO INSTITUTE OF TECHNOLOGY,1533
95,UNIVERSITY OF STRASBOURG,1528
96,HEIDELBERG UNIVERSITY,1520
97,"UNIVERSITY OF MISSOURI, COLUMBIA",1511
98,UNIVERSITY OF BERN,1489
99,STOCKHOLM UNIVERSITY,1469
100,UNIVERSITY OF BASEL,1454
101,UNIVERSITY OF PARIS XI,1446
102,LUND UNIVERSITY,1425
103,LEIDEN UNIVERSITY,1424
104,WASHINGTON STATE UNIVERSITY,1406
105,UNIVERSITY OF OSLO,1403
106,UNIVERSITY OF CONNECTICUT,1374
107,KYUSHU UNIVERSITY,1374
108,UNIVERSITY OF LEEDS,1316
109,UNIVERSITY OF GENEVA,1316
110,UNIVERSITY OF HELSINKI,1313
111,GEORGIA INSTITUTE OF TECHNOLOGY,1313
112,UNIVERSITY OF TUBINGEN,1306
113,UNIVERSITY OF GRONINGEN,1302
114,UNIVERSITY OF NEW MEXICO,1296
115,UNIVERSITY OF ALABAMA,1288
116,COLORADO STATE UNIVERSITY,1268
117,RICE UNIVERSITY,1266
118,UNIVERSITY OF VIENNA,1253
119,FREE UNIVERSITY BERLIN,1252
120,NORTH CAROLINA STATE UNIVERSITY,1236
121,UNIVERSITY OF QUEENSLAND,1234
122,UNIVERSITY OF MELBOURNE,1221
123,UNIVERSITY OF COLOGNE,1215
124,UNIVERSITY OF PARIS VII,1205
125,UNIVERSITY OF FREIBURG,1191
126,UNIVERSITY OF GLASGOW,1188
127,UNIVERSITY OF CALGARY,1181
128,UNIVERSITY OF NOTTINGHAM,1171
129,VRIJE UNIVERSITEIT AMSTERDAM,1170
130,UNIVERSITY OF OREGON,1157
131,LOUISIANA STATE UNIVERSITY,1144
132,HUMBOLDT UNIVERSITY OF BERLIN,1127
133,UNIVERSITY OF NOTRE DAME,1108
134,FLORIDA STATE UNIVERSITY,1107
135,UNIVERSITY OF ALBERTA,1089
136,UNIVERSITY OF ST ANDREWS,1088
137,UNIVERSITY OF LEICESTER,1084
138,UNIVERSITY OF TSUKUBA,1079
139,UNIVERSITY OF WURZBURG,1074
140,UNIVERSITY OF MAINZ,1069
141,UNIVERSITY OF MIAMI,1068
142,"UNIVERSITY OF NEBRASKA, LINCOLN",1064
143,UNIVERSITY OF OKLAHOMA,1055
144,UNIVERSITY NACIONAL AUTONOMA MEXICO,1054
145,UNIVERSITY OF PADUA,1052
146,UNIVERSITY OF CINCINNATI,1049
147,HOKKAIDO UNIVERSITY,1047
148,UNIVERSITY OF GRENOBLE 1,1047
149,UNIVERSITY OF LYON,1033
150,RADBOUD UNIVERSITY NIJMEGEN,1025
151,UNIVERSITY OF LAUSANNE,1018
152,UNIVERSITY OF DURHAM,1018
153,UNIVERSITY OF KANSAS,1015
154,UNIVERSITY OF EAST ANGLIA,1006
155,IOWA STATE UNIVERSITY,999
156,UNIVERSITY OF MILAN,995
157,UNIVERSITY OF BIRMINGHAM,993
158,DARTMOUTH COLLEGE,984
159,"UNIVERSITY OF NEVADA, RENO",982
160,UNIVERSITY OF MEDICINE DENTISTRY NEW JERSEY,950
161,UNIVERSITY OF MONTPELLIER 2,942
162,FREE UNIVERSITY BRUSSELS,933
163,UNIVERSITY OF LIVERPOOL,933
164,UNIVERSITY OF SYDNEY,926
165,MCMASTER UNIVERSITY,924
166,UNIVERSITY OF HAMBURG,917
167,UNIVERSITY OF YORK,914
168,UNIVERSITY OF READING,906
169,TULANE UNIVERSITY,902
170,RUHR UNIVERSITY BOCHUM,890
171,GEORGE WASHINGTON UNIVERSITY,890
172,NEWCASTLE UNIVERSITY,886
173,UMEA UNIVERSITY,880
174,GOETHE UNIVERSITY FRANKFURT,871
175,UNIVERSITY OF AUCKLAND,853
176,DELFT UNIVERSITY OF TECHNOLOGY,852
177,UNIVERSITY OF FLORENCE,848
178,UNIVERSITY OF INNSBRUCK,847
179,UNIVERSITY OF BARCELONA,837
180,NATIONAL UNIVERSITY OF SINGAPORE,835
181,MONASH UNIVERSITY,834
182,THE OPEN UNIVERSITY,831
183,KATHOLIEKE UNIVERSITEIT LEUVEN,829
184,UNIVERSITE CATHOLIQUE DE LOUVAIN,826
185,CARNEGIE MELLON UNIVERSITY,822
186,UNIVERSITY OF KENTUCKY,812
187,UNIVERSITY OF GOTTINGEN,804
188,UNIVERSITY OF GOTHENBURG,799
189,UNIVERSITY OF KIEL,794
190,UNIVERSITY OF DUNDEE,789
191,UNIVERSITY OF LONDON,784
192,UNIVERSITY OF MONTREAL,778
193,KEIO UNIVERSITY,778
194,UNIVERSITY OF BONN,777
195,UNIVERSITY OF SAO PAULO,773
196,UNIVERSITY OF NEW SOUTH WALES,763
197,QUEENS UNIVERSITY,761
198,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,759
199,UNIVERSITY OF SOUTHAMPTON,753
200,CARDIFF UNIVERSITY,743
201,UNIVERSITY OF SUSSEX,735
202,WAGENINGEN UNIVERSITY,726
203,UNIVERSITY OF DELAWARE,724
204,UNIVERSITY OF CAPE TOWN,719
205,UNIVERSITY OF WESTERN ONTARIO,705
206,UNIVERSITY OF BOLOGNA,704
207,UNIVERSITY OF TOULOUSE 3,702
208,TECHNION ISRAEL,690
209,UNIVERSITY OF VICTORIA,690
210,DALHOUSIE UNIVERSITY,688
211,UNIVERSITY OF NAPLES FEDERICO 2,665
212,UNIVERSITY OF ABERDEEN,662
213,UNIVERSITY OF NEW HAMPSHIRE,662
214,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,661
215,UNIVERSITY OF SOUTH CAROLINA,657
216,GEORGETOWN UNIVERSITY,652
217,UNIVERSITY OF BREMEN,647
218,UNIVERSITY OF SOUTHERN DENMARK,646
219,UNIVERSITY OF WARWICK,646
220,UNIVERSITY AUTONOMA MADRID,645
221,SIMON FRASER UNIVERSITY,642
222,UNIVERSITY OF DUSSELDORF,641
223,CHIBA UNIVERSITY,640
224,UNIVERSITY COMPLUTENSE MADRID,639
225,SEOUL NATIONAL UNIVERSITY,638
226,UNIVERSITY OF REGENSBURG,633
227,"CHARLES UNIVERSITY, PRAGUE",632
228,MACQUARIE UNIVERSITY,629
229,SYRACUSE UNIVERSITY,628
230,"SUNY, BUFFALO",622
231,UNIVERSITY OF ULM,610
232,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,606
233,PEKING UNIVERSITY,605
234,UNIVERSITY OF HONG KONG,603
235,"KINGS COLLEGE, LONDON",600
236,UNIVERSITY OF KONSTANZ,588
237,UNIVERSITY OF WESTERN AUSTRALIA,587
238,BIELEFELD UNIVERSITY,586
239,UNIVERSITY OF BATH,586
240,QUEENS UNIVERSITY BELFAST,582
241,WAYNE STATE UNIVERSITY,580
242,MUNSTER UNIVERSITY,579
243,UNIVERSITY OF GUELPH,568
244,UNIVERSITY OF BERGEN,556
245,UNIVERSITY OF MARBURG,552
246,UNIVERSITY OF PAVIA,551
247,EOTVOS LORAND UNIVERSITY,546
248,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,546
249,KANSAS STATE UNIVERSITY,539
250,KUMAMOTO UNIVERSITY,537
251,UNIVERSITY OF TURIN,536
252,UNIVERSITY OF MONTANA,536
253,UNIVERSITY OF OTTAWA,536
254,UNIVERSITY OF LIEGE,534
255,UNIVERSITY OF BAYREUTH,528
256,"SUNY, ALBANY",526
257,KOBE UNIVERSITY,512
258,UNIVERSITY OF JENA,509
259,TSINGHUA UNIVERSITY,505
260,HIROSHIMA UNIVERSITY,504
261,WAKE FOREST UNIVERSITY,497
262,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,495
263,UNIVERSITY OF HOUSTON,489
264,UNIVERSITY LAVAL,485
265,OKAYAMA UNIVERSITY,484
266,JAMES COOK UNIVERSITY,482
267,UNIVERSITY OF WALES,478
268,UNIVERSITY OF ADELAIDE,476
269,UNIVERSITY OF PARIS V,475
270,UNIVERSITY OF VERMONT,474
271,BEN GURION UNIVERSITY OF THE NEGEV,464
272,VIENNA UNIVERSITY OF TECHNOLOGY,464
273,UNIVERSITY OF BUENOS AIRES,458
